award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ASPDAC-2024-A01,ASP-DAC,ASP-DAC,2024,complete,ASP-DAC Best Paper Award,best_paper,Winner 1,FineMap: A Fine-grained GPU-parallel LUT Mapping Engine,Tianji Liu|Lei Chen|Xing Li|Mingxuan Yuan|Evangeline F.Y. Young,ASPDAC-2024-P0078,10.1109/ASP-DAC58780.2024.10473941,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1109/ASP-DAC58780.2024.10473941,https://doi.org/10.1109/ASP-DAC58780.2024.10473941,https://dblp.org/rec/conf/aspdac/Liu0LYY24,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T12/T10,physical_design_logic_synthesis_placement_routing,lut_mapping,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"Physical design, logic synthesis, placement, routing, and timing closure"
ASPDAC-2024-A02,ASP-DAC,ASP-DAC,2024,complete,ASP-DAC Best Paper Award,best_paper,Winner 2,SPIRAL: Signal-Power Integrity Co-Analysis for High-Speed Inter-Chiplet Serial Links Validation,Xiao Dong|Songyu Sun|Yangfan Jiang|Jingtong Hu|Dawei Gao|Cheng Zhuo,ASPDAC-2024-P0031,10.1109/ASP-DAC58780.2024.10473908,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1109/ASP-DAC58780.2024.10473908,https://doi.org/10.1109/ASP-DAC58780.2024.10473908,https://dblp.org/rec/conf/aspdac/DongSJHGZ24,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T10/T12,3d_ic_chiplet_noc_interconnect_system,chiplet|inter-chiplet|serial_links,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"3D IC, chiplet, NoC, interconnect, and system integration"
ASPDAC-2023-A03,ASP-DAC,ASP-DAC,2023,complete,ASP-DAC Best Paper Award,best_paper,Winner 1,Approximate Floating-Point FFT Design with Wide Precision-Range and High Energy Efficiency,Chenyi Wen|Ying Wu|Xunzhao Yin|Cheng Zhuo,ASPDAC-2023-P0111,10.1145/3566097.3567885,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1145/3566097.3567885,https://doi.org/10.1145/3566097.3567885,https://dblp.org/rec/conf/aspdac/WenWYZ23,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T05/T12,approximate_low_power_energy,approximate|precision|fft,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"Approximate, low-power, and energy-harvesting design"
ASPDAC-2023-A04,ASP-DAC,ASP-DAC,2023,complete,ASP-DAC Best Paper Award,best_paper,Winner 2,Rethink before Releasing Your Model: ML Model Extraction Attack in EDA,Chen-Chia Chang|Jingyu Pan|Zhiyao Xie|Jiang Hu|Yiran Chen,ASPDAC-2023-P0014,10.1145/3566097.3567896,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1145/3566097.3567896,https://doi.org/10.1145/3566097.3567896,https://dblp.org/rec/conf/aspdac/ChangPXH023,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T07/T11,ai_for_eda_ml_assisted_cad,model_extraction|eda|ml_model,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"AI for EDA, ML-assisted CAD, and EDA model security"
ASPDAC-2022-A05,ASP-DAC,ASP-DAC,2022,complete,ASP-DAC Best Paper Award,best_paper,Winner 1,Optimal Data Allocation for Graph Processing in Processing-in-Memory Systems,Zerun Li|Xiaoming Chen|Yinhe Han,ASPDAC-2022-P0057,10.1109/ASP-DAC52403.2022.9712587,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1109/ASP-DAC52403.2022.9712587,https://doi.org/10.1109/ASP-DAC52403.2022.9712587,https://dblp.org/rec/conf/aspdac/LiCH22,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T10/T05,cim_pim_memory_storage_accel,processing-in-memory|in-memory|graph_processing,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"CIM, PIM, memory-centric, and storage-centric acceleration"
ASPDAC-2022-A06,ASP-DAC,ASP-DAC,2022,complete,ASP-DAC Best Paper Award,best_paper,Winner 2,Net Separation-Oriented Printed Circuit Board Placement via Margin Maximization,Chung-Kuan Cheng|Chia-Tung Ho|Chester Holtz,ASPDAC-2022-P0024,10.1109/ASP-DAC52403.2022.9712480,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1109/ASP-DAC52403.2022.9712480,https://doi.org/10.1109/ASP-DAC52403.2022.9712480,https://dblp.org/rec/conf/aspdac/ChengHH22,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T12/T10,physical_design_logic_synthesis_placement_routing,placement,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"Physical design, logic synthesis, placement, routing, and timing closure"
ASPDAC-2021-A07,ASP-DAC,ASP-DAC,2021,complete,ASP-DAC Best Paper Award,best_paper,Winner 1,Connection-based Processing-In-Memory Engine Design Based on Resistive Crossbars,Shuhang Zhang|Hai Li|Ulf Schlichtmann,ASPDAC-2021-P0142,10.1145/3394885.3431523,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1145/3394885.3431523,https://doi.org/10.1145/3394885.3431523,https://dblp.org/rec/conf/aspdac/ZhangLS21,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T10/T05,cim_pim_memory_storage_accel,processing-in-memory|in-memory|resistive|crossbar,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"CIM, PIM, memory-centric, and storage-centric acceleration"
ASPDAC-2021-A08,ASP-DAC,ASP-DAC,2021,complete,ASP-DAC Best Paper Award,best_paper,Winner 2,TreeNet: Deep Point Cloud Embedding for Routing Tree Construction,Wei Li|Yuxiao Qu|Gengjie Chen|YuzheMa|Bei Yu,ASPDAC-2021-P0066,10.1145/3394885.3431566,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1145/3394885.3431566,https://doi.org/10.1145/3394885.3431566,https://dblp.org/rec/conf/aspdac/LiQCM021,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T03/T07,neural_rendering_3d_vision_graphics_accel,point_cloud,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"Neural rendering, 3D vision, and graphics acceleration"
ASPDAC-2020-A09,ASP-DAC,ASP-DAC,2020,complete,ASP-DAC Best Paper Award,best_paper,Winner 1,Towards Area-Efficient Optical Neural Networks: An FFT-based Architecture,Jiaqi Gu|Zheng Zhao|Chenghao Feng|Mingjie Liu|Ray T. Chen|David Z. Pan,ASPDAC-2020-P0023,10.1109/ASP-DAC47756.2020.9045156,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1109/ASP-DAC47756.2020.9045156,https://doi.org/10.1109/ASP-DAC47756.2020.9045156,https://dblp.org/rec/conf/aspdac/GuZFLCP20,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T02/T06,ai_ml_accelerator_hw_sw_codesign,neural_network|optical_neural,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,AI/ML accelerators and hardware-software co-design
ASPDAC-2020-A10,ASP-DAC,ASP-DAC,2020,complete,ASP-DAC Best Paper Award,best_paper,Winner 2,Equivalent Capacitance Guided Dummy Fill Insertion for Timing and Manufacturability,Sheng-Jung Yu|Chen-Chien Kao|Chia-Han Huang|Iris Hui-Ru Jiang,ASPDAC-2020-P0102,10.1109/ASP-DAC47756.2020.9045668,https://www.aspdac.com/awardarchive/paper.html,https://doi.org/10.1109/ASP-DAC47756.2020.9045668,https://doi.org/10.1109/ASP-DAC47756.2020.9045668,https://dblp.org/rec/conf/aspdac/YuKHJ20,ASP-DAC Award Archive: Best Paper,https://www.aspdac.com/awardarchive/paper.html,official_page,primary,verified,high,none,,T12/T10,physical_design_logic_synthesis_placement_routing,timing|dummy_fill|capacitance|manufacturability,milestone,yes,Official ASP-DAC award archive row; long-term impact beyond award/MIP status requires separate citation/artifact audit.,,"Physical design, logic synthesis, placement, routing, and timing closure"
