paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ASPDAC-2016-P0001,ASP-DAC,ASP-DAC,2016,complete,Efficient reliability management in SoCs - an approximate DRAM perspective,Matthias Jung 0001|Deepak M. Mathew|Christian Weis|Norbert Wehn,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428043,,https://doi.org/10.1109/ASPDAC.2016.7428043,,,https://dblp.org/rec/conf/aspdac/0001MWW16,,https://doi.org/10.1109/ASPDAC.2016.7428043,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428043,paper,primary,verified,high,T12/T11,verification_security_reliability_test,reliability,ASPDAC-C03,"Verification, security, reliability, test, and diagnosis",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/aspdac/0001MWW16; pages=390-394
ASPDAC-2016-P0002,ASP-DAC,ASP-DAC,2016,complete,Simultaneous template optimization and mask assignment for DSA with multiple patterning,Jian Kuang 0001|Junjie Ye 0002|Evangeline F. Y. Young,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7427992,,https://doi.org/10.1109/ASPDAC.2016.7427992,,,https://dblp.org/rec/conf/aspdac/0001YY16,,https://doi.org/10.1109/ASPDAC.2016.7427992,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7427992,paper,primary,verified,high,T12,other_needs_review,aspdac|eda|needs_review,ASPDAC-C12,Other or needs-review ASP-DAC proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/aspdac/0001YY16; pages=75-82
ASPDAC-2016-P0003,ASP-DAC,ASP-DAC,2016,complete,Every test makes a difference: Compressing analog tests to decrease production costs,Seyed Nematollah Ahmadyan|Suriyaprakash Natarajan|Shobha Vasudevan,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428067,,https://doi.org/10.1109/ASPDAC.2016.7428067,,,https://dblp.org/rec/conf/aspdac/AhmadyanNV16,,https://doi.org/10.1109/ASPDAC.2016.7428067,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428067,paper,primary,verified,high,T12,analog_mixed_signal_rf_device_da,analog,ASPDAC-C10,"Analog, mixed-signal, RF, and device-aware design automation",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/aspdac/AhmadyanNV16; pages=539-544
ASPDAC-2016-P0004,ASP-DAC,ASP-DAC,2016,complete,(Invited paper) energy delivery for self-powered IoT devices,Khondker Zakir Ahmed 0001|Monodeep Kar|Saibal Mukhopadhyay,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428028,,https://doi.org/10.1109/ASPDAC.2016.7428028,,,https://dblp.org/rec/conf/aspdac/AhmedKM16,,https://doi.org/10.1109/ASPDAC.2016.7428028,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428028,paper,primary,verified,high,T05/T12,approximate_low_power_energy,power,ASPDAC-C09,"Approximate, low-power, and energy-harvesting design",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/aspdac/AhmedKM16; pages=302-307
ASPDAC-2016-P0005,ASP-DAC,ASP-DAC,2016,complete,Majority-based synthesis for nanotechnologies,Luca Gaetano Amarù|Pierre-Emmanuel Gaillardon|Giovanni De Micheli,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428061,,https://doi.org/10.1109/ASPDAC.2016.7428061,,,https://dblp.org/rec/conf/aspdac/AmaruGM16,,https://doi.org/10.1109/ASPDAC.2016.7428061,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428061,paper,primary,verified,high,T12,other_needs_review,aspdac|eda|needs_review,ASPDAC-C12,Other or needs-review ASP-DAC proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/aspdac/AmaruGM16; pages=499-502
ASPDAC-2016-P0006,ASP-DAC,ASP-DAC,2016,complete,Minimum-energy driving speed profiles for low-speed electric vehicles,Donkyu Baek|Joonki Hong|Naehyuck Chang,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428050,,https://doi.org/10.1109/ASPDAC.2016.7428050,,,https://dblp.org/rec/conf/aspdac/BaekHC16,,https://doi.org/10.1109/ASPDAC.2016.7428050,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428050,paper,primary,verified,high,T12,other_needs_review,aspdac|eda|needs_review,ASPDAC-C12,Other or needs-review ASP-DAC proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/aspdac/BaekHC16; pages=435
ASPDAC-2016-P0007,ASP-DAC,ASP-DAC,2016,complete,Delay uncertainty and signal criticality driven routing channel optimization for advanced DRAM products,Samyoung Bang|Kwangsoo Han|Andrew B. Kahng|Mulong Luo,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428093,,https://doi.org/10.1109/ASPDAC.2016.7428093,,,https://dblp.org/rec/conf/aspdac/BangHKL16,,https://doi.org/10.1109/ASPDAC.2016.7428093,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428093,paper,primary,verified,high,T12/T10,physical_design_logic_synthesis_placement_routing,routing,ASPDAC-C01,"Physical design, logic synthesis, placement, routing, and timing closure",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/aspdac/BangHKL16; pages=697-704
ASPDAC-2016-P0008,ASP-DAC,ASP-DAC,2016,complete,Formally analyzing fault tolerance in datapath designs using equivalence checking,Payman Behnam|Bijan Alizadeh|Sajjad Taheri|Masahiro Fujita,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428001,,https://doi.org/10.1109/ASPDAC.2016.7428001,,,https://dblp.org/rec/conf/aspdac/BehnamATF16,,https://doi.org/10.1109/ASPDAC.2016.7428001,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428001,paper,primary,verified,high,T12/T11,verification_security_reliability_test,fault,ASPDAC-C03,"Verification, security, reliability, test, and diagnosis",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/aspdac/BehnamATF16; pages=133-138
ASPDAC-2016-P0009,ASP-DAC,ASP-DAC,2016,complete,A complete approach to unreachable state diagnosability via property directed reachability,Ryan Berryhill|Andreas G. Veneris,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428000,,https://doi.org/10.1109/ASPDAC.2016.7428000,,,https://dblp.org/rec/conf/aspdac/BerryhillV16,,https://doi.org/10.1109/ASPDAC.2016.7428000,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428000,paper,primary,verified,high,T12,other_needs_review,aspdac|eda|needs_review,ASPDAC-C12,Other or needs-review ASP-DAC proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/aspdac/BerryhillV16; pages=127-132
ASPDAC-2016-P0010,ASP-DAC,ASP-DAC,2016,complete,Non-Volatile Non-Shadow flip-flop using Spin Orbit Torque for efficient normally-off computing,Rajendra Bishnoi|Fabian Oboril|Mehdi Baradaran Tahoori,Proceedings,,accepted_paper,10.1109/ASPDAC.2016.7428104,,https://doi.org/10.1109/ASPDAC.2016.7428104,,,https://dblp.org/rec/conf/aspdac/BishnoiOT16,,https://doi.org/10.1109/ASPDAC.2016.7428104,,DBLP ASP-DAC 2016 proceedings entry,https://doi.org/10.1109/ASPDAC.2016.7428104,paper,primary,verified,high,T12,other_needs_review,aspdac|eda|needs_review,ASPDAC-C12,Other or needs-review ASP-DAC proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/aspdac/BishnoiOT16; pages=769-774
