award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ASPLOS-2024-A01,ASPLOS,ASPLOS,2024,complete,Best Paper Award,best_paper,Winner,Centauri: Enabling Efficient Scheduling for Communication-Computation Overlap in Large Model Training via Communication Partitioning,Chang Chen|Xiuhong Li|Qianchao Zhu|Jiangfei Duan|Peng Sun|Xingcheng Zhang|Chao Yang,ASPLOS-2024-P0028,10.1145/3620666.3651379,https://www.asplos-conference.org/asplos2024/best-paper-awards/,https://doi.org/10.1145/3620666.3651379,https://doi.org/10.1145/3620666.3651379,https://dblp.org/search?q=Centauri%3A%20Enabling%20Efficient%20Scheduling%20for%20Communication-Computation%20Overlap%20in%20Large%20Model%20Training%20via%20Communication%20Partitioning,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/best-paper-awards/,official_page,primary,verified,high,none,,T01/T02/T03,llm_dnn_neural_rendering_ai_systems,training,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,"LLM, DNN, neural rendering, and AI systems. Official ASPLOS 2024 best-paper page."
ASPLOS-2024-A02,ASPLOS,ASPLOS,2024,complete,Best Paper Award,best_paper,Winner,GIANTSAN: Efficient Memory Sanitization with Segment Folding,Hao Ling|Heqing Huang|Chengpeng Wang|Yuandao Cai|Charles Zhang,ASPLOS-2024-P0070,10.1145/3620665.3640391,https://www.asplos-conference.org/asplos2024/best-paper-awards/,https://doi.org/10.1145/3620665.3640391,https://doi.org/10.1145/3620665.3640391,https://dblp.org/search?q=GIANTSAN%3A%20Efficient%20Memory%20Sanitization%20with%20Segment%20Folding,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/best-paper-awards/,official_page,primary,verified,high,none,,T10/T11,memory_storage_persistence_cxl_disaggregation,memory,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,"Memory, storage, persistence, CXL, and disaggregation. Official ASPLOS 2024 best-paper page."
ASPLOS-2024-A03,ASPLOS,ASPLOS,2024,complete,Best Paper Award,best_paper,Winner,Automatic Generation of Vectorizing Compilers for Customizable Digital Signal Processors,Samuel Thomas|James Bornholt,ASPLOS-2024-P0017,10.1145/3617232.3624873,https://www.asplos-conference.org/asplos2024/best-paper-awards/,https://doi.org/10.1145/3617232.3624873,https://doi.org/10.1145/3617232.3624873,https://dblp.org/search?q=Automatic%20Generation%20of%20Vectorizing%20Compilers%20for%20Customizable%20Digital%20Signal%20Processors,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/best-paper-awards/,official_page,primary,verified,high,none,,T07/T08/T12,compiler_runtime_hls_dataflow_tooling,compiler,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,"Compiler, runtime, language, HLS, and dataflow tooling. Official ASPLOS 2024 best-paper page."
ASPLOS-2024-A04,ASPLOS,ASPLOS,2024,complete,Best Paper Award,best_paper,Winner,CSSTs: A Dynamic Data Structure for Partial Orders in Concurrent Execution Analysis,Hunkar Can Tunc|Ameya Prashant Deshmukh|Berk Cirisci|Constantin Enea|Andreas Pavlogiannis,ASPLOS-2024-P0040,10.1145/3620666.3651358,https://www.asplos-conference.org/asplos2024/best-paper-awards/,https://doi.org/10.1145/3620666.3651358,https://doi.org/10.1145/3620666.3651358,https://dblp.org/search?q=CSSTs%3A%20A%20Dynamic%20Data%20Structure%20for%20Partial%20Orders%20in%20Concurrent%20Execution%20Analysis,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/best-paper-awards/,official_page,primary,verified,high,none,,T11,general_asplos_needs_review,systems|needs_review,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,General ASPLOS systems and needs-review rows. Official ASPLOS 2024 best-paper page.
ASPLOS-2024-A05,ASPLOS,ASPLOS,2024,complete,Best Paper Award,best_paper,Winner,PDIP: Priority Directed Instruction Prefetching,Bhargav Reddy Godala|Sankara Prasad Ramesh|Gilles A. Pokam|Jared Stark|Andre Seznec|Dean Tullsen|David I. August,ASPLOS-2024-P0122,10.1145/3620665.3640394,https://www.asplos-conference.org/asplos2024/best-paper-awards/,https://doi.org/10.1145/3620665.3640394,https://doi.org/10.1145/3620665.3640394,https://dblp.org/search?q=PDIP%3A%20Priority%20Directed%20Instruction%20Prefetching,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/best-paper-awards/,official_page,primary,verified,high,none,,T10/T11,memory_storage_persistence_cxl_disaggregation,prefetch,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,"Memory, storage, persistence, CXL, and disaggregation. Official ASPLOS 2024 best-paper page."
ASPLOS-2024-A06,ASPLOS,ASPLOS,2024,complete,Best Paper Award,best_paper,Winner,ngAP: Non-blocking Large-scale Automata Processing on GPUs,Tianao Ge|Tong Zhang|Hongyuan Liu,ASPLOS-2024-P0112,10.1145/3617232.3624848,https://www.asplos-conference.org/asplos2024/best-paper-awards/,https://doi.org/10.1145/3617232.3624848,https://doi.org/10.1145/3617232.3624848,https://dblp.org/search?q=ngAP%3A%20Non-blocking%20Large-scale%20Automata%20Processing%20on%20GPUs,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/best-paper-awards/,official_page,primary,verified,high,none,,T11,general_asplos_needs_review,systems|needs_review,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,General ASPLOS systems and needs-review rows. Official ASPLOS 2024 best-paper page.
ASPLOS-2024-A07,ASPLOS,ASPLOS,2024,complete,Influential Paper Award,test_of_time,Winner,DianNao: a small-footprint high-throughput accelerator for ubiquitous machine-learning,Tianshi Chen|Zidong Du|Ninghui Sun|Jia Wang|Chengyong Wu|Yunji Chen|Olivier Temam,,10.1145/2541940.2541967,https://www.asplos-conference.org/asplos2024/acm-sigarch-sigplan-sigops-asplos-influential-paper-award/,,https://doi.org/10.1145/2541940.2541967,,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/acm-sigarch-sigplan-sigops-asplos-influential-paper-award/,official_page,primary,verified,high,none,,T06/T07/T12,accelerators_fpga_reconfigurable_dsa,accelerator,milestone,maybe,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,"Accelerators, FPGA, reconfigurable, and domain-specific architecture. Official ASPLOS 2024 influential-paper page. Second-wave DOI backfilled for historical influential-paper award on 2026-06-27; no local 2016-2026 paper_id added."
ASPLOS-2024-A08,ASPLOS,ASPLOS,2024,complete,Influential Paper Award,test_of_time,Winner,Paragon: QoS-Aware Scheduling for Heterogeneous Datacenters,Christina Delimitrou|Christos Kozyrakis,,10.1145/2451116.2451125,https://www.asplos-conference.org/asplos2024/acm-sigarch-sigplan-sigops-asplos-influential-paper-award/,,https://doi.org/10.1145/2451116.2451125,,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/acm-sigarch-sigplan-sigops-asplos-influential-paper-award/,official_page,primary,verified,high,none,,T08/T10,cloud_serverless_datacenter_networking,datacenter,milestone,maybe,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,"Cloud, serverless, datacenter, networking, and production systems. Official ASPLOS 2024 influential-paper page. Second-wave DOI backfilled for historical influential-paper award on 2026-06-27; no local 2016-2026 paper_id added."
ASPLOS-2024-A09,ASPLOS,ASPLOS,2024,complete,Influential Paper Award,test_of_time,Winner,ELI: bare-metal performance for I/O virtualization,Abel Gordon|Nadav Amit|Nadav Har'El|Muli Ben-Yehuda|Alex Landau|Assaf Schuster|Dan Tsafrir,,10.1145/2150976.2151020,https://www.asplos-conference.org/asplos2024/acm-sigarch-sigplan-sigops-asplos-influential-paper-award/,,https://doi.org/10.1145/2150976.2151020,,Official ASPLOS 2024 awards page,https://www.asplos-conference.org/asplos2024/acm-sigarch-sigplan-sigops-asplos-influential-paper-award/,official_page,primary,verified,high,none,,T11,general_asplos_needs_review,systems|needs_review,milestone,maybe,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,General ASPLOS systems and needs-review rows. Official ASPLOS 2024 influential-paper page. Second-wave DOI backfilled for historical influential-paper award on 2026-06-27; no local 2016-2026 paper_id added.
ASPLOS-2025-A10,ASPLOS,ASPLOS,2025,complete,Best Paper Award,best_paper,Winner,CXLfork: Fast Remote Fork over CXL Fabrics,Chloe Alverti|Stratos Psomadakis|Burak Ocalan|Shashwat Jaiswal|Tianyin Xu|Josep Torrellas,ASPLOS-2025-P0036,10.1145/3676641.3715988,https://www.asplos-conference.org/asplos2025/awards/,https://doi.org/10.1145/3676641.3715988,https://doi.org/10.1145/3676641.3715988,https://dblp.org/search?q=CXLfork%3A%20Fast%20Remote%20Fork%20over%20CXL%20Fabrics,Official ASPLOS 2025 awards page,https://www.asplos-conference.org/asplos2025/awards/,official_page,primary,verified,high,none,,T10/T11,memory_storage_persistence_cxl_disaggregation,cxl,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,,"Memory, storage, persistence, CXL, and disaggregation. Official ASPLOS 2025 awards page."
