paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ASPLOS-2016-P0001,ASPLOS,ASPLOS,2016,complete,A DNA-Based Archival Storage System,James Bornholt|Randolph Lopez|Douglas M. Carmean|Luis Ceze|Georg Seelig|Karin Strauss,Main Program,,accepted_paper,10.1145/2872362.2872397,https://doi.org/10.1145/2872362.2872397,,,,https://dblp.org/search?q=A%20DNA-Based%20Archival%20Storage%20System,,https://doi.org/10.1145/2872362.2872397,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872397,paper,primary,verified,high,T10/T11,memory_storage_persistence_cxl_disaggregation,storage,ASPLOS-C02,"Memory, storage, persistence, CXL, and disaggregation",provisional,keyword/session based provisional cluster.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0002,ASPLOS,ASPLOS,2016,complete,An Energy-interference-free Hardware-Software Debugger for Intermittent Energy-harvesting Systems,Alexei Colin|Graham Harvey|Brandon Lucia|Alanson P. Sample,Main Program,,accepted_paper,10.1145/2872362.2872409,https://doi.org/10.1145/2872362.2872409,,,,https://dblp.org/search?q=An%20Energy-interference-free%20Hardware-Software%20Debugger%20for%20Intermittent%20Energy-harvesting%20Systems,,https://doi.org/10.1145/2872362.2872409,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872409,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0003,ASPLOS,ASPLOS,2016,complete,Analyzing Behavior Specialized Acceleration,Tony Nowatzki|Karthikeyan Sankaralingam,Main Program,,accepted_paper,10.1145/2872362.2872412,https://doi.org/10.1145/2872362.2872412,,,,https://dblp.org/search?q=Analyzing%20Behavior%20Specialized%20Acceleration,,https://doi.org/10.1145/2872362.2872412,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872412,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0004,ASPLOS,ASPLOS,2016,complete,ANVIL,Zelalem Birhanu Aweke|Salessawi Ferede Yitbarek|Rui Qiao|Reetuparna Das|Matthew Hicks|Yossi Oren|Todd Austin,Main Program,,accepted_paper,10.1145/2872362.2872390,https://doi.org/10.1145/2872362.2872390,,,,https://dblp.org/search?q=ANVIL,,https://doi.org/10.1145/2872362.2872390,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872390,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0005,ASPLOS,ASPLOS,2016,complete,Architecture-Adaptive Code Variant Tuning,Saurav Muralidharan|Amit Roy|Mary Hall|Michael Garland|Piyush Rai,Main Program,,accepted_paper,10.1145/2872362.2872411,https://doi.org/10.1145/2872362.2872411,,,,https://dblp.org/search?q=Architecture-Adaptive%20Code%20Variant%20Tuning,,https://doi.org/10.1145/2872362.2872411,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872411,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0006,ASPLOS,ASPLOS,2016,complete,AxGames,Jongse Park|Emmanuel Amaro|Divya Mahajan|Bradley Thwaites|Hadi Esmaeilzadeh,Main Program,,accepted_paper,10.1145/2872362.2872376,https://doi.org/10.1145/2872362.2872376,,,,https://dblp.org/search?q=AxGames,,https://doi.org/10.1145/2872362.2872376,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872376,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0007,ASPLOS,ASPLOS,2016,complete,Baymax,Quan Chen|Hailong Yang|Jason Mars|Lingjia Tang,Main Program,,accepted_paper,10.1145/2872362.2872368,https://doi.org/10.1145/2872362.2872368,,,,https://dblp.org/search?q=Baymax,,https://doi.org/10.1145/2872362.2872368,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872368,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0008,ASPLOS,ASPLOS,2016,complete,Brain Inspired Computing,R. Stanley Williams,Main Program,,accepted_paper,10.1145/2872362.2872417,https://doi.org/10.1145/2872362.2872417,,,,https://dblp.org/search?q=Brain%20Inspired%20Computing,,https://doi.org/10.1145/2872362.2872417,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872417,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0009,ASPLOS,ASPLOS,2016,complete,CASPAR,Tanmay Gangwani|Adam Morrison|Josep Torrellas,Main Program,,accepted_paper,10.1145/2872362.2872400,https://doi.org/10.1145/2872362.2872400,,,,https://dblp.org/search?q=CASPAR,,https://doi.org/10.1145/2872362.2872400,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872400,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0010,ASPLOS,ASPLOS,2016,complete,CloudSeer,Xiao Yu|Pallavi Joshi|Jianwu Xu|Guoliang Jin|Hui Zhang|Guofei Jiang,Main Program,,accepted_paper,10.1145/2872362.2872407,https://doi.org/10.1145/2872362.2872407,,,,https://dblp.org/search?q=CloudSeer,,https://doi.org/10.1145/2872362.2872407,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872407,paper,primary,verified,high,T08/T10,cloud_serverless_datacenter_networking,cloud,ASPLOS-C05,"Cloud, serverless, datacenter, networking, and production systems",provisional,keyword/session based provisional cluster.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
ASPLOS-2016-P0011,ASPLOS,ASPLOS,2016,complete,COATCheck,Daniel Lustig|Geet Sethi|Margaret Martonosi|Abhishek Bhattacharjee,Main Program,,accepted_paper,10.1145/2872362.2872399,https://doi.org/10.1145/2872362.2872399,,,,https://dblp.org/search?q=COATCheck,,https://doi.org/10.1145/2872362.2872399,,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,https://doi.org/10.1145/2872362.2872399,paper,primary,verified,high,T11,general_asplos_needs_review,systems|needs_review,ASPLOS-C10,General ASPLOS systems and needs-review rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,Crossref proceedings volume DOI=10.1145/2872362
