award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
CICC-2016-A011,CICC,CICC,2016,missing,Award/source coverage marker,other,,No reliable CICC 2016 award-winner source found in this run,,,,https://www.ieee-cicc.org/,,,,CICC 2016 Award Winners,https://www.ieee-cicc.org/,official_page,primary,needs_review,low,none,,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,none,no,,award_title|official_url,Coverage marker only; do not treat as a claim that no award existed.
CICC-2017-A012,CICC,CICC,2017,missing,Award/source coverage marker,other,,No reliable CICC 2017 award-winner source found in this run,,,,https://www.ieee-cicc.org/,,,,CICC 2017 Award Winners,https://www.ieee-cicc.org/,official_page,primary,needs_review,low,none,,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,none,no,,award_title|official_url,Coverage marker only; do not treat as a claim that no award existed.
CICC-2018-A013,CICC,CICC,2018,missing,Award/source coverage marker,other,,No reliable CICC 2018 award-winner source found in this run,,,,https://www.ieee-cicc.org/,,,,CICC 2018 Award Winners,https://www.ieee-cicc.org/,official_page,primary,needs_review,low,none,,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,none,no,,award_title|official_url,Coverage marker only; do not treat as a claim that no award existed.
CICC-2019-A001,CICC,CICC,2019,complete,Outstanding Regular Paper,best_paper,Winner,A 20.1 -uW 1.8 GHz Near-Field Dielectric Plethysmography (NF-DPG) Heart Rate Sensor with Time-Based Edge Sampling,Jun-Chau Chien,CICC-2019-P0029,10.1109/cicc.2019.8780179,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,https://doi.org/10.1109/cicc.2019.8780179,,CICC 2019 Award Winners,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,official_page,primary,verified,high,none,,T03/T04/T11,biomedical_sensor_interfaces,sensor|biomedical|wearable|near-field|heart-rate,none,maybe,"impact_unverified; award status is source-backed, long-term influence not audited.",,Second-wave: paper_id/DOI aligned against DOI-backed papers.csv row; award source remains the official CICC award page.
CICC-2019-A002,CICC,CICC,2019,complete,Outstanding Invited Paper,other,Winner,Fully Integrated Solutions for High Resolution Terahertz Imaging,Ali Mostajeran|Hamideza Aghasi|S.M. Hossein Haghavi|Ehsan Afshari,CICC-2019-P0102,10.1109/cicc.2019.8780262,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,https://doi.org/10.1109/cicc.2019.8780262,,CICC 2019 Award Winners,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,official_page,primary,verified,medium,author_spelling_variant,Official award page and DOI metadata use spelling variants for Hamideza/Hamidreza and Haghavi/Naghavi; paper_id alignment remains source-backed by title.,T12,rf_mmwave_thz,thz|imaging|rf|mmwave|integrated_system,none,maybe,"impact_unverified; award status is source-backed, long-term influence not audited.",,Second-wave: paper_id/DOI aligned against DOI-backed papers.csv row; award source remains the official CICC award page. Conflict retained for parent review.
CICC-2019-A003,CICC,CICC,2019,complete,Outstanding Student Paper Award,best_student_paper,Winner,A 12.8-Gbaud ADC-based NRZ/PAM4 Receiver with Embedded Tunable IIR Equalization Filter Achieving 2.43-pJ/b in 65nm CMOS,Jae-Won Nam|Mike Shuo-Wei Chen,CICC-2019-P0018,10.1109/cicc.2019.8780118,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,https://doi.org/10.1109/cicc.2019.8780118,,CICC 2019 Award Winners,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,official_page,primary,verified,high,none,,T10/T12,wireline_optical_io,serdes|wireline|pam4|adc_receiver|equalization,none,maybe,"impact_unverified; award status is source-backed, long-term influence not audited.",,Second-wave: paper_id/DOI aligned against DOI-backed papers.csv row; award source remains the official CICC award page.
CICC-2019-A004,CICC,CICC,2019,complete,Outstanding Student Paper Award,best_student_paper,Winner,A 1.2 V Single Supply Hybrid Current-/Voltage-Mode Three-Way Digital Doherty PA with Built-In Large-Signal Phase Compensation Achieving Less-Than 5 AM-PM,Doohwan Jung|Jongseok Park|Sensen Li|Tzu-Yuan Huang|Haun Zhao|Hua Wang,CICC-2019-P0011,10.1109/cicc.2019.8780290,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,https://doi.org/10.1109/cicc.2019.8780290,,CICC 2019 Award Winners,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,official_page,primary,verified,medium,author_spelling_variant,Official award page and DOI metadata use Haun/Huan Zhao spelling variants; paper_id alignment remains source-backed by title.,T12,rf_mmwave_thz,rf|power_amplifier|doherty|linearization,none,maybe,"impact_unverified; award status is source-backed, long-term influence not audited.",,Second-wave: paper_id/DOI aligned against DOI-backed papers.csv row; award source remains the official CICC award page. Conflict retained for parent review.
CICC-2019-A005,CICC,CICC,2019,complete,Outstanding Student Paper Award,best_student_paper,Winner,"A 0.9V, 97.7dB SNDR, 2MHZ-BW, Highly Linear OTA-less 1-1 MASH VCO-Based ADC with a Novel Phase Quantization Noise Extraction Technique",Hamidreza Maghami|Pedram Payandehnia|Hossein Mirzaie|Ramin Zanbaghi|Siladitya Dey|Justin Goins|Kartikeya Mayaram|Terri S. Fiez,CICC-2019-P0001,10.1109/cicc.2019.8780126,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,https://doi.org/10.1109/cicc.2019.8780126,,CICC 2019 Award Winners,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,official_page,primary,conflicting,medium,title_metric_conflict,Official award page title uses 97.7dB SNDR while DOI metadata row CICC-2019-P0001 uses 79.7dB SNDR; paper_id/DOI alignment is a candidate pending official program or IEEE full-page review.,T11/T12,data_converters,adc|delta_sigma|vco|quantization_noise,none,maybe,"impact_unverified; award status is source-backed, long-term influence not audited.",title_metric_conflict,Second-wave: paper_id/DOI aligned against DOI-backed papers.csv row; award source remains the official CICC award page. Conflict retained for parent review.
CICC-2019-A006,CICC,CICC,2019,complete,Best Paper Award,best_paper,Winner,A Wearable Real-Time CMOS Dosimeter with Integrated Zero-bias Floating-Gate Sensor and an 861nW 18-bit Energy-Resolution Scalable Time-based Radiation to Digital Converter,Baibhab Chatterjee|Charilaos Mousoulis|Shovan Maity|Anurag Kumar|Sean Scott|Daniel Valentino|Dimitrios Peroulis|Shreyas Sen,CICC-2019-P0074,10.1109/cicc.2019.8780182,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,https://doi.org/10.1109/cicc.2019.8780182,,CICC 2019 Award Winners,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,official_page,primary,verified,high,none,,T03/T04/T11,biomedical_sensor_interfaces,wearable|dosimeter|sensor|radiation|time_based_converter,milestone,maybe,"impact_unverified; award status is source-backed, long-term influence not audited.",,Second-wave: paper_id/DOI aligned against DOI-backed papers.csv row; award source remains the official CICC award page.
CICC-2020-A014,CICC,CICC,2020,missing,Award/source coverage marker,other,,No reliable CICC 2020 award-winner source found in this run,,,,https://www.ieee-cicc.org/,,,,CICC 2020 Award Winners,https://www.ieee-cicc.org/,official_page,primary,needs_review,low,none,,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,none,no,,award_title|official_url,Coverage marker only; do not treat as a claim that no award existed.
