paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
CICC-2016-P0001,CICC,CICC,2016,missing,CICC 2016 accepted-paper coverage marker: no reliable title-level source found in this run,,,,other,,,,,,https://dblp.org/db/conf/cicc/index.html,,,,CICC source-discovery audit for 2016,https://dblp.org/db/conf/cicc/index.html,bib_index,secondary,needs_review,low,,,coverage_gap,,,uncertain,Crossref exact CICC/container query returned zero 2016 rows; DBLP index access was unstable and public index did not expose 2016 in the captured pass.,,,,,none,,,no,title|authors|doi|official_url,"Missing coverage marker, not a paper."
CICC-2017-P0001,CICC,CICC,2017,complete,"12× bit-error acceptable, 300× extended data-retention time, value-aware SSD with vertical 3D-TLC NAND flash memories for image recognition",Yoshiaki Deguchi|Toshiki Nakamura|Atsuro Kobayashi|Ken Takeuchi,Technical Program,,accepted_paper,10.1109/cicc.2017.7993687,,https://doi.org/10.1109/cicc.2017.7993687,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993687,paper,primary,verified,high,T10/T12,memory_macros,sram|dram|nvm|memory,CICC-C09,Memory macros and storage circuits,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0002,CICC,CICC,2017,complete,"A 0.031mm2, 910fs, 0.5–4GHz injection type SOC PLL with 90dB built-in supply noise rejection in 10nm FinFET CMOS",Chin-Yang Wu|Ruei-Pin Shen|Chih-Hsien Chang|Kenny Hsieh|Mark Chen,Technical Program,,accepted_paper,10.1109/cicc.2017.7993676,,https://doi.org/10.1109/cicc.2017.7993676,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993676,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0003,CICC,CICC,2017,complete,A 0.13μm 64Mb HfOx ReRAM using configurable ramped voltage write and low read-disturb sensing techniques for reliability improvement,Xiaowei Han|Qian Jia|Hongbin Sun|Longfei Wang|Huaqiang Wu|Yimao Cai|Feng Zhang|Yongyi Xie|Fangxu Dong|Xiaoguang Wang|Xiaofei Xue|Li Pang|Xiaoqing Zhao|Mengnan Wu|Pu Bai|Qi Liu|Hangbing Lv|Bing Yu|Chao Zhao|He Qian|Ru Huang|Ming Liu|Yumei Zhou|Nanning Zheng|Qiwei Ren,Technical Program,,accepted_paper,10.1109/cicc.2017.7993685,,https://doi.org/10.1109/cicc.2017.7993685,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993685,paper,primary,verified,high,T05/T06/T10,compute_in_memory_analog_ai,compute_in_memory|analog_ai|rram|sram|neuromorphic|pim,CICC-C07,"Compute-in-memory, analog AI, and neuromorphic compute",split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0004,CICC,CICC,2017,complete,"A 0.5V supply, 49nW band-gap reference and crystal oscillator in 40nm CMOS",Abhirup Lahiri|Pradeep Badrathwal|Nitin Jain|Kallol Chatterjee,Technical Program,,accepted_paper,10.1109/cicc.2017.7993603,,https://doi.org/10.1109/cicc.2017.7993603,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993603,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0005,CICC,CICC,2017,complete,A 0.65mW 20MHz 5th-order low-pass filter with +28.8dBm IIP3 using source follower coupling,Yang Xu|Jason Muhlestein|Un-Ku Moon,Technical Program,,accepted_paper,10.1109/cicc.2017.7993607,,https://doi.org/10.1109/cicc.2017.7993607,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993607,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0006,CICC,CICC,2017,complete,A 0.7V time-based inductor for fully integrated low bandwidth filter applications,Braedon Salz|Mrunmay Talegaonkar|Guanghua Shu|Ahmed Elmallah|Romesh Nandwana|Bibhudatta Sahoo|Pavan Kumar Hanumolu,Technical Program,,accepted_paper,10.1109/cicc.2017.7993606,,https://doi.org/10.1109/cicc.2017.7993606,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993606,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0007,CICC,CICC,2017,complete,A 0.8∼1.3 GHz multi-phase injection-locked PLL using capacitive coupled multi-ring oscillator with reference spur suppression,Ruixin Wang|Fa Foster Dai,Technical Program,,accepted_paper,10.1109/cicc.2017.7993634,,https://doi.org/10.1109/cicc.2017.7993634,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993634,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0008,CICC,CICC,2017,complete,"A 0.951 psrms period jitter, 3.2% modulation range, DSM-free, spread-spectrum PLL",Hyuk Sun|Kazuki Sobue|Koichi Hamashita|Tejasvi Anand|Un-Ku Moon,Technical Program,,accepted_paper,10.1109/cicc.2017.7993675,,https://doi.org/10.1109/cicc.2017.7993675,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993675,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0009,CICC,CICC,2017,complete,"A 1.2 V, 0.84 pJ/conv.-Step ultra-low power capacitance to digital converter for microphone based auscultation",Neelakantan Narasimman|Dipankar Nag|Kevin Chai Tshun Chuan|Tony T. Kim,Technical Program,,accepted_paper,10.1109/cicc.2017.7993661,,https://doi.org/10.1109/cicc.2017.7993661,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993661,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0010,CICC,CICC,2017,complete,A 1.2A auto-configurable dual-output switched-capacitor DC-DC regulator with continuous gate-drive modulation achieving <0.01mV/mA cross regulation,Zhe Hua|Hoi Lee,Technical Program,,accepted_paper,10.1109/cicc.2017.7993624,,https://doi.org/10.1109/cicc.2017.7993624,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993624,paper,primary,verified,high,T04/T10/T12,power_management,dc-dc|ldo|pmic|power_delivery|energy_harvesting,CICC-C04,"Power management, voltage regulation, and power delivery",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
