award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
DATE-2016-A001,DATE,DATE,2016,complete,DATE Best Paper Award,best_paper,D Track,Utilizing Macromodels in Floating Random Walk Based Capacitance Extraction,Wenjian Yu|Bolong Zhang|Chao Zhang|Haiquan Wang and Luca Daniel,DATE-2016-P0252,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0202.xml,,,DATE 2016 Best Papers,https://past.date-conference.com/proceedings-archive/2016/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T11|T12,formal_verification_hardware_correctness,verification|formal|correctness,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2016-A002,DATE,DATE,2016,complete,DATE Best Paper Award,best_paper,A Track,OTEM: Optimized Thermal and Energy Management for Hybrid Electrical Energy Storage in Electric Vehicles,Korosh Vatanparvar and Mohammad Abdullah Al Faruque,DATE-2016-P0176,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0904.xml,,,DATE 2016 Best Papers,https://past.date-conference.com/proceedings-archive/2016/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T10|T12,low_power_thermal_sustainable_computing,power|thermal|sustainability,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2016-A003,DATE,DATE,2016,complete,DATE Best Paper Award,best_paper,T Track,Modeling Fabrication Non-Uniformity in Chip-Scale Silicon Photonic Interconnects,Mahdi Nikdast|Gabriela Nicolescu|Jelena Trajkovic and Odile Liboiron-Ladouceur,DATE-2016-P0162,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0719.xml,,,DATE 2016 Best Papers,https://past.date-conference.com/proceedings-archive/2016/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T09|T12,emerging_compute_substrates,emerging_device|novel_compute,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2016-A004,DATE,DATE,2016,complete,DATE Best Paper Award,best_paper,E Track,Probabilistic WCET Estimation in Presence of Hardware for Mitigating the Impact of Permanent Faults,Damien Hardy|Isabelle Puaut and Yiannakis Sazeides,DATE-2016-P0192,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0551.xml,,,DATE 2016 Best Papers,https://past.date-conference.com/proceedings-archive/2016/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2017-A005,DATE,DATE,2017,complete,DATE Best Paper Award,best_paper,D Track,Automatic Place-and-Route of Emerging LED-Driven Wires within a Monolithically-Integrated CMOS+III-V Process,Tushar Krishna|Arya Balachandran|Siau Ben Chiah Li Zhang|Bing Wang|Cong Wang|Kenneth Lee Eng Kian|Jurgen Michel and Li-Shiuan Peh,DATE-2017-P0369,,https://past.date-conference.com/proceedings-archive/2017/html/toc.html,https://past.date-conference.com/proceedings-archive/2017/html/0074.html,,,DATE 2017 Best Papers,https://past.date-conference.com/proceedings-archive/2017/html/bestpaper.html,official_page,primary,verified,high,resolved_source_conflict,Second-wave award-source agent aligned this row to official DATE award page and matching corpus paper_id; previous title/paper_id was stale or mismatched.,T06|T10,heterogeneous_soc_noc_chiplet_memory,soc|noc|memory_hierarchy,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2017-A006,DATE,DATE,2017,complete,DATE Best Paper Award,best_paper,A Track,CoSyn: Efficient Single-Cell Analysis Using a Hybrid Microfluidic Platform,Mohamed Ibrahim|Krishnendu Chakrabarty and Ulf Schlichtmann,DATE-2017-P0393,,https://past.date-conference.com/proceedings-archive/2017/html/toc.html,https://past.date-conference.com/proceedings-archive/2017/html/0460.html,,,DATE 2017 Best Papers,https://past.date-conference.com/proceedings-archive/2017/html/bestpaper.html,official_page,primary,verified,high,resolved_source_conflict,Second-wave award-source agent aligned this row to official DATE award page and matching corpus paper_id; previous title/paper_id was stale or mismatched.,T09|T12,emerging_compute_substrates,emerging_device|novel_compute,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2017-A007,DATE,DATE,2017,complete,DATE Best Paper Award,best_paper,T Track,Fast and Waveform-Accurate Hazard-Aware SAT-Based TSOF ATPG,Jan Burchard|Dominik Erb|Adit D. Singh|Sudhakar M. Reddy and Bernd Becker,DATE-2017-P0441,,https://past.date-conference.com/proceedings-archive/2017/html/toc.html,https://past.date-conference.com/proceedings-archive/2017/html/0203.html,,,DATE 2017 Best Papers,https://past.date-conference.com/proceedings-archive/2017/html/bestpaper.html,official_page,primary,verified,high,resolved_source_conflict,Second-wave award-source agent aligned this row to official DATE award page and matching corpus paper_id; previous title/paper_id was stale or mismatched.,T11|T12,formal_verification_hardware_correctness,verification|formal|correctness,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2017-A008,DATE,DATE,2017,complete,DATE Best Paper Award,best_paper,E Track,MoDNN: Local Distributed Mobile Computing System for Deep Neural Network,Jiachen Mao|Xiang Chen|Kent W. Nixon|Christopher Krieger and Yiran Chen,DATE-2017-P0496,10.23919/DATE.2017.7927211,https://past.date-conference.com/proceedings-archive/2017/html/toc.html,https://past.date-conference.com/proceedings-archive/2017/html/0402.html,,https://dblp.org/rec/conf/date/MaoCNKC17,DATE 2017 Best Papers,https://past.date-conference.com/proceedings-archive/2017/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T04|T08,embedded_realtime_cps_robotics_edge,edge|real_time|cps_or_robotics,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2018-A009,DATE,DATE,2018,complete,DATE Best Paper Award,best_paper,D Track,Efficient Verification of Multi-Property Designs (The Benefit of Wrong Assumptions),Eugene Goldberg|Matthias Güdemann|Daniel Kroening and Rajdeep Mukherjee,DATE-2018-P0931,,https://past.date-conference.com/proceedings-archive/2018/html/toc.html,https://past.date-conference.com/proceedings-archive/2018/html/0605.html,,,DATE 2018 Best Papers,https://past.date-conference.com/proceedings-archive/2018/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T11|T12,formal_verification_hardware_correctness,verification|formal|correctness,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,doi,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
DATE-2018-A010,DATE,DATE,2018,complete,DATE Best Paper Award,best_paper,A Track,MATIC: Learning Around Errors for Efficient Low-Voltage Neural Network Accelerators,Sung Kim|Patrick Howe|Thierry Moreau|Armin Alaghi|Luis Ceze and Visvesh Sathe,DATE-2018-P0809,10.23919/DATE.2018.8341970,https://past.date-conference.com/proceedings-archive/2018/html/toc.html,https://past.date-conference.com/proceedings-archive/2018/html/0859.html,,,DATE 2018 Best Papers,https://past.date-conference.com/proceedings-archive/2018/html/bestpaper.html,official_page,primary,verified,high,none,Canonical official award source found.,T02|T03|T05,ai_inference_model_specific_accelerators,ai_inference|model_specific|accelerator,milestone,yes,Official DATE Best Paper Award; recognition is a milestone candidate but not long-term impact proof.,,Second-wave award-source reconciliation completed on 2026-06-27; canonical official source found.
