paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
DATE-2016-P0001,DATE,DATE,2016,complete,3T-TFET bitcell based TFET-CMOS Hybrid SRAM design for Ultra-Low Power Applications,Navneet Gupta|Adam Makosiej|Andrei Vladimirescu|Amara Amara and Costin Anghel,technical_program,Ultra-low Energy Memory Devices,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0462.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0462.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0462.xml,proceedings,primary,verified,medium,T01|T10,memory_centric_acceleration,memory_centric|pim_cim|ai_acceleration,DATE-C02,ACC02 Memory-centric acceleration,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0002,DATE,DATE,2016,complete,"A Cross-Layer Analysis of Soft Error, Aging and Process Variation in Near Threshold Computing",Anteneh Gebregiorgis|Saman Kiamehr|Fabian Oboril|Rajendra Bishnoi and Mehdi B. Tahoori,technical_program,Dealing with Runtime Failures,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0270.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0270.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0270.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0003,DATE,DATE,2016,complete,A Data Layout Transformation (DLT) Accelerator: Architectural Support for Data Movement Optimization in Accelerated-centric Heterogeneous Systems,Tung Thanh-Hoang|Amirali Shambayati and Andrew A. Chien,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0906.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0906.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0906.xml,proceedings,primary,verified,medium,T02|T03|T05,ai_inference_model_specific_accelerators,ai_inference|model_specific|accelerator,DATE-C01,ACC01 AI inference and model-specific accelerators,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0004,DATE,DATE,2016,complete,A Detailed Methodology to Compute Soft Error Rates in Advanced Technologies,Marc Riera|Ramon Canal|Jaume Abella and Antonio Gonzalez,technical_program,Dealing with Runtime Failures,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0146.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0146.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0146.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0005,DATE,DATE,2016,complete,A Digital Processor Architecture for Combined EEG/EMG Falling Risk Prediction,V. F. Annese|M. Crepaldi|D. Demarchi and D. De Venuto,technical_program,Low Power Devices and Methods for Healthcare and Assisted Living,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0365.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0365.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0365.xml,proceedings,primary,verified,medium,T10|T12,low_power_thermal_sustainable_computing,power|thermal|sustainability,DATE-C13,"PWR01 Low-power, thermal, sustainable computing",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0006,DATE,DATE,2016,complete,A Discrete Thermal Controller for Chip-Multiprocessors,Yingnan Cui|Wei Zhang and Bingsheng He,technical_program,Energy Efficient Systems and Architectures,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0656.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0656.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0656.xml,proceedings,primary,verified,medium,T10|T12,low_power_thermal_sustainable_computing,power|thermal|sustainability,DATE-C13,"PWR01 Low-power, thermal, sustainable computing",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0007,DATE,DATE,2016,complete,A Dynamically Reconfigurable ECC Decoder Architecture,Awais Sani|Philippe Coussy and Cyrille Chavet,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0196.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0196.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0196.xml,proceedings,primary,verified,medium,T06|T07,reconfigurable_spatial_dataflow,reconfigurable|spatial_dataflow|mapping,DATE-C03,ACC03 Reconfigurable and spatial dataflow architectures,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0008,DATE,DATE,2016,complete,A Fast Manufacturability Aware Optical Proximity Correction (OPC) Algorithm with Adaptive Wafer Image Estimation,Ahmed Awad|Atsushi Takahashi and Chikaaki Kodama,technical_program,Physical Design for Cutting-edge Lithography,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0509.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0509.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0509.xml,proceedings,primary,verified,medium,T10|T12,physical_implementation_chiplet_closure,physical_design|chiplet_or_3d|closure,DATE-C05,DA01 Physical implementation and 3D/chiplet closure,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0009,DATE,DATE,2016,complete,A Fine-grained Performance Model for GPU Architectures,Nicola Bombieri|Federico Busato and Franco Fummi,technical_program,Compilers and Tools for GPUs and MPSoCs,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0357.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0357.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0357.xml,proceedings,primary,verified,medium,T07|T08,hls_compilers_mapping_runtime,compiler|mapping|runtime,DATE-C09,"DA05 HLS, compilers, mapping, runtime DSE",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0010,DATE,DATE,2016,complete,A Flexible Inexact TMR Technique for SRAM-based FPGAs,Shyamsundar Venkataraman|Rui Santos and Akash Kumar,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0631.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0631.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0631.xml,proceedings,primary,verified,medium,T01|T10,memory_centric_acceleration,memory_centric|pim_cim|ai_acceleration,DATE-C02,ACC02 Memory-centric acceleration,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
