paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
FCCM-2016-P0001,FCCM,FCCM,2016,complete,A Content Adapted FPGA Memory Architecture with Pattern Recognition Capability for L1 Track Triggering in the LHC Environment,Tanja Harbaum|Mahmoud Seboui|Matthias Norbert Balzer|Jürgen Becker 0001|Marc Weber,Research,Paper Session T3 : Applications 3 (Computational Physics and Geography),accepted_paper,10.1109/FCCM.2016.52,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.52,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T10,data movement and streaming,memory,FCCM-C03,"Dataflow, memory, storage, and network datapaths",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0002,FCCM,FCCM,2016,complete,A Multi-ported Memory Compiler Utilizing True Dual-Port BRAMs,Ameer M. S. Abdelhadi|Guy G. F. Lemieux,Research,"Paper Session T2 : CAD, Synthesis, and Compilers 2",accepted_paper,10.1109/FCCM.2016.45,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.45,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T07,HLS/compiler/CAD,compiler,FCCM-C01,"HLS, compiler, CAD, and implementation closure",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0003,FCCM,FCCM,2016,complete,Accelerating Equi-Join on a CPU-FPGA Heterogeneous Platform,Ren Chen|Viktor K. Prasanna,Research,Paper Session T4 : Applications 4 (Big Data),accepted_paper,10.1109/FCCM.2016.62,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.62,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T11,custom-computing systems,custom_computing|fpga,FCCM-C08,Other custom-computing applications and systems,provisional,fallback provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0004,FCCM,FCCM,2016,complete,AutoSLIDE: Automatic Source-Level Instrumentation and Debugging for HLS,Liwei Yang|Swathi T. Gurumani|Deming Chen|Kyle Rupnow,Research,Paper Session T1 : Hardware Debug,accepted_paper,10.1109/FCCM.2016.38,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.38,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T07,HLS/compiler/CAD,hls,FCCM-C01,"HLS, compiler, CAD, and implementation closure",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0005,FCCM,FCCM,2016,complete,Continuous Online Self-Monitoring Introspection Circuitry for Timing Repair by Incremental Partial-Reconfiguration (COSMIC TRIP),Hans Giesen|Benjamin Gojman|Raphael Rubin|Ji Kim|André DeHon,Research,Paper Session T1 : Hardware Debug,accepted_paper,10.1109/FCCM.2016.36,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.36,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T11,evaluation and observability,monitor,FCCM-C07,"Benchmarking, profiling, power, debug, and evaluation",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0006,FCCM,FCCM,2016,complete,Cost Effective Partial Scan for Hardware Emulation,Tao Li|Qiang Liu 0011,Research,Paper Session T1 : Hardware Debug,accepted_paper,10.1109/FCCM.2016.39,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.39,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T11,custom-computing systems,custom_computing|fpga,FCCM-C08,Other custom-computing applications and systems,provisional,fallback provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0007,FCCM,FCCM,2016,complete,DeCO: A DSP Block Based FPGA Accelerator Overlay with Low Overhead Interconnect,Abhishek Kumar Jain|Xiangwei Li|Pranjul Singhai|Douglas L. Maskell|Suhaib A. Fahmy,Research,Paper Session M1 : Overlays,accepted_paper,10.1109/FCCM.2016.10,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.10,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T12,architecture primitives,overlay,FCCM-C06,"FPGA fabrics, overlays, CGRAs, soft processors, and arithmetic",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0008,FCCM,FCCM,2016,complete,Energy Efficiency of Full Pipelining: A Case Study for Matrix Multiplication,Peipei Zhou 0001|Hyunseok Park|Zhenman Fang|Jason Cong|André DeHon,Research,"Paper Session T2 : CAD, Synthesis, and Compilers 2",accepted_paper,10.1109/FCCM.2016.50,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.50,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T11,custom-computing systems,custom_computing|fpga,FCCM-C08,Other custom-computing applications and systems,provisional,fallback provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0009,FCCM,FCCM,2016,complete,FPGA-Accelerated Particle-Grid Mapping,Ahmed Sanaullah|Arash Khoshparvar|Martin C. Herbordt,Research,Paper Session T3 : Applications 3 (Computational Physics and Geography),accepted_paper,10.1109/FCCM.2016.53,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.53,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T04/T09,application accelerators,particle,FCCM-C04,"Scientific, graph, robotics, and irregular application accelerators",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0010,FCCM,FCCM,2016,complete,fpgaConvNet: A Framework for Mapping Convolutional Neural Networks on FPGAs,Stylianos I. Venieris|Christos-Savvas Bouganis,Research,Paper Session M2 : Applications 1 (Artificial Neural Networks & Computational Biology,accepted_paper,10.1109/FCCM.2016.22,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.22,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T02/T05,ML inference and precision,neural,FCCM-C02,"ML, DNN, LLM, and low-precision inference",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0011,FCCM,FCCM,2016,complete,GRVI Phalanx: A Massively Parallel RISC-V FPGA Accelerator Accelerator,Jan Gray,Research,Paper Session M1 : Overlays,accepted_paper,10.1109/FCCM.2016.12,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.12,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T12,architecture primitives,risc-v,FCCM-C06,"FPGA fabrics, overlays, CGRAs, soft processors, and arithmetic",provisional,keyword-based provisional cluster.,,,,FCCM-2016-A02,milestone,4,TCFPGA FCCM award row; long-term impact needs separate audit.,yes,per-paper_publisher_url,
FCCM-2016-P0012,FCCM,FCCM,2016,complete,High Performance Instruction Scheduling Circuits for Out-of-Order Soft Processors,Henry Wong|Vaughn Betz|Jonathan Rose,Research,Paper Session M1 : Overlays,accepted_paper,10.1109/FCCM.2016.11,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.11,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T12,architecture primitives,soft_processor,FCCM-C06,"FPGA fabrics, overlays, CGRAs, soft processors, and arithmetic",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0013,FCCM,FCCM,2016,complete,High-Throughput and Energy-Efficient Graph Processing on FPGA,Shijie Zhou 0001|Charalampos Chelmis|Viktor K. Prasanna,Research,Paper Session M4 : Applications 2 (Data & Operation Scheduling),accepted_paper,10.1109/FCCM.2016.35,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.35,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T04/T09,application accelerators,graph,FCCM-C04,"Scientific, graph, robotics, and irregular application accelerators",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0014,FCCM,FCCM,2016,complete,Improving Classification Accuracy of a Machine Learning Approach for FPGA Timing Closure,Que Yanghua|Nachiket Kapre|Harnhua Ng|Kirvy Teo,Research,"Paper Session M3 : CAD, Synthesis, and Compilers 1",accepted_paper,10.1109/FCCM.2016.28,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.28,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T02/T05,ML inference and precision,machine_learning,FCCM-C02,"ML, DNN, LLM, and low-precision inference",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0015,FCCM,FCCM,2016,complete,Increasing Network Size and Training Throughput of FPGA Restricted Boltzmann Machines Using Dropout,Jiang Su|David B. Thomas|Peter Y. K. Cheung,Research,Paper Session M2 : Applications 1 (Artificial Neural Networks & Computational Biology,accepted_paper,10.1109/FCCM.2016.23,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.23,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T10,data movement and streaming,network,FCCM-C03,"Dataflow, memory, storage, and network datapaths",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0016,FCCM,FCCM,2016,complete,KAPow: A System Identification Approach to Online Per-Module Power Estimation in FPGA Designs,Eddie Hung|James J. Davis 0001|Joshua M. Levine|Edward A. Stott|Peter Y. K. Cheung|George A. Constantinides,Research,"Paper Session M3 : CAD, Synthesis, and Compilers 1",accepted_paper,10.1109/FCCM.2016.25,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.25,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T11,evaluation and observability,power|estimation,FCCM-C07,"Benchmarking, profiling, power, debug, and evaluation",provisional,keyword-based provisional cluster.,,,,FCCM-2016-A01,milestone,4,TCFPGA FCCM award row; long-term impact needs separate audit.,yes,per-paper_publisher_url,
FCCM-2016-P0017,FCCM,FCCM,2016,complete,Knowledge Transfer in Automatic Optimisation of Reconfigurable Designs,Maciej Kurek|Marc Peter Deisenroth|Wayne Luk|Timothy John Todman,Research,"Paper Session M3 : CAD, Synthesis, and Compilers 1",accepted_paper,10.1109/FCCM.2016.29,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.29,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T11,custom-computing systems,custom_computing|fpga,FCCM-C08,Other custom-computing applications and systems,provisional,fallback provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0018,FCCM,FCCM,2016,complete,Loop Splitting for Efficient Pipelining in High-Level Synthesis,Junyi Liu|John Wickerson|George A. Constantinides,Research,"Paper Session M3 : CAD, Synthesis, and Compilers 1",accepted_paper,10.1109/FCCM.2016.27,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.27,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T07,HLS/compiler/CAD,high-level|synthesis,FCCM-C01,"HLS, compiler, CAD, and implementation closure",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0019,FCCM,FCCM,2016,complete,Marathon: Statically-Scheduled Conflict-Free Routing on FPGA Overlay NoCs,Nachiket Kapre,Research,"Paper Session T2 : CAD, Synthesis, and Compilers 2",accepted_paper,10.1109/FCCM.2016.47,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.47,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T07,HLS/compiler/CAD,routing,FCCM-C01,"HLS, compiler, CAD, and implementation closure",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0020,FCCM,FCCM,2016,complete,Online Bandwidth Reduction Using Dynamic Partial Reconfiguration,Seyyed Mahdi Najmabadi|Zhe Wang 0008|Yousef Baroud|Sven Simon 0001,Research,"Paper Session T2 : CAD, Synthesis, and Compilers 2",accepted_paper,10.1109/FCCM.2016.49,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.49,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T11,custom-computing systems,custom_computing|fpga,FCCM-C08,Other custom-computing applications and systems,provisional,fallback provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0021,FCCM,FCCM,2016,complete,P4-to-VHDL: Automatic Generation of 100 Gbps Packet Parsers,Pavel Benácek|Viktor Pus|Hana Kubátová,Research,"Paper Session T2 : CAD, Synthesis, and Compilers 2",accepted_paper,10.1109/FCCM.2016.46,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.46,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T10,data movement and streaming,p4,FCCM-C03,"Dataflow, memory, storage, and network datapaths",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0022,FCCM,FCCM,2016,complete,Parallel Hardware Merge Sorter,Wei Song 0002|Dirk Koch|Mikel Luján|Jim D. Garside,Research,Paper Session M4 : Applications 2 (Data & Operation Scheduling),accepted_paper,10.1109/FCCM.2016.34,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.34,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T04/T09,application accelerators,sort,FCCM-C04,"Scientific, graph, robotics, and irregular application accelerators",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0023,FCCM,FCCM,2016,complete,Parallelizing FPGA Technology Mapping through Partitioning,Chuyu Shen|Zili Lin|Ping Fan|Xianglong Meng|Weikang Qian,Research,"Paper Session T2 : CAD, Synthesis, and Compilers 2",accepted_paper,10.1109/FCCM.2016.48,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.48,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T11,custom-computing systems,custom_computing|fpga,FCCM-C08,Other custom-computing applications and systems,provisional,fallback provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0024,FCCM,FCCM,2016,complete,Reconfiguration Control Networks for TMR Systems with Module-Based Recovery,Dimitris Agiakatsikas|Nguyen T. H. Nguyen|Zhuoran Zhao 0002|Tong Wu 0007|Ediz Cetin|Oliver Diessel|Lingkan Gong,Research,"Paper Session M3 : CAD, Synthesis, and Compilers 1",accepted_paper,10.1109/FCCM.2016.30,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.30,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T06/T10,data movement and streaming,network,FCCM-C03,"Dataflow, memory, storage, and network datapaths",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
FCCM-2016-P0025,FCCM,FCCM,2016,complete,Runtime Parameterizable Regular Expression Operators for Databases,Zsolt István|David Sidler|Gustavo Alonso,Research,Paper Session T4 : Applications 4 (Big Data),accepted_paper,10.1109/FCCM.2016.61,,,,,https://dblp.org/db/conf/fccm/fccm2016.html,https://www.fccm.org/past/2016/programme.html#programme,https://doi.org/10.1109/FCCM.2016.61,,FCCM 2016 official program plus DBLP title-match metadata,https://www.fccm.org/past/2016/programme.html#programme,official_page,primary,verified,high,T04/T09,application accelerators,database,FCCM-C04,"Scientific, graph, robotics, and irregular application accelerators",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,per-paper_publisher_url,
