award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
FPGA-2026-A01,FPGA,FPGA,2026,partial,Best Paper Award,best_paper,Winner,KANELÉ: Kolmogorov-Arnold Networks for Efficient LUT-based Evaluation,Duc Hoang|Aarush Gupta|Philip C Harris,FPGA-2026-P0004,,https://www.isfpga.org/program/,https://dl.acm.org/doi/proceedings/10.1145/3748173,,,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration|low_precision,frontier,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2026-A02,FPGA,FPGA,2026,partial,Best Paper Award Runner-up,honorable_mention,Runner-up,Out with LSQs: Custom Circuits for Memory Access Reordering in Dynamic HLS,Rouzbeh Pirayadi|Ayatallah Elakhras|Mirjana Stojilović|Paolo Ienne,FPGA-2026-P0008,,https://www.isfpga.org/program/,https://dl.acm.org/doi/proceedings/10.1145/3748173,,,ISFPGA 2026 Technical Program,https://www.isfpga.org/program/,official_page,primary,verified,medium,none,,T07_compiler_hls_dsl_auto_mapping,HLS/DSL/compiler flow,compiler_mapping|hls|design_space_exploration,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,"Runner-up is listed on the ISFPGA 2026 technical program, not on the TCFPGA winners page."
FPGA-2025-A03,FPGA,FPGA,2025,complete,Best Paper Award,best_paper,Winner,FlightVGM: Efficient Video Generation Model Inference with Online Sparsification and Hybrid Precision on FPGAs,Jun Liu|Shulin Zeng|Li Ding|Widyadewi Soedarmadji|Hao Zhou|Zehao Wang|Jinhao Li|Jintao Li|Yadong Dai|Kairui Wen|Shan He|Yaqi Sun|Yu Wang|Guohao Dai,FPGA-2025-P0001,,https://isfpga.org/past/fpga2025/program/,,,https://dblp.org/rec/conf/fpga/LiuZ0SZW0LDWHSW25,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration,frontier,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2024-A04,FPGA,FPGA,2024,complete,Best Paper Award,best_paper,Winner,Formal Verification of Source-to-Source Transformations for HLS,Louis-Noël Pouchet|Emily Tucker|Niansong Zhang|Hongzheng Chen|Debjit Pal|Gabriel Rodríguez|Zhiru Zhang,FPGA-2024-P0010,,https://isfpga.org/past/fpga2024/program/,,,https://dblp.org/rec/conf/fpga/PouchetTZCP0Z24,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T07_compiler_hls_dsl_auto_mapping,HLS/DSL/compiler flow,compiler_mapping|hls|design_space_exploration,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2023-A05,FPGA,FPGA,2023,complete,Best Paper Award,best_paper,Winner,DONGLE: Direct FPGA-Orchestrated NVMe Storage for HLS,Linus Y. Wong|Jialiang Zhang|Jing (Jane) Li,FPGA-2023-P0001,,https://isfpga.org/past/fpga2023/program/,,,https://dblp.org/rec/conf/fpga/WongZL23,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T07_compiler_hls_dsl_auto_mapping,HLS/DSL/compiler flow,compiler_mapping|hls|design_space_exploration,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2022-A06,FPGA,FPGA,2022,complete,Best Paper Award,best_paper,Winner,RapidStream: Parallel Physical Implementation of FPGA HLS Designs,Licheng Guo|Pongstorn Maidee|Yun Zhou|Chris Lavin|Jie Wang|Yuze Chi|Weikang Qiao|Alireza Kaviani|Zhiru Zhang|Jason Cong,FPGA-2022-P0001,,https://isfpga.org/past/fpga2022/program/,,,https://dblp.org/rec/conf/fpga/GuoMZ00CQKZC22,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T07_compiler_hls_dsl_auto_mapping,HLS/DSL/compiler flow,compiler_mapping|hls|design_space_exploration,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2021-A07,FPGA,FPGA,2021,complete,Best Paper Award,best_paper,Winner,AutoBridge: Coupling Coarse-Grained Floorplanning and Pipelining for High-Frequency HLS Design on Multi-Die FPGAs,Licheng Guo|Yuze Chi|Jie Wang|Jason Lau|Weikang Qiao|Ecenur Ustun|Zhiru Zhang|Jason Cong,FPGA-2021-P0007,,https://isfpga.org/past/fpga2021/program/,,,https://dblp.org/rec/conf/fpga/GuoC0LQUZC21,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T07_compiler_hls_dsl_auto_mapping,HLS/DSL/compiler flow,compiler_mapping|hls|design_space_exploration,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2020-A08,FPGA,FPGA,2020,complete,Best Paper Award,best_paper,Winner,Buffer Placement and Sizing for High-Performance Dataflow Circuits,Lana Josipović|Shabnam Sheikhha|Andrea Guerrieri|Paolo Ienne|Jordi Cortadella,FPGA-2020-P0017,,https://isfpga.org/past/fpga2020/program.html,,,https://dblp.org/rec/conf/fpga/JosipovicSGIC20,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T12_eda_physical_constraints,"FPGA architecture, CAD, and physical design",routing|placement|physical_aware_mapping|fpga_architecture,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2019-A09,FPGA,FPGA,2019,complete,Best Paper Award,best_paper,Winner,HeteroCL: A Multi-Paradigm Programming Infrastructure for Software-Defined Reconfigurable Computing,Yi-Hsiang Lai|Yuze Chi|Yuwei Hu|Jie Wang|Cody Hao Yu|Yuan Zhou|Jason Cong|Zhiru Zhang,FPGA-2019-P0027,,https://isfpga.org/past/fpga2019/program.html,,,https://dblp.org/rec/conf/fpga/LaiCHWYZCZ19,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T07_compiler_hls_dsl_auto_mapping,HLS/DSL/compiler flow,compiler_mapping|hls|design_space_exploration,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
FPGA-2018-A10,FPGA,FPGA,2018,complete,Best Paper Award,best_paper,Winner,FASTCF: FPGA-based Accelerator for Stochastic-Gradient-Descent-based Collaborative Filtering,Shijie Zhou|Rajgopal Kannan|Yu Min|Viktor K. Prasanna,FPGA-2018-P0026,,https://isfpga.org/past/fpga2018/program.html,,,,FPGA Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpga-best-paper-awards,official_page,primary,verified,high,none,,T06_spatial_dataflow_onchip_storage,Application-specific FPGA acceleration,application_benchmark|hardware_software_codesign,milestone,yes,"impact_unverified; award fact verified, downstream influence not audited.",doi|publisher_url,TCFPGA page was used for the award fact; DOI and publisher_url were not extracted in this pass.
