paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
FPGA-2016-P0001,FPGA,FPGA,2016,complete,Throughput-Optimized OpenCL-based FPGA Accelerator for Large-Scale Convolutional Neural Networks,"Naveen Suda (Arizona State Univ.) , Vikas Chandra, Ganesh Dasika (ARM.) , Abinash Mohanty, Yufei Ma, Sarma Vrudhula, Jae-sun Seo, Yu Cao (Arizona State Univ.)",Research,Session 1: Neural Networks and OpenCL,accepted_paper,,,,,,https://dblp.org/rec/conf/fpga/SudaCDMMVSC16,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration|low_precision,FPGA-C02,ML/AI accelerators and low-precision inference,provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0002,FPGA,FPGA,2016,complete,Going Deeper with Embedded FPGA Platform for Convolutional Neural Network,"Jiantao Qiu, Jie Wang, Song Yao, Kaiyuan Guo, Boxun Li, Erjin Zhou, Jincheng Yu, Tianqi Tang (Tsinghua Univ.) , Ningyi Xu (Microsoft Research Asia) , Sen Song, Yu Wang, Huazhong Yang (Tsinghua Univ.)",Research,Session 1: Neural Networks and OpenCL,accepted_paper,,,,,,https://dblp.org/rec/conf/fpga/QiuWYGLZYTXSWY16,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration|low_precision,FPGA-C02,ML/AI accelerators and low-precision inference,provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0003,FPGA,FPGA,2016,complete,Using Stochastic Computing to Reduce the Hardware Requirements for a Restricted Boltzmann Machine Classifier (short),"Bingzhe Li, M. Hassan Najafi, David J Lilja (Univ. Minnesota, Twin Cities)",Research,Session 1: Neural Networks and OpenCL,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration,FPGA-C02,ML/AI accelerators and low-precision inference,provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0004,FPGA,FPGA,2016,complete,A Platform-Oblivious Approach for Heterogeneous Computing: a Case Study with Monte Carlo-based Simulation for Medical Applications (short),"Shih-Hao Hung, Min-Yu Tsai, Bo-Yi Huang, Chia-Heng Tu (National Taiwan Univ.)",Research,Session 1: Neural Networks and OpenCL,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration,FPGA-C02,ML/AI accelerators and low-precision inference,provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0005,FPGA,FPGA,2016,complete,A Case for Work-stealing on FPGAs with OpenCL Atomics (short),"Nadesh Ramanathan, John Wickerson, Felix Winterstein, George A Constantinides (Imperial College)",Research,Session 1: Neural Networks and OpenCL,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T02_transformer_kernel_low_precision,ML/AI accelerators on FPGA,ml_acceleration,FPGA-C02,ML/AI accelerators and low-precision inference,provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0006,FPGA,FPGA,2016,complete,Physical Design of 3D FPGAs Embedded with Micro-channel-based Fluidic Cooling,"Zhiyuan Yang, Ankur Srivastava (Univ. Maryland, College Park)",Research,Session 2: Cooling and Clocking,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T12_eda_physical_constraints,"FPGA architecture, CAD, and physical design",routing|placement|physical_aware_mapping|fpga_architecture,FPGA-C03,"FPGA architecture, CAD, and implementation closure",provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0007,FPGA,FPGA,2016,complete,Stratix 10 High Performance Routable Clock Networks,"Carl Ebeling, Dana How, David Lewis, Herman Schmit (Altera)",Research,Session 2: Cooling and Clocking,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T12_eda_physical_constraints,"FPGA architecture, CAD, and physical design",routing|placement|physical_aware_mapping|fpga_architecture,FPGA-C03,"FPGA architecture, CAD, and implementation closure",provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0008,FPGA,FPGA,2016,complete,Satisfiability-Based Routing and Its Application to Xilinx UltraScale Clock Network (short),"Henri Fraisse, Abhishek Joshi, Dinesh Gaitonde, Alireza Kaviani (Xilinx)",Research,Session 2: Cooling and Clocking,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T12_eda_physical_constraints,"FPGA architecture, CAD, and physical design",routing|placement|physical_aware_mapping|fpga_architecture,FPGA-C03,"FPGA architecture, CAD, and implementation closure",provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
FPGA-2016-P0009,FPGA,FPGA,2016,complete,FPRESSO: Enabling Express Transistor-Level Exploration of FPGA Architectures,"Grace Zgheib, Manana Lortkipanidze, Muhsen Owaida, David Novo, Paolo Ienne (EPFL)",Research,Applications,accepted_paper,10.1145/2847263.2847280,https://dl.acm.org/doi/10.1145/2847263.2847280,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T12_eda_physical_constraints,"FPGA architecture, CAD, and physical design",routing|placement|physical_aware_mapping|fpga_architecture,FPGA-C03,"FPGA architecture, CAD, and implementation closure",provisional,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,FPGA-2016-A12,milestone,4,Best Paper; compact marker for FPGA architecture exploration.,yes,,"Generated from official ISFPGA program page; DOI not inferred unless separately verified. | Second-wave targeted metadata backfill: doi,acm_url verified 2026-06-27."
FPGA-2016-P0010,FPGA,FPGA,2016,complete,Towards PVT-Tolerant Glitch-Free Operation in FPGAs,"Safeen Huda, Jason Anderson (Univ. Toronto)",Research,Applications,accepted_paper,,,,,,,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,,,ISFPGA 2016 Technical Program,https://isfpga.org/past/fpga2016/index_files/FPGA2016FinalProgram2_withSlides.htm,official_page,primary,verified,high,T06_spatial_dataflow_onchip_storage,Application-specific FPGA acceleration,application_benchmark|hardware_software_codesign,FPGA-C09,Application and domain-specific accelerators,uncertain,Keyword-assigned provisional cluster; inspect manually before synthesis.,,,,,none,,,maybe,,Generated from official ISFPGA program page; DOI not inferred unless separately verified.
