award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
FPL-2016-A01,FPL,FPL,2016,complete,FPL Community Award,other,CO,JetStream: An Open-Source High-Performance PCI Express 3 Streaming Library for FPGA-To-Host and FPGA-To-FPGA Communication,Malte Vesper|Dirk Koch|Kizheppatt Vipin|Suhaib A. Fahmy,FPL-2016-P0037,10.1109/FPL.2016.7577334,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2016.7577334,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07/T11,generators_frameworks_benchmarks,open-source,tool_benchmark,maybe,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2016-A02,FPL,FPL,2016,complete,Michal Servit Memorial Award,best_paper,MS,An Evaluation on the Accuracy of the Minimum Width Transistor Area Models in Ranking the Actual Layout Area of FPGA Architectures,Farheen Fatima Khan|Andy Ye,FPL-2016-P0028,10.1109/FPL.2016.7577325,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2016.7577325,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07/T12,cad_architecture_physical_design,architecture,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2016-A03,FPL,FPL,2016,complete,Stamatis Vassiliadis Memorial Award,best_paper,SV,An Investigation into a Circuit Based Supply Chain Analyzer for FPGAs,Jacob Couch|John Arkoian,FPL-2016-P0038,10.1109/FPL.2016.7577335,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2016.7577335,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T06/T11,general_fpl_needs_review,fpga|needs_review,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2017-A04,FPL,FPL,2017,complete,FPL Community Award,other,CO,FloPoCo: Parameterized Floating-Point Core Generator,Florent De Dinechin,,,https://fpl.org/awards.html,,,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07/T11,generators_frameworks_benchmarks,generator,tool_benchmark,maybe,Official FPL award signal; long-term impact requires follow-up audit.,,"Community award; project URL, not publisher DOI."
FPL-2017-A05,FPL,FPL,2017,complete,Michal Servit Memorial Award,best_paper,MS,Voltage Drop-Based Fault Attacks on FPGAs Using Valid Bitstreams,Dennis R. E. Gnad|Fabian Oboril|Mehdi B. Tahoori,FPL-2017-P0086,10.23919/FPL.2017.8056840,https://fpl.org/awards.html,,https://doi.org/10.23919/FPL.2017.8056840,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T11/T12,security_reliability_bitstream,attack|bitstream|fault|voltage,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2017-A06,FPL,FPL,2017,complete,Stamatis Vassiliadis Memorial Award,best_paper,SV,Automated Generation of Banked Memory Architectures in the High-Level Synthesis of Multi-Threaded Software,Yu Ting Chen|Jason H. Anderson,FPL-2017-P0087,10.23919/FPL.2017.8056841,https://fpl.org/awards.html,,https://doi.org/10.23919/FPL.2017.8056841,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07,hls_dsl_autoscheduling,high-level_synthesis,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2018-A07,FPL,FPL,2018,complete,Michal Servit Memorial Award,best_paper,MS,Machine-Learning Based Congestion Estimation for Modern FPGAs,Dani Maarouf|Abeer Alhyari|Ziad Abuowaimer|Timothy Martin|Andrew Gunter|Gary Grewal|Shawki Areibi|Anthony Vannelli,FPL-2018-P0072,10.1109/FPL.2018.00079,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2018.00079,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T06/T11,general_fpl_needs_review,fpga|needs_review,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2018-A08,FPL,FPL,2018,complete,Stamatis Vassiliadis Memorial Award,best_paper,SV,Embracing Diversity: Enhanced DSP Blocks for Low-Precision Deep Learning on FPGAs,Andrew Boutros|Sadegh Yazdanshenas|Vaughn Betz,FPL-2018-P0007,10.1109/FPL.2018.00014,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2018.00014,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07/T12,cad_architecture_physical_design,dsp,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2019-A09,FPL,FPL,2019,complete,Michal Servit Memorial Award,best_paper,MS,A Deep Learning Framework to Predict Routability for FPGA Circuit Placement,Abeer Alhyari|Ahmed Shamli|Ziad Abuwaimer|Shawki Areibi|Gary Grewal,FPL-2019-P0050,10.1109/FPL.2019.00060,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2019.00060,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07/T12,cad_architecture_physical_design,placement|routability,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2019-A10,FPL,FPL,2019,complete,Stamatis Vassiliadis Memorial Award,best_paper,SV,Characterizing Power Distribution Attacks in Multi-User FPGA Environments,George Provelengios|Daniel Holcomb|Russell Tessier,FPL-2019-P0028,10.1109/FPL.2019.00038,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL.2019.00038,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T11/T12,security_reliability_bitstream,attack,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2020-A11,FPL,FPL,2020,complete,Michal Servit Memorial Award,best_paper,MS,Timing-Driven Placement for FPGA Architectures with Dedicated Routing Paths,Stefan Nikolic|Grace Zgheib|Paolo Ienne,FPL-2020-P0023,10.1109/FPL50879.2020.00035,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL50879.2020.00035,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T07/T12,cad_architecture_physical_design,architecture|placement|routing,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
FPL-2020-A12,FPL,FPL,2020,complete,Stamatis Vassiliadis Memorial Award,best_paper,SV,LogicNets: Co-Designed Neural Networks and Circuits for Extreme-Throughput Applications,Yaman Umuroglu|Yash Akhauri|Nicholas J. Fraser|Michaela Blott,FPL-2020-P0043,10.1109/FPL50879.2020.00055,https://fpl.org/awards.html,,https://doi.org/10.1109/FPL50879.2020.00055,https://tcfpga.org/books/community-awards/page/fpl-best-paper-awards,FPL Best Paper Awards,https://fpl.org/awards.html,official_page,primary,verified,high,none,,T02/T05,dnn_low_precision_sparsity,logicnets|neural,milestone,yes,Official FPL award signal; long-term impact requires follow-up audit.,,
