paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
FPL-2016-P0001,FPL,FPL,2016,complete,Preface,Paolo Ienne|Walid A. Najjar|Jason Helge Anderson|Philip Brisk|Walter Stechele,DBLP inproceedings,,other,10.1109/FPL.2016.7577297,,https://doi.org/10.1109/FPL.2016.7577297,,,https://dblp.org/rec/conf/fpl/IenneNABS16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577297,paper,primary,verified,high,T06/T11,general_fpl_needs_review,fpga|needs_review,FPL-C12,Other FPL reconfigurable computing papers needing topic review,provisional,fallback provisional cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,no,,DBLP inproceedings row; not filtered against official full/short/demo categories. paper_type_needs_filtering.
FPL-2016-P0002,FPL,FPL,2016,complete,ParaFRo: A hybrid parallel FPGA router using fine grained synchronization and partitioning,Chin Hau Hoo|Yajun Ha|Akash Kumar,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577299,,https://doi.org/10.1109/FPL.2016.7577299,,,https://dblp.org/rec/conf/fpl/HooH016,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577299,paper,primary,verified,high,T06/T11,general_fpl_needs_review,fpga|needs_review,FPL-C12,Other FPL reconfigurable computing papers needing topic review,provisional,fallback provisional cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0003,FPL,FPL,2016,complete,Runtime-quality tradeoff in partitioning based multithreaded packing,Dries Vercruyce|Elias Vansteenkiste|Dirk Stroobandt,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577300,,https://doi.org/10.1109/FPL.2016.7577300,,,https://dblp.org/rec/conf/fpl/VercruyceVS16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577300,paper,primary,verified,high,T08/T06,runtime_overlay_virtualization_reconfig,runtime,FPL-C07,"Runtime, overlay, virtualization, and dynamic reconfiguration",provisional,keyword/title based provisional cluster.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0004,FPL,FPL,2016,complete,High-speed PCAP configuration scrubbing on Zynq-7000 All Programmable SoCs,Aaron Stoddard|Ammon Gruwell|Peter Zabriskie|Michael J. Wirthlin,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577301,,https://doi.org/10.1109/FPL.2016.7577301,,,https://dblp.org/rec/conf/fpl/StoddardGZW16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577301,paper,primary,verified,high,T06/T11,general_fpl_needs_review,fpga|needs_review,FPL-C12,Other FPL reconfigurable computing papers needing topic review,provisional,fallback provisional cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0005,FPL,FPL,2016,complete,Boosting convergence of timing closure using feature selection in a Learning-driven approach,Que Yanghua|Harnhua Ng|Nachiket Kapre,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577302,,https://doi.org/10.1109/FPL.2016.7577302,,,https://dblp.org/rec/conf/fpl/YanghuaNK16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577302,paper,primary,verified,high,T06/T11,general_fpl_needs_review,fpga|needs_review,FPL-C12,Other FPL reconfigurable computing papers needing topic review,provisional,fallback provisional cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0006,FPL,FPL,2016,complete,Liquid: Fast placement prototyping through steepest gradient descent movement,Elias Vansteenkiste|Seppe Lenders|Dirk Stroobandt,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577303,,https://doi.org/10.1109/FPL.2016.7577303,,,https://dblp.org/rec/conf/fpl/VansteenkisteLS16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577303,paper,primary,verified,high,T07/T12,cad_architecture_physical_design,placement,FPL-C02,"CAD, architecture, placement, routing, and physical design",provisional,keyword/title based provisional cluster.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0007,FPL,FPL,2016,complete,TeSHoP: A Temperature Sensing based Hotspot-Driven Placement technique for FPGAs,Weina Lu|Yu Hu|Jing Ye|Xiaowei Li,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577304,,https://doi.org/10.1109/FPL.2016.7577304,,,https://dblp.org/rec/conf/fpl/LuHY016,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577304,paper,primary,verified,high,T07/T12,cad_architecture_physical_design,placement,FPL-C02,"CAD, architecture, placement, routing, and physical design",provisional,keyword/title based provisional cluster.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0008,FPL,FPL,2016,complete,Search-based synthesis of approximate circuits implemented into FPGAs,Zdenek Vasícek|Lukás Sekanina,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577305,,https://doi.org/10.1109/FPL.2016.7577305,,,https://dblp.org/rec/conf/fpl/VasicekS16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577305,paper,primary,verified,high,T06/T11,general_fpl_needs_review,fpga|needs_review,FPL-C12,Other FPL reconfigurable computing papers needing topic review,provisional,fallback provisional cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0009,FPL,FPL,2016,complete,Fast hierarchical NPN classification,Ana Petkovska|Mathias Soeken|Giovanni De Micheli|Paolo Ienne|Alan Mishchenko,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577306,,https://doi.org/10.1109/FPL.2016.7577306,,,https://dblp.org/rec/conf/fpl/PetkovskaSMIM16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577306,paper,primary,verified,high,T06/T11,general_fpl_needs_review,fpga|needs_review,FPL-C12,Other FPL reconfigurable computing papers needing topic review,provisional,fallback provisional cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
FPL-2016-P0010,FPL,FPL,2016,complete,Improving the efficiency of PUF-based key generation in FPGAs using variation-aware placement,Shrikant Vyas|Naveen Kumar Dumpala|Russell Tessier|Daniel E. Holcomb,DBLP inproceedings,,accepted_paper,10.1109/FPL.2016.7577307,,https://doi.org/10.1109/FPL.2016.7577307,,,https://dblp.org/rec/conf/fpl/VyasDTH16,https://fpl.org/prior-editions.html,https://ieeexplore.ieee.org/xpl/conhome/7573873/proceeding,,DBLP FPL 2016 proceedings metadata,https://doi.org/10.1109/FPL.2016.7577307,paper,primary,verified,high,T07/T12,cad_architecture_physical_design,placement,FPL-C02,"CAD, architecture, placement, routing, and physical design",provisional,keyword/title based provisional cluster.,,,,,none,,,maybe,,DBLP inproceedings row; not filtered against official full/short/demo categories.
