paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
FPT-2016-P0001,FPT,FPT,2016,complete,High-level synthesis - the right side of history,Jason Anderson,Research,,accepted_paper,10.1109/fpt.2016.7929177,,https://ieeexplore.ieee.org/document/7929177/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929177,https://doi.org/10.1109/fpt.2016.7929177,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929177,proceedings,primary,verified,high,T07/T12,hls_cad_routing_dse,high-level,FPT-C01,"HLS, compiler, CAD, routing, and design-space exploration",provisional,title/session-level provisional cluster.,,,,,canonical,5,2016 HLS positioning paper; useful starting point for FPT toolflow history.,yes,session,
FPT-2016-P0002,FPT,FPT,2016,complete,The configurable cloud - accelerating hyperscale datacenter services with FPGAs,Andrew Putnam,Research,,accepted_paper,10.1109/fpt.2016.7929178,,https://ieeexplore.ieee.org/document/7929178/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929178,https://doi.org/10.1109/fpt.2016.7929178,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929178,proceedings,primary,verified,high,T10/T12,benchmark_cloud_framework,cloud|datacenter,FPT-C09,"Benchmarks, frameworks, cloud FPGA, and virtualization",provisional,title/session-level provisional cluster.,,,,,canonical,4,2016 datacenter/cloud FPGA keynote-style signal.,yes,session,
FPT-2016-P0003,FPT,FPT,2016,complete,FPGA as service in public Cloud: Why and how,Yonghua Lin,Research,,accepted_paper,10.1109/fpt.2016.7929179,,https://ieeexplore.ieee.org/document/7929179/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929179,https://doi.org/10.1109/fpt.2016.7929179,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929179,proceedings,primary,verified,high,T10/T12,benchmark_cloud_framework,cloud,FPT-C09,"Benchmarks, frameworks, cloud FPGA, and virtualization",provisional,title/session-level provisional cluster.,,,,,none,,,maybe,session,
FPT-2016-P0004,FPT,FPT,2016,complete,"High density, low energy, magnetic tunnel junction based block RAMs for memory-rich FPGAs",Kosuke Tatsumura|Sadegh Yazdanshenas|Vaughn Betz,Research,,accepted_paper,10.1109/fpt.2016.7929181,,https://ieeexplore.ieee.org/document/7929181/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929181,https://doi.org/10.1109/fpt.2016.7929181,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929181,proceedings,primary,verified,high,T06/T10,memory_dataflow_network,memory,FPT-C03,"Memory-centric, HBM, NoC, stream, network, and data movement",provisional,title/session-level provisional cluster.,,,,FPT-2016-A01,milestone,5,2016 FPT Best Paper; memory-rich FPGA architecture signal.,yes,session,
FPT-2016-P0005,FPT,FPT,2016,complete,Analysis of transient voltage fluctuations in FPGAs,Dennis R.E. Gnad|Fabian Oboril|Saman Kiamehr|Mehdi B. Tahoori,Research,,accepted_paper,10.1109/fpt.2016.7929182,,https://ieeexplore.ieee.org/document/7929182/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929182,https://doi.org/10.1109/fpt.2016.7929182,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929182,proceedings,primary,verified,high,T06/T11,other_fpt,field_programmable_technology,FPT-C08,Other field-programmable technology papers,provisional,fallback provisional cluster.,,,,,none,,,maybe,session,
FPT-2016-P0006,FPT,FPT,2016,complete,An energy-efficient near/sub-threshold FPGA interconnect architecture using dynamic voltage scaling and power-gating,He Qi|Oluseyi Ayorinde|Benton H. Calhoun,Research,,accepted_paper,10.1109/fpt.2016.7929183,,https://ieeexplore.ieee.org/document/7929183/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929183,https://doi.org/10.1109/fpt.2016.7929183,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929183,proceedings,primary,verified,high,T06/T12,reconfigurable_architecture,architecture,FPT-C06,"CGRA, overlay, FPGA architecture, arithmetic, and programmable fabrics",provisional,title/session-level provisional cluster.,,,,,none,,,maybe,session,
FPT-2016-P0007,FPT,FPT,2016,complete,Integer computations with soft GPGPU on FPGAs,Muhammed Al Kadi|Michael Huebner,Research,,accepted_paper,10.1109/fpt.2016.7929185,,https://ieeexplore.ieee.org/document/7929185/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929185,https://doi.org/10.1109/fpt.2016.7929185,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929185,proceedings,primary,verified,high,T06/T11,other_fpt,field_programmable_technology,FPT-C08,Other field-programmable technology papers,provisional,fallback provisional cluster.,,,,,none,,,maybe,session,
FPT-2016-P0008,FPT,FPT,2016,complete,Network-attached FPGAs for data center applications,Jagath Weerasinghe|Raphael Polig|Francois Abel|Christoph Hagleitner,Research,,accepted_paper,10.1109/fpt.2016.7929186,,https://ieeexplore.ieee.org/document/7929186/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929186,https://doi.org/10.1109/fpt.2016.7929186,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929186,proceedings,primary,verified,high,T06/T10,memory_dataflow_network,network,FPT-C03,"Memory-centric, HBM, NoC, stream, network, and data movement",provisional,title/session-level provisional cluster.,,,,,none,,,maybe,session,
FPT-2016-P0009,FPT,FPT,2016,complete,Hypervisor mechanisms to manage FPGA reconfigurable accelerators,Tian Xia|Jean-Christophe Prevotet|Fabienne Nouvel,Research,,accepted_paper,10.1109/fpt.2016.7929187,,https://ieeexplore.ieee.org/document/7929187/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929187,https://doi.org/10.1109/fpt.2016.7929187,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929187,proceedings,primary,verified,high,T06/T11,other_fpt,field_programmable_technology,FPT-C08,Other field-programmable technology papers,provisional,fallback provisional cluster.,,,,,none,,,maybe,session,
FPT-2016-P0010,FPT,FPT,2016,complete,FPGA-based acceleration of FDAS module using OpenCL,Haomiao Wang|Ming Zhang|Prabu Thiagaraj|Oliver Sinnen,Research,,accepted_paper,10.1109/fpt.2016.7929189,,https://ieeexplore.ieee.org/document/7929189/,,,https://dblp.org/db/conf/fpt/fpt2016.html,https://doi.org/10.1109/fpt.2016.7929189,https://doi.org/10.1109/fpt.2016.7929189,,Crossref Works API record for IEEE ICFPT proceedings,https://doi.org/10.1109/fpt.2016.7929189,proceedings,primary,verified,high,T10/T12,benchmark_cloud_framework,opencl,FPT-C09,"Benchmarks, frameworks, cloud FPGA, and virtualization",provisional,title/session-level provisional cluster.,,,,,none,,,maybe,session,
