award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
HOTCHIPS-2021-A01,HOTCHIPS,Hot Chips,2021,complete,TCMM Open Source Hardware Contribution Award,other,Winner,Contributions to the Verilator Project,Wilson Snyder,,,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2024,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,official_page,primary,verified,high,none,,T03/T04/T11,edge_autonomy_sensor_fusion,mobile|edge|automotive|sensor_fusion|robotics|always_on|vision,none,maybe,Retrospective TCMM community award shown in 2024 TCMM slides; not a Hot Chips best-paper award.,paper_id,Retrospective TCMM community award shown in 2024 TCMM slides; not a Hot Chips best-paper award.
HOTCHIPS-2021-A02,HOTCHIPS,Hot Chips,2021,complete,TCMM Honor Award,other,Winner,Contributions to Hot Chips conference over many years,Lance Hammond,,,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2024,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,official_page,primary,verified,high,none,,T03/T04/T11,edge_autonomy_sensor_fusion,mobile|edge|automotive|sensor_fusion|robotics|always_on|vision,none,no,Retrospective TCMM community award shown in 2024 TCMM slides.,paper_id,Retrospective TCMM community award shown in 2024 TCMM slides.
HOTCHIPS-2024-A03,HOTCHIPS,Hot Chips,2024,complete,TCMM Open Source Hardware Contribution Award,other,Winner,PULP Platform leadership/contributions,Luca Benini,,,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2024,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,official_page,primary,verified,high,none,,T03/T04/T11,edge_autonomy_sensor_fusion,mobile|edge|automotive|sensor_fusion|robotics|always_on|vision,reading_route,maybe,"TCMM community award, not a Hot Chips best-paper award.",paper_id,"TCMM community award, not a Hot Chips best-paper award."
HOTCHIPS-2024-A04,HOTCHIPS,Hot Chips,2024,complete,TCMM Honor Award,other,Winner,Outstanding service to Hot Chips; Registration Chair service,Charles J. Neuhauser,,,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2024,https://hc2024.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202024.pdf,official_page,primary,verified,high,none,,T03/T04/T11,edge_autonomy_sensor_fusion,mobile|edge|automotive|sensor_fusion|robotics|always_on|vision,none,no,TCMM community award.,paper_id,TCMM community award. Canonical 2024 TCMM slide uses Charles Neuhauser; current row keeps middle initial as name variant.
HOTCHIPS-2025-A05,HOTCHIPS,Hot Chips,2025,complete,TCMM Open Source Hardware Contribution Award,other,Winner,RISC-V and open-source tools contributions,Claire Wolf,,,https://hc2025.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202025.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2025,https://hc2025.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202025.pdf,official_page,primary,verified,high,none,,T06/T10/T12,server_cpu_memory_coherence,cpu|isa|coherence|server|vector|matrix|cloud_cpu,reading_route,maybe,"Mentions BitManip, RVFI, PicoRV32, Yosys, and IceStorm.",paper_id,"Mentions BitManip, RVFI, PicoRV32, Yosys, and IceStorm."
HOTCHIPS-2025-A06,HOTCHIPS,Hot Chips,2025,complete,TCMM Honor Award,other,Winner,Service to Hot Chips and Hot Interconnects,Don Draper,,,https://hc2025.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202025.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2025,https://hc2025.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202025.pdf,official_page,primary,verified,high,none,,T03/T04/T11,edge_autonomy_sensor_fusion,mobile|edge|automotive|sensor_fusion|robotics|always_on|vision,none,no,Former TCMM chair.,paper_id,Former TCMM chair.
HOTCHIPS-2025-A07,HOTCHIPS,Hot Chips,2025,complete,Hot Chips Best Student Poster Award,best_student_paper,Winner,Basilisk: A 34 mm2 End-to-End Open-Source 64-bit Linux-Capable RISC-V SoC in 130nm BiCMOS,Philippe Sauter|Thomas Benz|Paul Scheffler|Martin Poviser|Frank K. Gurkaynak|Luca Benini,HOTCHIPS-2025-P0022,,https://hc2025.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202025.pdf,,,,IEEE CS TCMM Awards presented at Hot Chips 2025,https://hc2025.hotchips.org/assets/program/conference/day2/TCMM%20Awards%20Hot%20Chips%202025.pdf,official_page,primary,verified,high,none,,T06/T10/T12,server_cpu_memory_coherence,cpu|isa|coherence|server|vector|matrix|cloud_cpu,reading_route,maybe,"Poster award, not a main-program paper award.",paper_id,"Poster award, not a main-program paper award. Second-wave alignment: award PDF title matches HOTCHIPS-2025-P0022; poster award, not a main-program Best Paper award."
HOTCHIPS-2016-A08,HOTCHIPS,Hot Chips,2016,complete,Award/source coverage marker,other,needs_review,No paper-award extraction source confirmed,,,,https://hc28.hotchips.org/index.html,https://ieeexplore.ieee.org/xpl/conhome/1000339/all-proceedings,https://ieeexplore.ieee.org/xpl/conhome/1000339/all-proceedings,https://dblp.org/db/conf/hotchips/index,Hot Chips 2016 official program,https://hc28.hotchips.org/index.html,official_page,primary,needs_review,medium,none,,T11/T12,award_source_coverage,award|source_coverage|needs_review,none,no,,award_paper_title|authors|paper_id,Hot Chips official program/source coverage row. This task did not find a stable yearly Best Paper-style award source; do not treat this row as a paper-award fact.
HOTCHIPS-2017-A09,HOTCHIPS,Hot Chips,2017,complete,Award/source coverage marker,other,needs_review,No paper-award extraction source confirmed,,,,https://hc29.hotchips.org/,https://ieeexplore.ieee.org/xpl/conhome/1000339/all-proceedings,https://ieeexplore.ieee.org/xpl/conhome/1000339/all-proceedings,https://dblp.org/db/conf/hotchips/index,Hot Chips 2017 official program,https://hc29.hotchips.org/,official_page,primary,needs_review,medium,none,,T11/T12,award_source_coverage,award|source_coverage|needs_review,none,no,,award_paper_title|authors|paper_id,Hot Chips official program/source coverage row. This task did not find a stable yearly Best Paper-style award source; do not treat this row as a paper-award fact.
HOTCHIPS-2018-A10,HOTCHIPS,Hot Chips,2018,complete,Award/source coverage marker,other,needs_review,No paper-award extraction source confirmed,,,,https://hc30.hotchips.org/,https://ieeexplore.ieee.org/xpl/conhome/1000339/all-proceedings,https://ieeexplore.ieee.org/xpl/conhome/1000339/all-proceedings,https://dblp.org/db/conf/hotchips/index,Hot Chips 2018 official program,https://hc30.hotchips.org/,official_page,primary,needs_review,medium,none,,T11/T12,award_source_coverage,award|source_coverage|needs_review,none,no,,award_paper_title|authors|paper_id,Hot Chips official program/source coverage row. This task did not find a stable yearly Best Paper-style award source; do not treat this row as a paper-award fact.
