award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
HPCA-2016-A01,HPCA,HPCA,2016,complete,HPCA Distinguished Paper Award,distinguished_paper,Distinguished Paper,Memristive Boltzmann Machine: A Hardware Accelerator for Combinatorial Optimization and Deep Learning,Mahdi Nazm Bojnordi|Engin Ipek,HPCA-2016-P0034,10.1109/HPCA.2016.7446049,https://ieeetcca.org/awards/hpca-best-paper-award/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA.2016.7446049,https://dblp.org/rec/conf/hpca/BojnordiI16,TCCA HPCA Distinguished Paper Award page,https://ieeetcca.org/awards/hpca-best-paper-award/,official_page,primary,verified,high,none,,T02/T06,dnn_transformer_ai_acceleration,neural|machine_learning|tensor,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,TCCA HPCA Best Paper page lists HPCA 2016 as two Distinguished Paper awards.
HPCA-2016-A02,HPCA,HPCA,2016,complete,HPCA Distinguished Paper Award,distinguished_paper,Distinguished Paper,TABLA: A unified template-based framework for accelerating statistical machine learning,Divya Mahajan|Jongse Park|Emmanuel Amaro|Hardik Sharma|Amir Yazdanbaksh|Joon Kim|Hadi Esmaeilzadeh,HPCA-2016-P0053,10.1109/HPCA.2016.7446050,https://ieeetcca.org/awards/hpca-best-paper-award/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA.2016.7446050,https://dblp.org/rec/conf/hpca/MahajanPASYKE16,TCCA HPCA Distinguished Paper Award page,https://ieeetcca.org/awards/hpca-best-paper-award/,official_page,primary,verified,high,none,,T02/T06,dnn_transformer_ai_acceleration,neural|machine_learning|tensor,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,TCCA HPCA Best Paper page lists HPCA 2016 as two Distinguished Paper awards; DBLP/DOI title uses framework wording.
HPCA-2017-A03,HPCA,HPCA,2017,complete,HPCA Best Paper Award,best_paper,Winner,Near-Optimal Access Partitioning for Memory Hierarchies with Multiple Heterogeneous Bandwidth Sources,Jayesh Gaur|Mainak Chaudhuri|Pradeep Ramachandran|Sreenivas Subramoney,HPCA-2017-P0034,10.1109/HPCA.2017.46,https://ieeetcca.org/awards/hpca-best-paper-award/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA.2017.46,https://dblp.org/rec/conf/hpca/GaurCRS17,TCCA HPCA Best Paper Award page,https://ieeetcca.org/awards/hpca-best-paper-award/,official_page,primary,verified,high,none,,T10/T11,memory_cache_prefetch_dram,memory|cache|dram|prefetch,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,TCCA HPCA Best Paper page lists this as the 2017 winner.
HPCA-2018-A04,HPCA,HPCA,2018,complete,HPCA Best Paper Award,best_paper,Winner,Amdahl's Law in the Datacenter Era: A Market for Fair Processor Allocation,Seyed Majid Zahedi|Qiuyun Llull|Benjamin C. Lee,HPCA-2018-P0007,10.1109/HPCA.2018.00011,https://ieeetcca.org/awards/hpca-best-paper-award/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA.2018.00011,https://dblp.org/rec/conf/hpca/ZahediLL18,TCCA HPCA Best Paper Award page,https://ieeetcca.org/awards/hpca-best-paper-award/,official_page,primary,verified,high,none,,T08/T10,datacenter_cloud_server_qos,datacenter|cloud|server|qos,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,TCCA HPCA Best Paper page lists this as the 2018 winner.
HPCA-2019-A05,HPCA,HPCA,2019,complete,HPCA Best Paper Award,best_paper,Winner,Stretch: Balancing QoS and Throughput for Colocated Server Workloads on SMT Cores,Artemiy Margaritov|Siddharth Gupta|Rekai Gonzalez-Alberquilla|Boris Grot,HPCA-2019-P0048,10.1109/HPCA.2019.00024,https://ieeetcca.org/awards/hpca-best-paper-award/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA.2019.00024,https://dblp.org/rec/conf/hpca/MargaritovGGG19,TCCA HPCA Best Paper Award page,https://ieeetcca.org/awards/hpca-best-paper-award/,official_page,primary,verified,high,none,,T08/T10,datacenter_cloud_server_qos,datacenter|cloud|server|qos,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,TCCA HPCA Best Paper page lists this as the 2019 winner.
HPCA-2020-A06,HPCA,HPCA,2020,complete,HPCA Best Paper Award,best_paper,Winner,SIGMA: A Sparse and Irregular GEMM Accelerator with Flexible Interconnects for DNN Training,Eric Qin|Ananda Samajdar|Hyoukjun Kwon|Vineet Nadella|Sudarshan Srinivasan|Dipankar Das|Bharat Kaul|Tushar Krishna,HPCA-2020-P0048,10.1109/HPCA47549.2020.00015,https://ieeetcca.org/awards/hpca-best-paper-award/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA47549.2020.00015,https://dblp.org/rec/conf/hpca/QinSKNS0KK20,TCCA HPCA Best Paper Award page,https://ieeetcca.org/awards/hpca-best-paper-award/,official_page,primary,verified,high,none,,T09/T05,graph_sparse_irregular_workloads,sparse|irregular|graph,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,TCCA HPCA Best Paper page lists this as the 2020 winner.
HPCA-2021-A07,HPCA,HPCA,2021,partial,HPCA Best Paper Award,best_paper,Winner,Prodigy: Improving the Memory Latency of Data-Indirect Irregular Workloads Using Hardware-Software Co-Design,Nishil Talati|Kyle May|Armand Behroozi|Yichen Yang|Kuba Kaszyk|Christos Vasiladiotis|Tarunesh Verma|Lu Li|Brandon Nguyen|Jiawen Sun|John Magnus Morton|Agreen Ahmadi|Todd Austin|Michael O'Boyle|Scott Mahlke|Trevor Mudge|Ronald Dreslinski,HPCA-2021-P0053,10.1109/HPCA51647.2021.00061,,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA51647.2021.00061,https://cse.engin.umich.edu/stories/cse-researchers-win-best-paper-award-at-hpca-2021|https://dblp.org/rec/conf/hpca/TalatiMB0KVVLNS21|https://www.blog.ieeetcca.org/hpca-2021-trip-report/,TCCA Blog HPCA 2021 trip report,https://www.blog.ieeetcca.org/hpca-2021-trip-report/,report,secondary,needs_review,medium,none,,T09/T05,graph_sparse_irregular_workloads,sparse|irregular|graph,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,canonical_award_source,"University of Michigan CSE news page reports this HPCA 2021 Best Paper; no TCCA canonical row was found in this run. TCCA Blog trip report is preferred over university news for source proximity but remains secondary/near-official, checked 2026-06-27."
HPCA-2022-A08,HPCA,HPCA,2022,partial,HPCA Best Paper Award,best_paper,Winner,SupermarQ: A Scalable Quantum Benchmark Suite,Teague Tomesh|Pranav Gokhale|Victory Omole|Gokul Subramanian Ravi|Kaitlin N. Smith|Joshua Viszlai|Xin-Chuan Wu|Nikos Hardavellas|Margaret Martonosi|Frederic T. Chong,HPCA-2022-P0077,10.1109/HPCA53966.2022.00050,,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA53966.2022.00050,https://sites.google.com/view/teague-tomesh/home|https://dblp.org/rec/conf/hpca/TomeshGORSVWHMC22,Teague Tomesh SupermarQ award note,https://sites.google.com/view/teague-tomesh/home,blog,secondary,needs_review,medium,none,,T11,simulation_profiling_modeling_evaluation,simulation|profiling|modeling,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,canonical_award_source,Author page reports SupermarQ received HPCA-28 Best Paper; no canonical HPCA/TCCA award row was found in this run.
HPCA-2023-A09,HPCA,HPCA,2023,complete,HPCA Best Paper Award,best_paper,Winner,DIMM-Link: Enabling Efficient Inter-DIMM Communication for Near-Memory Processing,Zhe Zhou|Cong Li|Fan Yang|Guangyu Sun,HPCA-2023-P0027,10.1109/HPCA56546.2023.10071005,https://hpca-conf.org/2023/main-program/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA56546.2023.10071005,https://dblp.org/rec/conf/hpca/ZhouLYS23,HPCA 2023 official main program,https://hpca-conf.org/2023/main-program/,official_page,primary,verified,high,none,,T10/T06,pim_near_memory_storage_data_movement,pim|near_memory|storage|data_movement,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,HPCA 2023 official program marks this paper with HPCA23 Best Paper.
HPCA-2023-A10,HPCA,HPCA,2023,complete,HPCA Best Paper Award,best_paper,Winner,Scalable and Secure Row-Swap: Efficient and Safe Row Hammer Mitigation in Memory Systems,Jeonghyun Woo|Gururaj Saileshwar|Prashant J. Nair,HPCA-2023-P0078,10.1109/HPCA56546.2023.10070999,https://hpca-conf.org/2023/main-program/,https://dblp.org/db/conf/hpca/,https://doi.org/10.1109/HPCA56546.2023.10070999,https://dblp.org/rec/conf/hpca/WooSN23,HPCA 2023 official main program,https://hpca-conf.org/2023/main-program/,official_page,primary,verified,high,none,,T11/T12,security_side_channel_correctness,security|correctness,milestone,yes,Award status follows the recorded row source; long-term impact beyond award/Test-of-Time status is not expanded without further citation audit.,,HPCA 2023 official program marks this paper with HPCA23 Best Paper.
