paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
HPCA-2016-P0001,HPCA,HPCA,2016,complete,A case for toggle-aware compression for GPU systems,Gennady Pekhimenko|Evgeny Bolotin|Nandita Vijaykumar|Onur Mutlu|Todd C. Mowry|Stephen W. Keckler,Main Program,,accepted_paper,10.1109/HPCA.2016.7446064,,https://doi.org/10.1109/HPCA.2016.7446064,,,https://dblp.org/rec/conf/hpca/PekhimenkoBVMMK16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446064,paper,primary,verified,high,T10/T11,memory_cache_prefetch_dram,memory|cache|dram|prefetch,HPCA-C03,"Memory hierarchy, cache, prefetching, and DRAM",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0002,HPCA,HPCA,2016,complete,A complete key recovery timing attack on a GPU,Zhen Hang Jiang|Yunsi Fei|David R. Kaeli,Main Program,,accepted_paper,10.1109/HPCA.2016.7446081,,https://doi.org/10.1109/HPCA.2016.7446081,,,https://dblp.org/rec/conf/hpca/JiangFK16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446081,paper,primary,verified,high,T11/T12,security_side_channel_correctness,security|correctness,HPCA-C06,"Security, side channels, isolation, and correctness",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0003,HPCA,HPCA,2016,complete,A large-scale study of soft-errors on GPUs in the field,Bin Nie|Devesh Tiwari|Saurabh Gupta 0002|Evgenia Smirni|James H. Rogers,Main Program,,accepted_paper,10.1109/HPCA.2016.7446091,,https://doi.org/10.1109/HPCA.2016.7446091,,,https://dblp.org/rec/conf/hpca/NieTGSR16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446091,paper,primary,verified,high,T11/T12,reliability_fault_tolerance_resilience,reliability|fault_tolerance|resilience,HPCA-C14,"Reliability, fault tolerance, and error resilience",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0004,HPCA,HPCA,2016,complete,A low power software-defined-radio baseband processor for the Internet of Things,Yajing Chen|Shengshuo Lu|Hun-Seok Kim|David T. Blaauw|Ronald G. Dreslinski|Trevor N. Mudge,Main Program,,accepted_paper,10.1109/HPCA.2016.7446052,,https://doi.org/10.1109/HPCA.2016.7446052,,,https://dblp.org/rec/conf/hpca/ChenLKBDM16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446052,paper,primary,verified,high,T06/T11,gpu_simt_core_microarchitecture,gpu|core|microarchitecture,HPCA-C05,"GPU, SIMT, vector, and core microarchitecture",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0005,HPCA,HPCA,2016,complete,A low-power hybrid reconfigurable architecture for resistive random-access memories,Miguel Angel Lastras-Montaño|Amirali Ghofrani|Kwang-Ting Cheng,Main Program,,accepted_paper,10.1109/HPCA.2016.7446057,,https://doi.org/10.1109/HPCA.2016.7446057,,,https://dblp.org/rec/conf/hpca/Lastras-Montano16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446057,paper,primary,verified,high,T11,general_architecture_needs_review,microarchitecture|needs_review,HPCA-C11,General architecture and needs-review rows,uncertain,Unresolved title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0006,HPCA,HPCA,2016,complete,A market approach for handling power emergencies in multi-tenant data center,Mohammad A. Islam 0001|Xiaoqi Ren|Shaolei Ren|Adam Wierman|Xiaorui Wang,Main Program,,accepted_paper,10.1109/HPCA.2016.7446084,,https://doi.org/10.1109/HPCA.2016.7446084,,,https://dblp.org/rec/conf/hpca/IslamRRWW16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446084,paper,primary,verified,high,T08/T10,datacenter_cloud_server_qos,datacenter|cloud|server|qos,HPCA-C04,"Datacenter, cloud, server QoS, and resource allocation",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0007,HPCA,HPCA,2016,complete,A performance analysis framework for optimizing OpenCL applications on FPGAs,Zeke Wang|Bingsheng He|Wei Zhang 0012|Shunning Jiang,Main Program,,accepted_paper,10.1109/HPCA.2016.7446058,,https://doi.org/10.1109/HPCA.2016.7446058,,,https://dblp.org/rec/conf/hpca/WangHZJ16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446058,paper,primary,verified,high,T11,simulation_profiling_modeling_evaluation,simulation|profiling|modeling,HPCA-C10,"Benchmark, profiling, modeling, simulation, and evaluation",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0008,HPCA,HPCA,2016,complete,Amdahl's law for lifetime reliability scaling in heterogeneous multicore processors,William J. Song|Saibal Mukhopadhyay|Sudhakar Yalamanchili,Main Program,,accepted_paper,10.1109/HPCA.2016.7446097,,https://doi.org/10.1109/HPCA.2016.7446097,,,https://dblp.org/rec/conf/hpca/SongMY16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446097,paper,primary,verified,high,T11/T12,reliability_fault_tolerance_resilience,reliability|fault_tolerance|resilience,HPCA-C14,"Reliability, fault tolerance, and error resilience",provisional,Title-level metadata clustering; no batch abstract/session enrichment. Metadata verification confidence does not equal topic-assignment confidence.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0009,HPCA,HPCA,2016,complete,Approximating warps with intra-warp operand value similarity,Daniel Wong 0001|Nam Sung Kim|Murali Annavaram,Main Program,,accepted_paper,10.1109/HPCA.2016.7446063,,https://doi.org/10.1109/HPCA.2016.7446063,,,https://dblp.org/rec/conf/hpca/0001KA16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446063,paper,primary,verified,high,T11,general_architecture_needs_review,microarchitecture|needs_review,HPCA-C11,General architecture and needs-review rows,uncertain,Unresolved title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
HPCA-2016-P0010,HPCA,HPCA,2016,complete,Atomic persistence for SCM with a non-intrusive backend controller,Kshitij A. Doshi|Ellis Giles|Peter J. Varman,Main Program,,accepted_paper,10.1109/HPCA.2016.7446055,,https://doi.org/10.1109/HPCA.2016.7446055,,,https://dblp.org/rec/conf/hpca/DoshiGV16,,https://dblp.org/db/conf/hpca/,,DBLP HPCA 2016 proceedings metadata,https://doi.org/10.1109/HPCA.2016.7446055,paper,primary,verified,high,T11,general_architecture_needs_review,microarchitecture|needs_review,HPCA-C11,General architecture and needs-review rows,uncertain,Unresolved title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP-backed proceedings row; official session/track merged when a title match was available.
