paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ICCAD-2016-P0001,ICCAD,ICCAD,2016,complete,Energy-efficient fault tolerance approach for internet of things applications,Teng Xu 0001|Miodrag Potkonjak,Proceedings,,accepted_paper,10.1145/2966986.2967034,https://doi.org/10.1145/2966986.2967034,,,,https://dblp.org/rec/conf/iccad/0001P16,,https://doi.org/10.1145/2966986.2967034,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2967034,paper,primary,verified,high,T12,other_needs_review,eda|cad|needs_review,ICCAD-C12,Other or needs-review ICCAD proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/iccad/0001P16; pages=62
ICCAD-2016-P0002,ICCAD,ICCAD,2016,complete,Incorporating cut redistribution with mask assignment to enable 1D gridded design,Jian Kuang 0001|Evangeline F. Y. Young|Bei Yu 0001,Proceedings,,accepted_paper,10.1145/2966986.2967048,https://doi.org/10.1145/2966986.2967048,,,,https://dblp.org/rec/conf/iccad/0001YY16,,https://doi.org/10.1145/2966986.2967048,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2967048,paper,primary,verified,high,T12,other_needs_review,eda|cad|needs_review,ICCAD-C12,Other or needs-review ICCAD proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/iccad/0001YY16; pages=48
ICCAD-2016-P0003,ICCAD,ICCAD,2016,complete,A flash-based digital circuit design flow,Monther Abusultan|Sunil P. Khatri,Proceedings,,accepted_paper,10.1145/2966986.2966990,https://doi.org/10.1145/2966986.2966990,,,,https://dblp.org/rec/conf/iccad/AbusultanK16,,https://doi.org/10.1145/2966986.2966990,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2966990,paper,primary,verified,high,T10,memory_storage_data_intensive_systems,flash,ICCAD-C10,"Memory, storage, and data-intensive systems",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/iccad/AbusultanK16; pages=6
ICCAD-2016-P0004,ICCAD,ICCAD,2016,complete,Encasing block ciphers to foil key recovery attempts via side channel,Giovanni Agosta|Alessandro Barenghi|Gerardo Pelosi|Michele Scandale,Proceedings,,accepted_paper,10.1145/2966986.2967033,https://doi.org/10.1145/2966986.2967033,,,,https://dblp.org/rec/conf/iccad/AgostaBPS16,,https://doi.org/10.1145/2966986.2967033,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2967033,paper,primary,verified,high,T12/T11,hardware_security_privacy_trust,side_channel,ICCAD-C08,"Hardware security, privacy, and trust",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/iccad/AgostaBPS16; pages=96
ICCAD-2016-P0005,ICCAD,ICCAD,2016,complete,A machine learning approach to fab-of-origin attestation,Ali Ahmadi|Mohammad-Mahdi Bidmeshki|Amit Nahar|Bob Orr|Michael Pas|Yiorgos Makris,Proceedings,,accepted_paper,10.1145/2966986.2966992,https://doi.org/10.1145/2966986.2966992,,,,https://dblp.org/rec/conf/iccad/AhmadiBNOPM16,,https://doi.org/10.1145/2966986.2966992,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2966992,paper,primary,verified,high,T12,other_needs_review,eda|cad|needs_review,ICCAD-C12,Other or needs-review ICCAD proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/iccad/AhmadiBNOPM16; pages=92
ICCAD-2016-P0006,ICCAD,ICCAD,2016,complete,Duplex: simultaneous parameter-performance exploration for optimizing analog circuits,Seyed Nematollah Ahmadyan|Shobha Vasudevan,Proceedings,,accepted_paper,10.1145/2966986.2967026,https://doi.org/10.1145/2966986.2967026,,,,https://dblp.org/rec/conf/iccad/AhmadyanV16,,https://doi.org/10.1145/2966986.2967026,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2967026,paper,primary,verified,high,T12,analog_rf_mixed_signal_automation,analog,ICCAD-C04,"Analog, RF, and mixed-signal automation",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/iccad/AhmadyanV16; pages=19
ICCAD-2016-P0007,ICCAD,ICCAD,2016,complete,Interconnect-aware device targeting from PPA perspective,Mustafa Badaroglu|Jeff Xu,Proceedings,,accepted_paper,10.1145/2966986.2980068,https://doi.org/10.1145/2966986.2980068,,,,https://dblp.org/rec/conf/iccad/BadarogluX16,,https://doi.org/10.1145/2966986.2980068,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2980068,paper,primary,verified,high,T12,other_needs_review,eda|cad|needs_review,ICCAD-C12,Other or needs-review ICCAD proceedings rows,provisional,fallback provisional cluster; review abstract/session before using as topic evidence.,,,,,none,,,maybe,,DBLP key=conf/iccad/BadarogluX16; pages=26
ICCAD-2016-P0008,ICCAD,ICCAD,2016,complete,A tensor-based volterra series black-box nonlinear system identification and simulation framework,Kim Batselier|Zhongming Chen|Haotian Liu|Ngai Wong 0001,Proceedings,,accepted_paper,10.1145/2966986.2966996,https://doi.org/10.1145/2966986.2966996,,,,https://dblp.org/rec/conf/iccad/BatselierCLW16,,https://doi.org/10.1145/2966986.2966996,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2966996,paper,primary,verified,high,T07/T11,eda_ai_agents_benchmarks_circuit_representation,framework|simulation,ICCAD-C11,"EDA AI agents, benchmarks, and circuit representation",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/iccad/BatselierCLW16; pages=17
ICCAD-2016-P0009,ICCAD,ICCAD,2016,complete,"Scalable, high-quality, SAT-based multi-layer escape routing",Sam Bayless|Holger H. Hoos|Alan J. Hu,Proceedings,,accepted_paper,10.1145/2966986.2967072,https://doi.org/10.1145/2966986.2967072,,,,https://dblp.org/rec/conf/iccad/BaylessHH16,,https://doi.org/10.1145/2966986.2967072,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2967072,paper,primary,verified,high,T12/T11,logic_synthesis_mapping_sat_formal,sat,ICCAD-C03,"Logic synthesis, mapping, SAT, and formal methods",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/iccad/BaylessHH16; pages=22
ICCAD-2016-P0010,ICCAD,ICCAD,2016,complete,Where formal verification can help in functional safety analysis,Alessandro Bernardini|Wolfgang Ecker|Ulf Schlichtmann,Proceedings,,accepted_paper,10.1145/2966986.2980087,https://doi.org/10.1145/2966986.2980087,,,,https://dblp.org/rec/conf/iccad/BernardiniES16,,https://doi.org/10.1145/2966986.2980087,,DBLP ICCAD 2016 proceedings entry,https://doi.org/10.1145/2966986.2980087,paper,primary,verified,high,T12/T11,logic_synthesis_mapping_sat_formal,formal,ICCAD-C03,"Logic synthesis, mapping, SAT, and formal methods",provisional,keyword-based provisional cluster.,,,,,none,,,maybe,,DBLP key=conf/iccad/BernardiniES16; pages=85
