award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ISCAS-2018-A001,ISCAS,ISCAS,2018,complete,ISCAS Student Best Paper Award,student_best_paper,Winner,A 128×128 Current-Mode Ultra-High Frame Rate ISFET Array for Ion Imaging,Junming Zeng|Nicholas Miscourides|Pantelis Georgiou,ISCAS-2018-P0944,10.1109/ISCAS.2018.8351178,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,verified,high,corrected,Second-wave award-source agent found previous title did not match current IEEE CASS official page; row corrected to official 2018 recipient and aligned to papers.csv.,T03/T04/T11,edge_biomedical_robotics_sensing,sensor|imaging|official_award,award_paper,no,Award status verified; long-term technical impact remains impact_unverified pending citation/adoption audit.,,Second-wave 2026-06-27: corrected from conflicting prior title using IEEE CASS official Student Best Paper page; aligned to ISCAS-2018-P0944.
ISCAS-2018-A002,ISCAS,ISCAS,2018,complete,ISCAS Student Best Paper Award,student_best_paper,Winner,FPGA Implementation of a Memory-Efficient Hough Parameter Space for the Detection of Lines,David Northcote|Louise H. Crockett|Paul Murray,ISCAS-2018-P0634,10.1109/ISCAS.2018.8351115,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,verified,high,corrected,Second-wave award-source agent found previous title did not match current IEEE CASS official page; row corrected to official 2018 recipient and aligned to papers.csv.,T07/T11/T12,eda_vlsi_fpga_security,fpga|vision|official_award,award_paper,no,Award status verified; long-term technical impact remains impact_unverified pending citation/adoption audit.,,Second-wave 2026-06-27: corrected from conflicting prior title using IEEE CASS official Student Best Paper page; aligned to ISCAS-2018-P0634.
ISCAS-2018-A003,ISCAS,ISCAS,2018,complete,ISCAS Student Best Paper Award,student_best_paper,Winner,A Low-Power and Wide-Locking-Range Injection-Locked Frequency Divider by Three with Dual-Injection Divide-by-Two Technique,Alessandro Garghetti|Andrea L. Lacaita|Salvatore Levantino,ISCAS-2018-P0261,10.1109/ISCAS.2018.8350910,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,verified,high,corrected,Second-wave award-source agent found previous title did not match current IEEE CASS official page; row corrected to official 2018 recipient and aligned to papers.csv.,T10/T12,analog_rf_power_data_converter,frequency_divider|analog_rf|official_award,award_paper,no,Award status verified; long-term technical impact remains impact_unverified pending citation/adoption audit.,,Second-wave 2026-06-27: corrected from conflicting prior title using IEEE CASS official Student Best Paper page; aligned to ISCAS-2018-P0261.
ISCAS-2016-A004,ISCAS,ISCAS,2016,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2016 student-paper/demo award winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
ISCAS-2017-A005,ISCAS,ISCAS,2017,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2017 student-paper/demo award winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
ISCAS-2018-A006,ISCAS,ISCAS,2018,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2018 full conference Best Paper / Best Demo winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
ISCAS-2019-A007,ISCAS,ISCAS,2019,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2019 student-paper/demo award winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
ISCAS-2020-A008,ISCAS,ISCAS,2020,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2020 student-paper/demo award winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
ISCAS-2021-A009,ISCAS,ISCAS,2021,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2021 student-paper/demo award winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
ISCAS-2022-A010,ISCAS,ISCAS,2022,complete,ISCAS Student Best Paper / Demo awards,other,Missing,ISCAS 2022 student-paper/demo award winners not recovered from stable source in this run,,,,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,,,,IEEE CASS ISCAS Student Best Paper Award page,https://ieee-cas.org/paper-award/outstanding-paper-awards/iscas-student-best-paper-award,official_page,primary,needs_review,medium,none,,T11/T12,other_cas_needs_review,iscas|circuits_systems|needs_review,none,no,Award/finalist/source-coverage status only; long-term impact is not asserted without citation/artifact audit.,paper_id|authors|award_paper_title,"CASS page states ISCAS recognizes three best Student Papers and best Demos, but does not list this year's winners."
