award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ISPA-2021-A01,ISPA,ISPA,2021,partial,Best Paper Award,best_paper,Winner,CE-Dedup: Cost-Effective Convolutional Neural Nets Training based on Image Deduplication,Xuan Li|Liqiong Chang|Xue Liu,ISPA-2021-P0534,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00017,https://www.cloud-conf.net/ispa2021/award.html,https://www.proceedings.com/content/061/061722webtoc.pdf,,,ISPA 2021 official award page,https://www.cloud-conf.net/ispa2021/award.html,official_page,primary,needs_review,medium,source_internal_conflict,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,milestone,maybe,Award status is recorded; long-term impact is not asserted without citation/artifact audit.,canonical_award_source_title_consistency,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.
ISPA-2021-A02,ISPA,ISPA,2021,partial,Best Paper Award,best_paper,Winner,Capture Uncertainties in Deep Neural Networks for Safe Operation of Autonomous Driving Vehicles,Liuhui Ding|Dachuan Li|Bowen Liu|Wenxing Lan|Bing Bai|Qi Hao|Weipeng Cao|Ke Pei,ISPA-2021-P0533,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00118,https://www.cloud-conf.net/ispa2021/award.html,https://www.proceedings.com/content/061/061722webtoc.pdf,,,ISPA 2021 official award page,https://www.cloud-conf.net/ispa2021/award.html,official_page,primary,needs_review,medium,source_internal_conflict|author_conflict,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; program author list omits Ke Pei while proceedings/papers.csv include Ke Pei.,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,milestone,maybe,Award status is recorded; long-term impact is not asserted without citation/artifact audit.,canonical_award_source_title_consistency,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; program author list omits Ke Pei while proceedings/papers.csv include Ke Pei.
ISPA-2021-A03,ISPA,ISPA,2021,partial,Best Paper Award,best_paper,Winner,A Blockchain-based verified locating scheme for IoT devices,Zhenyu Guan|Xiaoqing Wen|Dawei Li|Mai Xu|Haihua Li,ISPA-2021-P0480,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00114,https://www.cloud-conf.net/ispa2021/award.html,https://www.proceedings.com/content/061/061722webtoc.pdf,,,ISPA 2021 official award page,https://www.cloud-conf.net/ispa2021/award.html,official_page,primary,needs_review,medium,source_internal_conflict,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.,T11/T12,federated_privacy_security_blockchain,security|privacy|federated|blockchain,milestone,maybe,Award status is recorded; long-term impact is not asserted without citation/artifact audit.,canonical_award_source_title_consistency,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.
ISPA-2021-A04,ISPA,ISPA,2021,partial,Most Innovative Paper Award,other,Winner,A Unified Anomaly Detection Methodology for Lane-Following of Autonomous Driving Systems,Xingshuo Han|Kangjie Chen|Yuan Zhou|Tianwei Zhang|Meikang Qiu|Chun Fan|Yang Liu,ISPA-2021-P0500,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00119,https://www.cloud-conf.net/ispa2021/award.html,https://www.proceedings.com/content/061/061722webtoc.pdf,,,ISPA 2021 official award page,https://www.cloud-conf.net/ispa2021/award.html,official_page,primary,needs_review,medium,source_internal_conflict|author_order_conflict,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; author order differs between program/award row and proceedings/papers.csv.,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,reading_route,maybe,Award status is recorded; long-term impact is not asserted without citation/artifact audit.,canonical_award_source_title_consistency,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; author order differs between program/award row and proceedings/papers.csv.
ISPA-2021-A05,ISPA,ISPA,2021,partial,Most Innovative Paper Award,other,Winner,A Heterogeneous Stochastic Computing Multiplier for Universally Accurate and Energy-Efficient DNNs,Jihe Wang|Hao Chen|Danghui Wang|Kuizhi Mei|Shengbing Zhang|Xiaoya Fan,ISPA-2021-P0488,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00081,https://www.cloud-conf.net/ispa2021/award.html,https://www.proceedings.com/content/061/061722webtoc.pdf,,,ISPA 2021 official award page,https://www.cloud-conf.net/ispa2021/award.html,official_page,primary,needs_review,medium,source_internal_conflict,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.,T11,misc_or_application_specific_boundary,needs_review,reading_route,maybe,Award status is recorded; long-term impact is not asserted without citation/artifact audit.,canonical_award_source_title_consistency,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.
ISPA-2021-A06,ISPA,ISPA,2021,partial,Best Student Paper Award,best_student_paper,Winner,DRAM: Dragonfly Routing Algorithm on Multi-objects by Optimal Thresholds,Yihuan Qian|Songwen Pei|Jihong Yuan|Dianle Zhou|Tong Liu|Linghe Kong,ISPA-2021-P0551,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00031,https://www.cloud-conf.net/ispa2021/award.html,https://www.proceedings.com/content/061/061722webtoc.pdf,,,ISPA 2021 official award page,https://www.cloud-conf.net/ispa2021/award.html,official_page,primary,needs_review,medium,source_internal_conflict,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,milestone,maybe,Award status is recorded; long-term impact is not asserted without citation/artifact audit.,canonical_award_source_title_consistency,Official 2021 award URL body says ISPA 2021 but page heading says KSEM 2021; keep needs_review.
ISPA-2023-A01,ISPA,ISPA,2023,complete,Best Paper Award,best_paper,Winner,Hierarchical Sketch: An Efficient Solution for Threshold-t Flows Measurement in High-Speed Networks,Yifan Han|He Huang|Yang Du|Yu-E Sun|Jia Liu|Hongli Xu,ISPA-2023-P0841,10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00036,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,https://www.proceedings.com/content/074/074286webtoc.pdf,,,ISPA 2023 Best Paper Awards official page,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,official_page,primary,verified,high,none,,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,award_paper,maybe,Award status is verified from the official ISPA 2023 awards page; long-term impact is not asserted without citation/artifact audit.,impact_audit,Added during VENUE-ISPA-001_second_wave from official award certificate page.
ISPA-2023-A02,ISPA,ISPA,2023,complete,Best Paper Award,best_paper,Winner,Reducing Latency of DAG-Based Consensus in the Asynchronous Setting via the UTXO Model,Keyang Liu|Maxim Jourenko|Mario Larangeira,ISPA-2023-P0870,10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00071,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,https://www.proceedings.com/content/074/074286webtoc.pdf,,,ISPA 2023 Best Paper Awards official page,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,official_page,primary,verified,high,none,,T11,misc_or_application_specific_boundary,needs_review,award_paper,maybe,Award status is verified from the official ISPA 2023 awards page; long-term impact is not asserted without citation/artifact audit.,impact_audit,Added during VENUE-ISPA-001_second_wave from official award certificate page.
ISPA-2023-A03,ISPA,ISPA,2023,complete,Best Student Paper Award,best_student_paper,Winner,TGT: Churn Prediction in O2O Logistics with Two-Tower Gated Transformer,Baoshen Guo|Hai Wang|Hao Liu|Wei Gong|Wei Xi|Xiaolei Zhou|Shuai Wang,ISPA-2023-P0876,10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00129,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,https://www.proceedings.com/content/074/074286webtoc.pdf,,,ISPA 2023 Best Paper Awards official page,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,official_page,primary,verified,high,none,,T02/T04/T08,ml_ai_models_for_systems_apps,ml|ai|application_model,award_paper,maybe,Award status is verified from the official ISPA 2023 awards page; long-term impact is not asserted without citation/artifact audit.,impact_audit,Added during VENUE-ISPA-001_second_wave from official award certificate page.
ISPA-2023-A04,ISPA,ISPA,2023,complete,Outstanding Paper Award,other,Winner,Cost-Effective Dynamic Alliance Pricing Mechanism Based on Distributed Edge-Intelligence,Zhihan Cao|Xi Zheng|Jianxiong Guo|Weijia Jia|Yang Xu|Tian Wang,ISPA-2023-P0802,,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,https://www.proceedings.com/content/074/074286webtoc.pdf,,,ISPA 2023 Best Paper Awards official page,http://ieee-hust-ncc.org/2023/ISPA/bestpaper.html,official_page,primary,verified,high,none,,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,award_paper,maybe,Award status is verified from the official ISPA 2023 awards page; long-term impact is not asserted without citation/artifact audit.,impact_audit,Added during VENUE-ISPA-001_second_wave from official award certificate page.
