award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ISSCC-2016-A01,ISSCC,ISSCC,2016,complete,Lewis Winner Award,best_paper,Winner,3D Ultrasonic Fingerprint Sensor-on-a-Chip,Hao-Yen Tang et al.,ISSCC-2016-P0168,10.1109/ISSCC.2016.7417977,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2016.7417977,https://doi.org/10.1109/ISSCC.2016.7417977,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,official_page,primary,verified,high,none,,T03/T04/T11,sensors_imagers_edge_embodied_chips,ultrasonic,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,"Sensors, imagers, biomedical, edge, and embodied sensing chips. Verified by metadata agent from official ISSCC 2016-17 award winners PDF."
ISSCC-2016-A02,ISSCC,ISSCC,2016,complete,Distinguished Technical Paper Award,distinguished_paper,Winner,A 94.6%-Efficiency Fully Integrated Switched-Capacitor DC-DC Converter in Baseline 40nm CMOS Using Scalable Parasitic Charge Redistribution,Nicolas Butzen|Michiel Steyaert,ISSCC-2016-P0013,10.1109/ISSCC.2016.7417986,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2016.7417986,https://doi.org/10.1109/ISSCC.2016.7417986,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,official_page,primary,verified,high,none,,T04/T12,power_management_energy_low_power,dc-dc|converter,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,"Power management, energy harvesting, and low-power platforms. Verified by metadata agent from official ISSCC 2016-17 award winners PDF."
ISSCC-2016-A03,ISSCC,ISSCC,2016,complete,Jan Van Vessem Award,other,Winner,A 2.2GHz Continuous-Time ΔΣ ADC with -102dBc THD and 25MHz BW,Lucien J. Breems et al.,ISSCC-2016-P0011,10.1109/ISSCC.2016.7418012,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2016.7418012,https://doi.org/10.1109/ISSCC.2016.7418012,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,official_page,primary,verified,high,none,,T12,analog_rf_wireline_data_converter,ghz|mhz|adc,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,"Analog, RF, wireline, wireless, and data-converter circuits. Verified by metadata agent from official ISSCC 2016-17 award winners PDF."
ISSCC-2016-A04,ISSCC,ISSCC,2016,complete,Takuo Sugano Award,other,Winner,A 4Gpixel/s 8/10b H.265/HEVC Video Decoder Chip for 8K Ultra HD Applications,Dajiang Zhou et al.,ISSCC-2016-P0203,10.1109/ISSCC.2016.7418009,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2016.7418009,https://doi.org/10.1109/ISSCC.2016.7418009,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,official_page,primary,verified,high,none,,T12,other_solid_state_circuits_needs_review,solid_state_circuits|needs_review,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,Other solid-state circuits and needs-review rows. Verified by metadata agent from official ISSCC 2016-17 award winners PDF.
ISSCC-2016-A05,ISSCC,ISSCC,2016,complete,Outstanding Forum Presenter,other,Winner,A Matter of Trust: Overview of Hardware Security Challenges,Kerry Bernstein,,,https://www.isscc.org/isscc-award-winners,,,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,official_page,primary,verified,high,none,,T11/T12,security_crypto_resilient_circuits,security,none,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,paper_id,"Security, cryptography, random number, and resilient circuits. Verified by metadata agent from official ISSCC 2016-17 award winners PDF."
ISSCC-2016-A06,ISSCC,ISSCC,2016,complete,Demonstration Session Certificate,artifact_award,Certificate,A 0.55V 1.1mW Artificial-Intelligence Processor with PVT Compensation for Micro Robots,Youchang Kim et al.,ISSCC-2016-P0080,10.1109/ISSCC.2016.7418005,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2016.7418005,https://doi.org/10.1109/ISSCC.2016.7418005,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners-zs9l.pdf,official_page,primary,verified,high,none,,T01/T02/T05/T06,ai_ml_accelerators_compute_soc,artificial-intelligence,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,"AI/ML accelerators, processors, and compute SoCs. Verified by metadata agent from official ISSCC 2016-17 award winners PDF."
ISSCC-2017-A07,ISSCC,ISSCC,2017,complete,Silkroad Award,other,Winner,A 6.9mW 120fps 28x50 Capacitive Touch Sensor with 41.7dB SNR for 1mm Stylus Using Current-Driven ΔΣ ADCs,Hyunseok Hwang et al.,ISSCC-2017-P0079,10.1109/ISSCC.2017.7870315,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2017.7870315,https://doi.org/10.1109/ISSCC.2017.7870315,https://www.isscc.org/s/2016-17-Award-Winners.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners.pdf,official_page,primary,verified,high,minor_title_author_variant_needs_review,Official award title uses 28x50/28×50 and author spelling variants; paper_id and DOI are aligned by title and DOI metadata.,T12,analog_rf_wireline_data_converter,adc,none,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,paper_id,"Analog, RF, wireline, wireless, and data-converter circuits. Verified partial 2017 award coverage from official handout; full 2017 award set still needs_review.; second_wave 2026-06-27: paper_id aligned to ISSCC-2017-P0079 from official award page plus DOI metadata; keep minor spelling variant in notes."
ISSCC-2017-A08,ISSCC,ISSCC,2017,complete,Silkroad Award,other,Winner,A 135mW Fully-Integrated Data Processor for Next-Generation Sequencing,Yi-Chung Wu|Jui-Hung Hung|Chia-Hsiang Yang,ISSCC-2017-P0190,10.1109/ISSCC.2017.7870356,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC.2017.7870356,https://doi.org/10.1109/ISSCC.2017.7870356,https://www.isscc.org/s/2016-17-Award-Winners.pdf,ISSCC 2016-17 Award Winners handout,https://www.isscc.org/s/2016-17-Award-Winners.pdf,official_page,primary,verified,high,none,,T06/T10/T12,processors_gpus_chiplets_soc_infrastructure,processor,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,"Processors, GPUs, chiplets, memory interfaces, and SoC infrastructure. Verified partial 2017 award coverage from official handout; full 2017 award set still needs_review."
ISSCC-2021-A09,ISSCC,ISSCC,2021,complete,Lewis Winner Award,best_paper,Winner,A 23.9-to-29.4GHz Digital LC-PLL with a Coupled Frequency Doubler for Wireline Applications in 10nm FinFET,Dongseok Shin et al.,ISSCC-2021-P0167,10.1109/ISSCC42613.2021.9365810,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC42613.2021.9365810,https://doi.org/10.1109/ISSCC42613.2021.9365810,https://www.isscc.org/s/2022-AwardsHandout.pdf,ISSCC 2022 Award Winners handout,https://www.isscc.org/s/2022-AwardsHandout.pdf,official_page,primary,verified,high,none,,T12,analog_rf_wireline_data_converter,ghz|pll|wireline,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,"Analog, RF, wireline, wireless, and data-converter circuits. Official 2022 awards handout lists 2021 ISSCC paper awards."
ISSCC-2021-A10,ISSCC,ISSCC,2021,complete,Anantha P. Chandrakasan Award,distinguished_paper,Winner,An 8960-Element Ultrasound-on-Chip for Point-of-Care Ultrasound,Nevada Sanchez et al.,ISSCC-2021-P0159,10.1109/ISSCC42613.2021.9365808,https://www.isscc.org/isscc-award-winners,https://doi.org/10.1109/ISSCC42613.2021.9365808,https://doi.org/10.1109/ISSCC42613.2021.9365808,https://www.isscc.org/s/2022-AwardsHandout.pdf,ISSCC 2022 Award Winners handout,https://www.isscc.org/s/2022-AwardsHandout.pdf,official_page,primary,verified,high,none,,T12,other_solid_state_circuits_needs_review,solid_state_circuits|needs_review,milestone,yes,Official ISSCC award-source signal only; long-term impact requires separate citation/adoption audit.,,Other solid-state circuits and needs-review rows. Official 2022 awards handout lists 2021 ISSCC paper awards.
