paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ISSCC-2016-P0001,ISSCC,ISSCC,2016,complete,2.2 A scalable 28GHz coupled-PLL in 65nm CMOS with single-wire synchronization for large-scale 5G mm-wave arrays,Abhishek Agrawal|Arun Natarajan 0001,Digest of Technical Papers,Session 2,accepted_paper,10.1109/ISSCC.2016.7417895,,https://doi.org/10.1109/ISSCC.2016.7417895,,,https://dblp.org/rec/conf/isscc/AgrawalN16,,https://doi.org/10.1109/ISSCC.2016.7417895,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7417895,paper,primary,verified,high,T12,analog_rf_wireline_data_converter,ghz|mm-wave|pll,ISSCC-C06,"Analog, RF, wireline, wireless, and data-converter circuits",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/AgrawalN16; pages=38-39; session inferred from title prefix when present.
ISSCC-2016-P0002,ISSCC,ISSCC,2016,complete,"20.5 1.4THz, -13dBm-EIRP frequency multiplier chain using symmetric- and asymmetric-CV varactors in 65nm CMOS",Zeshan Ahmad|Mark Lee|Kenneth K. O,Digest of Technical Papers,Session 20,accepted_paper,10.1109/ISSCC.2016.7418051,,https://doi.org/10.1109/ISSCC.2016.7418051,,,https://dblp.org/rec/conf/isscc/AhmadLO16,,https://doi.org/10.1109/ISSCC.2016.7418051,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7418051,paper,primary,verified,high,T12,analog_rf_wireline_data_converter,thz,ISSCC-C06,"Analog, RF, wireline, wireless, and data-converter circuits",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/AhmadLO16; pages=350-351; session inferred from title prefix when present.
ISSCC-2016-P0003,ISSCC,ISSCC,2016,complete,19.1 A 0.5-to-9.5GHz 1.2µs-lock-time fractional-N DPLL with ±1.25% UI period jitter in 16nm CMOS for dynamic frequency and core-count scaling in SoC,Fazil Ahmad|Greg Unruh|Amrutha Iyer|Pin-En Su|Sherif Abdalla|Bo Shen|Mark Chambers|Ichiro Fujimori,Digest of Technical Papers,Session 19,accepted_paper,10.1109/ISSCC.2016.7418038,,https://doi.org/10.1109/ISSCC.2016.7418038,,,https://dblp.org/rec/conf/isscc/AhmadUISASCF16,,https://doi.org/10.1109/ISSCC.2016.7418038,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7418038,paper,primary,verified,high,T06/T10/T12,processors_gpus_chiplets_soc_infrastructure,core|soc,ISSCC-C03,"Processors, GPUs, chiplets, memory interfaces, and SoC infrastructure",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/AhmadUISASCF16; pages=324-325; session inferred from title prefix when present.
ISSCC-2016-P0004,ISSCC,ISSCC,2016,complete,6.9 A 1.1µm 33Mpixel 240fps 3D-stacked CMOS image sensor with 3-stage cyclic-based analog-to-digital converters,Toshiki Arai|Toshio Yasue|Kazuya Kitamura|Hiroshi Shimamoto|Tomohiko Kosugi|Sung-Wook Jun|Satoshi Aoyama|Ming-Chieh Hsu|Yuichiro Yamashita|Hirofumi Sumi|Shoji Kawahito,Digest of Technical Papers,Session 6,accepted_paper,10.1109/ISSCC.2016.7417939,,https://doi.org/10.1109/ISSCC.2016.7417939,,,https://dblp.org/rec/conf/isscc/AraiYKSKJAHYSK16,,https://doi.org/10.1109/ISSCC.2016.7417939,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7417939,paper,primary,verified,high,T06/T10/T12,processors_gpus_chiplets_soc_infrastructure,3d-stacked|stacked,ISSCC-C03,"Processors, GPUs, chiplets, memory interfaces, and SoC infrastructure",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/AraiYKSKJAHYSK16; pages=126-128; session inferred from title prefix when present.
ISSCC-2016-P0005,ISSCC,ISSCC,2016,complete,23.5 A dual 64Gbaud 10kΩ 5% THD linear differential transimpedance amplifier with automatic gain control in 0.13µm BiCMOS technology for optical fiber coherent receivers,Ahmed Awny|Rajasekhar Nagulapalli|Daniel Micusik|Jan Hoffmann 0003|Gunter Fischer|Dietmar Kissinger|Ahmet Cagri Ulusoy,Digest of Technical Papers,Session 23,accepted_paper,10.1109/ISSCC.2016.7418079,,https://doi.org/10.1109/ISSCC.2016.7418079,,,https://dblp.org/rec/conf/isscc/AwnyNMHFKU16,,https://doi.org/10.1109/ISSCC.2016.7418079,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7418079,paper,primary,verified,high,T12,analog_rf_wireline_data_converter,receiver|optical|amplifier,ISSCC-C06,"Analog, RF, wireline, wireless, and data-converter circuits",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/AwnyNMHFKU16; pages=406-407; session inferred from title prefix when present.
ISSCC-2016-P0006,ISSCC,ISSCC,2016,complete,26.3 A 1.3nJ/b IEEE 802.11ah fully digital polar transmitter for IoE applications,Ao Ba|Yao-Hong Liu|Johan H. C. van den Heuvel|Paul Mateman|Benjamin Busze|Jordy Gloudemans|Peter Vis|Johan Dijkhuis|Christian Bachmann|Guido Dolmans|Kathleen Philips|Harmke de Groot,Digest of Technical Papers,Session 26,accepted_paper,10.1109/ISSCC.2016.7418096,,https://doi.org/10.1109/ISSCC.2016.7418096,,,https://dblp.org/rec/conf/isscc/BaLHMBGVDBDPG16,,https://doi.org/10.1109/ISSCC.2016.7418096,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7418096,paper,primary,verified,high,T12,analog_rf_wireline_data_converter,transmitter,ISSCC-C06,"Analog, RF, wireline, wireless, and data-converter circuits",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/BaLHMBGVDBDPG16; pages=440-441; session inferred from title prefix when present.
ISSCC-2016-P0007,ISSCC,ISSCC,2016,complete,3.6 A 45Gb/s PAM-4 transmitter delivering 1.3Vppd output swing with 1V supply in 28nm CMOS FDSOI,Matteo Bassi|Francesco Radice|Melchiorre Bruccoleri|Simone Erba|Andrea Mazzanti,Digest of Technical Papers,Session 3,accepted_paper,10.1109/ISSCC.2016.7417909,,https://doi.org/10.1109/ISSCC.2016.7417909,,,https://dblp.org/rec/conf/isscc/BassiRBEM16,,https://doi.org/10.1109/ISSCC.2016.7417909,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7417909,paper,primary,verified,high,T04/T12,power_management_energy_low_power,supply,ISSCC-C07,"Power management, energy harvesting, and low-power platforms",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/BassiRBEM16; pages=66-67; session inferred from title prefix when present.
ISSCC-2016-P0008,ISSCC,ISSCC,2016,complete,11.8 Chip-scale electro-optical 3D FMCW lidar with 8µm ranging precision,Behnam Behroozpour|Phillip A. M. Sandborn|Niels Quack|Tae Joon Seok|Yasuhiro Matsui|Ming C. Wu|Bernhard E. Boser,Digest of Technical Papers,Session 11,accepted_paper,10.1109/ISSCC.2016.7417983,,https://doi.org/10.1109/ISSCC.2016.7417983,,,https://dblp.org/rec/conf/isscc/BehroozpourSQSM16,,https://doi.org/10.1109/ISSCC.2016.7417983,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7417983,paper,primary,verified,high,T03/T04/T11,sensors_imagers_edge_embodied_chips,lidar,ISSCC-C04,"Sensors, imagers, biomedical, edge, and embodied sensing chips",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/BehroozpourSQSM16; pages=214-216; session inferred from title prefix when present.
ISSCC-2016-P0009,ISSCC,ISSCC,2016,complete,15.4 A 280µW 24kHz-BW 98.5dB-SNDR chopped single-bit CT ΔΣM achieving <10Hz 1/f noise corner without chopping artifacts,Sujith Billa|Amrith Sukumaran|Shanthi Pavan,Digest of Technical Papers,Session 15,accepted_paper,10.1109/ISSCC.2016.7418014,,https://doi.org/10.1109/ISSCC.2016.7418014,,,https://dblp.org/rec/conf/isscc/BillaSP16,,https://doi.org/10.1109/ISSCC.2016.7418014,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7418014,paper,primary,verified,high,T12,other_solid_state_circuits_needs_review,solid_state_circuits|needs_review,ISSCC-C08,Other solid-state circuits and needs-review rows,provisional,fallback provisional cluster; use abstracts/session before making topic claims.,,,,,none,,,maybe,,DBLP key=conf/isscc/BillaSP16; pages=276-277; session inferred from title prefix when present.
ISSCC-2016-P0010,ISSCC,ISSCC,2016,complete,6.3 105×65mm2 391Mpixel CMOS image sensor with >78dB dynamic range for airborne mapping applications,Jan Bogaerts|Raf Lafaille|Marc Borremans|Jia Guo|Bart Ceulemans|Guy Meynants|Navid Sarhangnejad|Gavril Arsinte|Victor Statescu|Sonja van der Groen,Digest of Technical Papers,Session 6,accepted_paper,10.1109/ISSCC.2016.7417933,,https://doi.org/10.1109/ISSCC.2016.7417933,,,https://dblp.org/rec/conf/isscc/BogaertsLBGCMSA16,,https://doi.org/10.1109/ISSCC.2016.7417933,,DBLP ISSCC 2016 proceedings entry,https://doi.org/10.1109/ISSCC.2016.7417933,paper,primary,verified,high,T03/T04/T11,sensors_imagers_edge_embodied_chips,image_sensor,ISSCC-C04,"Sensors, imagers, biomedical, edge, and embodied sensing chips",provisional,keyword-based provisional cluster over DBLP titles.,,,,,none,,,maybe,,DBLP key=conf/isscc/BogaertsLBGCMSA16; pages=114-115; session inferred from title prefix when present.
