award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
JSSC-2025-A001,JSSC,IEEE Journal of Solid-State Circuits,2025,complete,JSSC Test of Time Award,test_of_time,Winner,Low-Power CMOS Digital Design,Anantha P. Chandrakasan|Sam Sheng|Robert W. Brodersen,,10.1109/4.126534,https://sscs.ieee.org/membership/awards/jssc-test-of-time-award/,,,,IEEE SSCS JSSC Test of Time Award,https://sscs.ieee.org/membership/awards/jssc-test-of-time-award/,official_page,primary,verified,high,minor,No corpus paper_id matched; official award fact remains verified but corpus alignment needs review.,T12,general solid-state circuit,General solid-state circuits and systems,reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,paper_id,"Official SSCS JSSC Test of Time Award page lists this as the 2025 award; winning paper was published in JSSC Vol. 27 No. 4 in 1992, outside the 2016-2026 paper corpus."
JSSC-2024-A002,JSSC,IEEE Journal of Solid-State Circuits,2024,complete,JSSC Best Paper Award,best_paper,Winner,8-λ × 50 Gbps/λ Heterogeneously Integrated Si-Ph DWDM Transmitter,Cooper S. Levy|Zhe Xuan|Jahnavi Sharma|Duanni Huang|Ranjeet Kumar|Chaoxuan Ma|Guan-Lin Su|Songtao Liu|Jinyong Kim|Xinru Wu|Tolga Acikalin|Haisheng Rong|Ganesh Balamurugan|James E. Jaussi,JSSC-2024-P0142,10.1109/JSSC.2023.3344072,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc59.html#LevyXSHKMSLKWARBJ24,,https://dblp.org/db/journals/jssc/jssc59.html#LevyXSHKMSLKWARBJ24,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,JSSC-B01,rf/mmWave/photonic/wireline background,"RF, mmWave, photonic, wireline, and clocking background",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,Official SSCS JSSC Best Paper Award page lists this as the 2024 IEEE JSSC Best Paper.
JSSC-2024-A003,JSSC,IEEE Journal of Solid-State Circuits,2024,complete,JSSC Best Student Paper Award,best_student_paper,Winner,"A Wireless, Multicolor Fluorescence Image Sensor Implant for Real-Time Monitoring in Cancer Therapy",Micah Roschelle|Rozhan Rabbani|Surin Gweon|Rohan Kumar|Alec Vercruysse|Nam Woo Cho|Matthew H. Spitzer|Ali M. Niknejad|Vladimir M. Stojanović|Mekhail Anwar,JSSC-2024-P0061,10.1109/JSSC.2024.3435736,https://sscs.ieee.org/membership/awards/jssc-best-student-paper-award/,https://dblp.org/db/journals/jssc/jssc59.html#RoschelleRGKVCSNSA24,,https://dblp.org/db/journals/jssc/jssc59.html#RoschelleRGKVCSNSA24,IEEE SSCS JSSC Best Student Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-student-paper-award/,official_page,primary,verified,high,none,,JSSC-T07,vision sensor and imaging pipeline,"Computational imaging, LiDAR, event, and vision sensor frontends",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,Official SSCS JSSC Best Student Paper Award page lists this as the 2024 IEEE JSSC Best Student Paper.
JSSC-2023-A004,JSSC,IEEE Journal of Solid-State Circuits,2023,complete,JSSC Best Paper Award,best_paper,Winner,Deep-Learning-Based Inverse-Designed Millimeter-Wave Passives and Power Amplifiers,Emir Ali Karahan|Zheng Liu|Kaushik Sengupta,JSSC-2023-P0059,10.1109/JSSC.2023.3276315,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc58.html#KarahanLS23,,https://dblp.org/db/journals/jssc/jssc58.html#KarahanLS23,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,JSSC-B01,rf/mmWave/photonic/wireline background,"RF, mmWave, photonic, wireline, and clocking background",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 58, Issue 11, Page(s): 3074-3088, November 2023"
JSSC-2022-A005,JSSC,IEEE Journal of Solid-State Circuits,2022,complete,JSSC Best Paper Award,best_paper,Winner,A Harmonic-Mixing PLL Architecture for Millimeter-Wave Application,Dihang Yang|David Murphy|Hooman Darabi|Arya Behzad|Asad A. Abidi|Stephen C. Au|Sraavan R. Mundlapudi|Kejian Shi|Weiyu Leng,JSSC-2022-P0079,10.1109/JSSC.2022.3209614,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc57.html#YangMDBAAMSL22,,https://dblp.org/db/journals/jssc/jssc57.html#YangMDBAAMSL22,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,JSSC-B01,rf/mmWave/photonic/wireline background,"RF, mmWave, photonic, wireline, and clocking background",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 57, Issue 12, Page(s): 3552-3566, December 2022"
JSSC-2021-A006,JSSC,IEEE Journal of Solid-State Circuits,2021,complete,JSSC Best Paper Award,best_paper,Winner,A 3-D-Integrated Silicon Photonic Microring-Based 112-Gb/s PAM-4 Transmitter With Nonlinear Equalization and Thermal Control,Hao Li|Ganesh Balamurugan|Taehwan Kim|Meer N. Sakib|Ranjeet Kumar|Haisheng Rong|James Jaussi|Bryan Casper,JSSC-2021-P0008,10.1109/JSSC.2020.3022851,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc56.html#LiBKSKRJC21,,https://dblp.org/db/journals/jssc/jssc56.html#LiBKSKRJC21,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,JSSC-B01,rf/mmWave/photonic/wireline background,"RF, mmWave, photonic, wireline, and clocking background",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 56, Issue 1, Page(s): 19 – 29"
JSSC-2020-A007,JSSC,IEEE Journal of Solid-State Circuits,2020,complete,JSSC Best Paper Award,best_paper,Winner,"A 0.32-128 TOPS, Scalable Multi-Chip-Module-Based Deep Neural Network Inference Accelerator With Ground-Referenced Signaling in 16 nm",Brian Zimmer|Rangharajan Venkatesan|Yakun Sophia Shao|Jason Clemons|Matthew Fojtik|Nan Jiang|Ben Keller|Alicia Klinefelter|Nathaniel Pinckney|Priyanka Raina|Stephen G. Tell|Yanqing Zhang|William J. Dally|Joel S. Emer|C. Thomas Gray|Stephen W. Keckler|Brucek Khailany,JSSC-2020-P0151,10.1109/JSSC.2019.2960488,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc55.html#ZimmerVSCFJKKPR20,,https://dblp.org/db/journals/jssc/jssc55.html#ZimmerVSCFJKKPR20,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,JSSC-T06,memory-residency and multichip AI scaling,"Memory-residency, multichip, and near-memory AI scaling",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 55, Issue 4, Page(s): 920 – 932"
JSSC-2019-A008,JSSC,IEEE Journal of Solid-State Circuits,2019,complete,JSSC Best Paper Award,best_paper,Winner,A 42.2-Gb/s 4.3-pJ/b 60-GHz Digital Transmitter With 12-b/Symbol Polarization MIMO,Chintan Thakkar|Anandaroop Chakrabarti|Shuhei Yamada|Debabani Choudhury|James Jaussi|Bryan Casper,JSSC-2019-P0103,10.1109/JSSC.2019.2943924,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc54.html#ThakkarCYCJC19,,https://dblp.org/db/journals/jssc/jssc54.html#ThakkarCYCJC19,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,JSSC-B01,rf/mmWave/photonic/wireline background,"RF, mmWave, photonic, wireline, and clocking background",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 54, Issue 12, Page(s): 3565 – 3576"
JSSC-2018-A009,JSSC,IEEE Journal of Solid-State Circuits,2018,complete,JSSC Best Paper Award,best_paper,Winner,A 6.9-μm Pixel-Pitch Back-Illuminated Global Shutter CMOS Image Sensor With Pixel- Parallel 14-Bit Subthreshold ADC,Masaki Sakakibara|Koji Ogawa|Shin Sakai|Yasuhisa Tochigi|Katsumi Honda|Hidekazu Kikuchi|Takuya Wada|Yasunobu Kamikubo|Tsukasa Miura|Masahiko Nakamizo|Naoki Jyo|Ryo Hayashibara|Shinya Miyata|Satoshi Yamamoto|Yoshiyuki Ota|Hirotsugu Takahashi|Tadayuki Taura|Yusuke Oike|Keiji Tatani|Takayuki Ezaki|Teruo Hirayama,JSSC-2018-P0051,10.1109/JSSC.2018.2863947,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc53.html#SakakibaraOSTHK18,,https://dblp.org/db/journals/jssc/jssc53.html#SakakibaraOSTHK18,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,minor,Official award title aligns to corpus row by normalized typography/spacing and DOI; strict title string differs.,JSSC-T07,vision sensor and imaging pipeline,"Computational imaging, LiDAR, event, and vision sensor frontends",reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 53, Issue 11, Page(s): 3017 – 3025 Award-source second wave treats title differences as typography-only variants and keeps DOI paper_id alignment verified on 2026-06-27."
JSSC-2017-A010,JSSC,IEEE Journal of Solid-State Circuits,2017,complete,JSSC Best Paper Award,best_paper,Winner,A 28-GHz 32-Element TRX Phased-Array IC With Concurrent Dual-Polarized Operation and Orthogonal Phase and Gain Control for 5G Communications,Bodhisatwa Sadhu|Yahya Tousi|Joakim Hallin|Stefan Sahl|Scott K. Reynolds|Örjan Renström|Kristoffer Sjögren|Olov Haapalahti|Nadav Mazor|Bo Bokinge|Gustaf Weibull|Håkan Bengtsson|Anders Carlinger|Eric Westesson|Jan-Erik Thillberg|Leonard Rexberg|Mark Yeck|Xiaoxiong Gu|Mark Ferriss|Duixian Liu|Daniel Friedman|Alberto Valdes-Garcia,JSSC-2017-P0089,10.1109/JSSC.2017.2766211,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,https://dblp.org/db/journals/jssc/jssc52.html#SadhuTHSRRSHMBW17,,https://dblp.org/db/journals/jssc/jssc52.html#SadhuTHSRRSHMBW17,IEEE SSCS JSSC Best Paper Award,https://sscs.ieee.org/membership/awards/jssc-best-paper-award/,official_page,primary,verified,high,none,,T12,general solid-state circuit,General solid-state circuits and systems,reading_route,maybe,Award-supported; long-term citation/tool impact remains impact_unverified unless separately audited.,,"Official SSCS JSSC Best Paper Award page lists this recipient row; Vol. 52, Issue 12, Page(s): 3373 – 3391"
