paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
JSSC-2016-P0001,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,"Carrizo: A High Performance, Energy Efficient 28 nm APU",Benjamin Munger|David Akeson|Srikanth Arekapudi|Tom Burd|Harry R. Fair III|Jim Farrell|Dave Johnson 0002|Guhan Krishnan|Hugh McIntyre|Edward McLellan|Samuel Naffziger|Russell Schreiber|Sriram Sundaram|Jonathan White|Kathryn Wilcox,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2464688,,,,,https://dblp.org/db/journals/jssc/jssc51.html#MungerAABFFJKMM16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#MungerAABFFJKMM16,bib_index,secondary,needs_review,medium,JSSC-B01,rf/mmWave/photonic/wireline background,rf,JSSC-C90,"RF, mmWave, photonic, wireline, and clocking background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/MungerAABFFJKMM16; pages=105-116; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2464688
JSSC-2016-P0002,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,"A 409 GOPS/W Adaptive and Resilient Domino Register File in 22 nm Tri-Gate CMOS Featuring In-Situ Timing Margin and Error Detection for Tolerance to Within-Die Variation, Voltage Droop, Temperature and Aging",Jaydeep P. Kulkarni|Carlos Tokunaga|Paolo A. Aseron|Trang Nguyen|Charles Augustine|James W. Tschanz|Vivek De,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2463083,,,,,https://dblp.org/db/journals/jssc/jssc51.html#KulkarniTANATD16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#KulkarniTANATD16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/KulkarniTANATD16; pages=117-129; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2463083
JSSC-2016-P0003,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,Always-On CMOS Image Sensor for Mobile and Wearable Devices,Jaehyuk Choi 0001|Jungsoon Shin|Dongwoo Kang|Du-Sik Park,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2470526,,,,,https://dblp.org/db/journals/jssc/jssc51.html#ChoiSKP16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#ChoiSKP16,bib_index,secondary,needs_review,medium,JSSC-T07,vision sensor and imaging pipeline,image_sensor|lidar|tof|event_camera,JSSC-C07,"Computational imaging, LiDAR, event, and vision sensor frontends",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/ChoiSKP16; pages=130-140; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2470526
JSSC-2016-P0004,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 10 ps Time-Resolution CMOS Image Sensor With Two-Tap True-CDS Lock-In Pixels for Fluorescence Lifetime Imaging,Min-Woong Seo|Keiichiro Kagawa|Keita Yasutomi|Yoshimasa Kawata|Nobukazu Teranishi|Zhuo Li|Izhal Abdul Halin|Shoji Kawahito,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2496788,,,,,https://dblp.org/db/journals/jssc/jssc51.html#SeoKYKTLHK16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#SeoKYKTLHK16,bib_index,secondary,needs_review,medium,JSSC-T07,vision sensor and imaging pipeline,image_sensor|lidar|tof|event_camera,JSSC-C07,"Computational imaging, LiDAR, event, and vision sensor frontends",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/SeoKYKTLHK16; pages=141-154; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2496788
JSSC-2016-P0005,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 160 × 120 Pixel Analog-Counting Single-Photon Imager With Time-Gating and Self-Referenced Column-Parallel A/D Conversion for Fluorescence Lifetime Imaging,Matteo Perenzoni|Nicola Massari|Daniele Perenzoni|Leonardo Gasparini|David Stoppa,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2482497,,,,,https://dblp.org/db/journals/jssc/jssc51.html#PerenzoniMPGS16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#PerenzoniMPGS16,bib_index,secondary,needs_review,medium,JSSC-T07,vision sensor and imaging pipeline,image_sensor|lidar|tof|event_camera,JSSC-C07,"Computational imaging, LiDAR, event, and vision sensor frontends",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/PerenzoniMPGS16; pages=155-167; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2482497
JSSC-2016-P0006,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A Pen-Pressure-Sensitive Capacitive Touch System Using Electrically Coupled Resonance Pen,Changbyung Park|Sungsoo Park|Kiduk Kim|Sang-Hui Park|Juwan Park|Byunghoon Kang|Yunhee Huh|Gyu-Hyeong Cho,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2453943,,,,,https://dblp.org/db/journals/jssc/jssc51.html#ParkPKPPKHC16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#ParkPKPPKHC16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/ParkPKPPKHC16; pages=168-176; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2453943
JSSC-2016-P0007,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 3-Axis Gyroscope for Electronic Stability Control With Continuous Self-Test,Ganesh K. Balachandran|Vladimir P. Petkov|Thomas Mayer|Thorsten Balslink,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2496360,,,,,https://dblp.org/db/journals/jssc/jssc51.html#BalachandranPMB16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#BalachandranPMB16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/BalachandranPMB16; pages=177-186; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2496360
JSSC-2016-P0008,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,Enabling Wide Autonomous DVFS in a 22 nm Graphics Execution Core Using a Digitally Controlled Fully Integrated Voltage Regulator,Stephen T. Kim|Yi-Chun Shih|Kaushik Mazumdar|Rinkle Jain|Joseph F. Ryan 0002|Carlos Tokunaga|Charles Augustine|Jaydeep P. Kulkarni|Krishnan Ravichandran|James W. Tschanz|Muhammad M. Khellah|Vivek De,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2457920,,,,,https://dblp.org/db/journals/jssc/jssc51.html#KimSMJ0TAKRTKD16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#KimSMJ0TAKRTKD16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,regulator,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/KimSMJ0TAKRTKD16; pages=18-30; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2457920
JSSC-2016-P0009,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 30 ppm < 80 nJ Ring-Down-Based Readout Circuit for Resonant Sensors,Hui Jiang 0007|Zu-yao Chang|Michiel A. P. Pertijs,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2470552,,,,,https://dblp.org/db/journals/jssc/jssc51.html#JiangCP16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#JiangCP16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/JiangCP16; pages=187-195; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2470552
JSSC-2016-P0010,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A Low Power 64 Gb MLC NAND-Flash Memory in 15 nm CMOS Technology,Mario Sako|Yoshihisa Watanabe|Takao Nakajima|Jumpei Sato|Kazuyoshi Muraoka|Masaki Fujiu|Fumihiro Kono|Michio Nakagawa|Masami Masuda|Koji Kato|Yuri Terada|Yuki Shimizu|Mitsuaki Honma|Akihiro Imamoto|Tomoko Araya|Hayato Konno|Takuya Okanaga|Tomofumi Fujimura|Xiaoqing Wang|Mai Muramoto|Masahiro Kamoshida|Masatoshi Kohno|Yoshinao Suzuki|Tomoharu Hashiguchi|Tsukasa Kobayashi|Masashi Yamaoka|Ryuji Yamashita,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2458972,,,,,https://dblp.org/db/journals/jssc/jssc51.html#SakoWNSMFKNMKTS16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#SakoWNSMFKNMKTS16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,converter/memory/power_IP_background,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/SakoWNSMFKNMKTS16; pages=196-203; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2458972
JSSC-2016-P0011,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 128 Gb 3b/cell V-NAND Flash Memory With 1 Gb/s I/O Rate,Woopyo Jeong|Jae-Woo Im|Doo-Hyun Kim|Sangwan Nam|Dong-Kyo Shim|Myung-Hoon Choi|Hyun-Jun Yoon|Dae-Han Kim|Youse Kim|Hyun Wook Park|Dong-Hun Kwak|Sang-Won Park|Seok-Min Yoon|Wook-Ghee Hahn|Jinho Ryu|Sang-Won Shim|Kyung-Tae Kang|Jeong-Don Ihm|In-Mo Kim|Doosub Lee|Ji-Ho Cho|Moosung Kim|Jae-hoon Jang|Sang-Won Hwang|Dae-Seok Byeon|Hyang-Ja Yang|Ki-Tae Park|Kyehyun Kyung|Jeong-Hyuk Choi,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2474117,,,,,https://dblp.org/db/journals/jssc/jssc51.html#JeongIKNSCYKKPK16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#JeongIKNSCYKKPK16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,converter/memory/power_IP_background,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/JeongIKNSCYKKPK16; pages=204-212; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2474117
