award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
MICRO-2016-A34,MICRO,MICRO,2016,complete,MICRO Best Paper Award,best_paper,Winner,Graphicionado: A High-Performance and Energy-Efficient Accelerator for Graph Analytics,Tae Jun Ham|Lisa Wu|Narayanan Sundaram|Nadathur Satish|Margaret Martonosi,MICRO-2016-P0056,,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,https://dblp.org/search?q=Graphicionado%3A%20A%20High-Performance%20and%20Energy-Efficient%20Accelerator%20for%20Graph%20Analytics,MICRO 2016 official program award flag,https://www.microarch.org/micro49/program.php,official_page,primary,verified,high,none,,T06/T08,gpu_simt_heterogeneous_architecture,accelerator,milestone,maybe,Official MICRO-49 award section lists this title under Best Paper Award; long-term impact still requires separate citation/adoption audit.,,"GPU, SIMD/SIMT, and heterogeneous throughput architecture. 2016 best-paper candidate session verified; winner outcome not found in official page. Second-wave rank fix from MICRO-49 official program on 2026-06-27."
MICRO-2016-A38,MICRO,MICRO,2016,complete,MICRO Best Paper Award,best_paper,Winner,Spectral Profiling: Observer-Effect-Free Profiling by Monitoring EM Emanations,Nader Sehatbakhsh|Alireza Nazari|Alenka Zajic|Milos Prvulovic,MICRO-2016-P0059,,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,https://dblp.org/search?q=Spectral%20Profiling%3A%20Observer-Effect-Free%20Profiling%20by%20Monitoring%20EM%20Emanations,MICRO 2016 official program award flag,https://www.microarch.org/micro49/program.php,official_page,primary,verified,high,none,,T11,other_needs_review,microarchitecture|needs_review,milestone,yes,Official MICRO award/session signal; long-term impact beyond award status requires separate citation/adoption audit.,,Official MICRO-49 award section lists Spectral Profiling under Best Paper Award.
MICRO-2016-A39,MICRO,MICRO,2016,complete,MICRO Best Paper Award,best_paper_candidate,Candidate,Improving Bank-Level Parallelism for Irregular Applications,Xulong Tang|Mahmut Kandemir|Praveen Yedlapalli|Jagadish Kotra,MICRO-2016-P0057,,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,https://dblp.org/search?q=Improving%20Bank-Level%20Parallelism%20for%20Irregular%20Applications,MICRO 2016 official program award flag,https://www.microarch.org/micro49/program.php,official_page,primary,verified,high,none,,T11,other_needs_review,microarchitecture|needs_review,milestone,yes,Official MICRO award/session signal; long-term impact beyond award status requires separate citation/adoption audit.,,Official MICRO-49 Best Paper Candidates session row.
MICRO-2016-A40,MICRO,MICRO,2016,complete,MICRO Best Paper Award,best_paper_candidate,Candidate,Delegated Persist Ordering,Aasheesh Kolli|Jeff Rosen|Stephan Diestelhorst|Ali Saidi|Steven Pelley|Sihang Liu|Peter M. Chen|Thomas F. Wenisch,MICRO-2016-P0058,,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,https://dblp.org/search?q=Delegated%20Persist%20Ordering,MICRO 2016 official program award flag,https://www.microarch.org/micro49/program.php,official_page,primary,verified,high,none,,T11,other_needs_review,microarchitecture|needs_review,milestone,yes,Official MICRO award/session signal; long-term impact beyond award status requires separate citation/adoption audit.,,Official MICRO-49 Best Paper Candidates session row.
MICRO-2016-A41,MICRO,MICRO,2016,complete,MICRO Best Paper Award,best_paper_candidate,Candidate,Path Confidence based Lookahead Prefetching,Jinchun Kim|Paul V. Gratz|A. L. Narasimha Reddy|Chris Wilkerson|Zeshan Chishti,MICRO-2016-P0060,,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,https://dblp.org/search?q=Path%20Confidence%20based%20Lookahead%20Prefetching,MICRO 2016 official program award flag,https://www.microarch.org/micro49/program.php,official_page,primary,verified,high,none,,T10/T06,memory_centric_pim_near_memory,prefetching,milestone,yes,Official MICRO award/session signal; long-term impact beyond award status requires separate citation/adoption audit.,,Official MICRO-49 Best Paper Candidates session row.
MICRO-2016-A42,MICRO,MICRO,2016,complete,MICRO Best Paper Award,best_paper_candidate,Candidate,Continuous Runahead: Transparent Hardware Acceleration for Memory Intensive Workloads,Milad Hashemi|Onur Mutlu|Yale N. Patt,MICRO-2016-P0061,,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,https://dblp.org/search?q=Continuous%20Runahead%3A%20Transparent%20Hardware%20Acceleration%20for%20Memory%20Intensive%20Workloads,MICRO 2016 official program award flag,https://www.microarch.org/micro49/program.php,official_page,primary,verified,high,none,,T10/T06,memory_centric_pim_near_memory,memory,milestone,yes,Official MICRO award/session signal; long-term impact beyond award status requires separate citation/adoption audit.,,Official MICRO-49 Best Paper Candidates session row.
MICRO-2016-TOT01,MICRO,MICRO,2016,complete,MICRO Test of Time Award,test_of_time,Winner,Iterative Modulo Scheduling: An Algorithm for Software Pipelining Loops,B. Ramakrishna Rau,,,https://www.sigmicro.org/awards/tot/,,,,SIGMICRO Test of Time Award page,https://www.sigmicro.org/awards/tot/,official_page,primary,verified,high,none,,T11,historical_microarchitecture_impact,test_of_time|historical_microarchitecture,historical_anchor,yes,Official SIGMICRO Test of Time winner; original conference row is MICRO 1994. Citation/adoption details not independently audited in this venue pass.,paper_id,Added in second wave from SIGMICRO canonical ToT page; not aligned to 2016-2025 accepted-paper corpus.
MICRO-2017-TOT01,MICRO,MICRO,2017,complete,MICRO Test of Time Award,test_of_time,Winner,Exceeding the Dataflow Limit Via Value Prediction,Mikko H. Lipasti|John Paul Shen,,,https://www.sigmicro.org/awards/tot/,,,,SIGMICRO Test of Time Award page,https://www.sigmicro.org/awards/tot/,official_page,primary,verified,high,none,,T11,historical_microarchitecture_impact,test_of_time|historical_microarchitecture,historical_anchor,yes,Official SIGMICRO Test of Time winner; original conference row is MICRO 1996. Citation/adoption details not independently audited in this venue pass.,paper_id,Added in second wave from SIGMICRO canonical ToT page; not aligned to 2016-2025 accepted-paper corpus.
MICRO-2018-A35,MICRO,MICRO,2018,complete,MICRO Best Paper Award,honorable_mention,Candidate,PipeProof: Automated Memory Consistency Proofs for Microarchitectural Specifications,Yatin A. Manerkar|Daniel Lustig|Margaret Martonosi|Aarti Gupta,MICRO-2018-P0060,,https://www.microarch.org/micro51/Program/main/index.html,https://www.microarch.org/micro51/Program/main/index.html,,https://dblp.org/search?q=PipeProof%3A%20Automated%20Memory%20Consistency%20Proofs%20for%20Microarchitectural%20Specifications,MICRO 2018 official program award flag,https://www.microarch.org/micro51/Program/main/index.html,official_page,primary,needs_review,medium,none,,T10/T06,memory_centric_pim_near_memory,near_memory|memory,milestone,maybe,Official MICRO award/candidate flag; long-term impact beyond award status requires separate citation/artifact audit.,,"Processing-in-memory, near-memory, and memory wall. 2018 best-paper candidate session verified; winner outcome not found in official page."
MICRO-2018-A36,MICRO,MICRO,2018,complete,MICRO Best Paper Award,honorable_mention,Candidate,CEASER: Mitigating Conflict-Based Cache Attacks via Encrypted-Address and Remapping,Moinuddin Qureshi,MICRO-2018-P0059,,https://www.microarch.org/micro51/Program/main/index.html,https://www.microarch.org/micro51/Program/main/index.html,,https://dblp.org/search?q=CEASER%3A%20Mitigating%20Conflict-Based%20Cache%20Attacks%20via%20Encrypted-Address%20and%20Remapping,MICRO 2018 official program award flag,https://www.microarch.org/micro51/Program/main/index.html,official_page,primary,needs_review,medium,none,,T10/T06,memory_centric_pim_near_memory,near_memory|memory|cache,milestone,maybe,Official MICRO award/candidate flag; long-term impact beyond award status requires separate citation/artifact audit.,,"Processing-in-memory, near-memory, and memory wall. 2018 best-paper candidate session verified; winner outcome not found in official page."
MICRO-2018-A37,MICRO,MICRO,2018,complete,MICRO Best Paper Award,honorable_mention,Candidate,Application-Transparent Near-Memory Processing Architecture with Memory Channel Network,Mohammad Alian|Seung Won Min|Hadi Asgharimoghaddam|Ashutosh Dhar|Dong Kai Wang|Thomas Roewer|Adam McPadden|Oliver OHalloran|Deming Chen|Jinjun Xiong|Daehoon Kim|Wen-mei Hwu|Nam Sung Kim,MICRO-2018-P0061,,https://www.microarch.org/micro51/Program/main/index.html,https://www.microarch.org/micro51/Program/main/index.html,,https://dblp.org/search?q=Application-Transparent%20Near-Memory%20Processing%20Architecture%20with%20Memory%20Channel%20Network,MICRO 2018 official program award flag,https://www.microarch.org/micro51/Program/main/index.html,official_page,primary,needs_review,medium,none,,T10/T06,memory_centric_pim_near_memory,near_memory|near-memory|memory,milestone,maybe,Official MICRO award/candidate flag; long-term impact beyond award status requires separate citation/artifact audit.,,"Processing-in-memory, near-memory, and memory wall. 2018 best-paper candidate session verified; winner outcome not found in official page."
