paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
MICRO-2016-P0001,MICRO,MICRO,2016,complete,Dictionary Sharing: An Efficient Cache Compression Scheme for Compressed Caches,Biswabandan Panda|André Seznec,Main Program,Session 1a: Microarchitecture,accepted_paper,,,,,,https://dblp.org/search?q=Dictionary%20Sharing%3A%20An%20Efficient%20Cache%20Compression%20Scheme%20for%20Compressed%20Caches,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T10/T06,memory_centric_pim_near_memory,cache,MICRO-C02,"Processing-in-memory, near-memory, and memory wall",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0002,MICRO,MICRO,2016,complete,Perceptron Learning for Reuse Prediction,Elvira Teran|Zhe Wang|Daniel A. Jiménez,Main Program,Session 1a: Microarchitecture,accepted_paper,,,,,,https://dblp.org/search?q=Perceptron%20Learning%20for%20Reuse%20Prediction,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T11/T06,core_microarchitecture_prediction_speculation,prediction|microarchitecture,MICRO-C05,"Branch, prediction, speculation, and core microarchitecture",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0003,MICRO,MICRO,2016,complete,pTask: A Smart Prefetching Scheme for OS Intensive Applications,Prathmesh Kallurkar|Smruti R. Sarangi,Main Program,Session 1a: Microarchitecture,accepted_paper,,,,,,https://dblp.org/search?q=pTask%3A%20A%20Smart%20Prefetching%20Scheme%20for%20OS%20Intensive%20Applications,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T10/T06,memory_centric_pim_near_memory,prefetching,MICRO-C02,"Processing-in-memory, near-memory, and memory wall",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0004,MICRO,MICRO,2016,complete,Register Sharing for Equality Prediction,Arthur Perais|Fernando A. Endo|André Seznec,Main Program,Session 1a: Microarchitecture,accepted_paper,,,,,,https://dblp.org/search?q=Register%20Sharing%20for%20Equality%20Prediction,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T11/T06,core_microarchitecture_prediction_speculation,prediction|microarchitecture,MICRO-C05,"Branch, prediction, speculation, and core microarchitecture",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0005,MICRO,MICRO,2016,complete,Data-Centric Execution of Speculative Parallel Programs,Mark C. Jeffrey|Suvinay Subramanian|Maleen Abeydeera|Joel Emer|Daniel Sanchez,Main Program,Session 1a: Microarchitecture,accepted_paper,,,,,,https://dblp.org/search?q=Data-Centric%20Execution%20of%20Speculative%20Parallel%20Programs,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T11/T12,microarchitecture_security_side_channels,speculative,MICRO-C04,"Security, side channels, speculation, and isolation",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0006,MICRO,MICRO,2016,complete,SABRes: Atomic Object Reads for In-Memory Rack-Scale Computing,Alexandros Daglis|Stanko Novaković|Edouard Bugnion|Babak Falsafi|Boris Grot,Main Program,Session 1b: Cloud & Storage,accepted_paper,,,,,,https://dblp.org/search?q=SABRes%3A%20Atomic%20Object%20Reads%20for%20In-Memory%20Rack-Scale%20Computing,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T10/T06,memory_centric_pim_near_memory,in-memory|memory,MICRO-C02,"Processing-in-memory, near-memory, and memory wall",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0007,MICRO,MICRO,2016,complete,A Cloud-Scale Acceleration Architecture,Adrian M. Caulfield|Eric S. Chung|Andrew Putnam|Hari Angepat|Jeremy Fowers|Michael Haselman|Stephen Heil|Matt Humphrey|Puneet Kaur|Joo-Young Kim|Daniel Lo|Todd Massengill|Kalin Ovtcharov|Michael Papamichael|Lisa Woods|Sitaram Lanka|Derek Chiou|Doug Burger,Main Program,Session 1b: Cloud & Storage,accepted_paper,,,,,,https://dblp.org/search?q=A%20Cloud-Scale%20Acceleration%20Architecture,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T08/T10,datacenter_cloud_storage_systems,cloud|storage,MICRO-C06,"Datacenter, cloud, storage, and systems architecture",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0008,MICRO,MICRO,2016,complete,Towards Efficient Server Architecture for Virtualized Network Function Deployment: Implications and Implementations,Yang Hu|Tao Li,Main Program,Session 1b: Cloud & Storage,accepted_paper,,,,,,https://dblp.org/search?q=Towards%20Efficient%20Server%20Architecture%20for%20Virtualized%20Network%20Function%20Deployment%3A%20Implications%20and%20Implementations,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T08/T10,datacenter_cloud_storage_systems,cloud|server|storage,MICRO-C06,"Datacenter, cloud, storage, and systems architecture",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0009,MICRO,MICRO,2016,complete,Bridging the I/O Performance Gap for Big Data Workloads: A New NVDIMM-based Approach,Renhai Chen|Zili Shao|Tao Li,Main Program,Session 1b: Cloud & Storage,accepted_paper,,,,,,https://dblp.org/search?q=Bridging%20the%20I/O%20Performance%20Gap%20for%20Big%20Data%20Workloads%3A%20A%20New%20NVDIMM-based%20Approach,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T08/T10,datacenter_cloud_storage_systems,cloud|storage,MICRO-C06,"Datacenter, cloud, storage, and systems architecture",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
MICRO-2016-P0010,MICRO,MICRO,2016,complete,NeSC: Self-Virtualizing Nested Storage Controller,Yonatan Gottesman|Yoav Etsion,Main Program,Session 1b: Cloud & Storage,accepted_paper,,,,,,https://dblp.org/search?q=NeSC%3A%20Self-Virtualizing%20Nested%20Storage%20Controller,https://www.microarch.org/micro49/program.php,https://www.microarch.org/micro49/program.php,,MICRO 2016 official main program,https://www.microarch.org/micro49/program.php,official_page,primary,verified,medium,T08/T10,datacenter_cloud_storage_systems,cloud|storage,MICRO-C06,"Datacenter, cloud, storage, and systems architecture",provisional,title/session keyword-based provisional cluster.,,,,,none,,,maybe,doi,Legacy table parser; author/session fields may need manual review.
