award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
MLSys-2021-A01,MLSys,MLSys,2021,complete,Outstanding Paper Award,distinguished_paper,Winner,A Deep Learning Based Cost Model for Automatic Code Optimization,Riyadh Baghdadi|Massinissa Merouani|Mohamed-Hicham LEGHETTAS|Kamel Abdous|Taha Arbaoui|Karima BENATCHBA|Saman amarasinghe,MLSys-2021-P0001,,https://mlsys.org/virtual/2021/oral/1615,https://proceedings.mlsys.org/paper_files/paper/2021/hash/d9387b6d643efb25132be36f7b908d96-Abstract.html,,,MLSys 2021 official awards_detail page,https://mlsys.org/virtual/2021/oral/1615,official_page,primary,verified,high,none,,T07/T08/T12,compiler_graph_autotuning_codesign,compiler|autotuning|kernel|hardware_software_codesign,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title
MLSys-2021-A02,MLSys,MLSys,2021,complete,Outstanding Paper Award,distinguished_paper,Winner,Cortex: A Compiler for Recursive Deep Learning Models,Pratik Fegade|Tianqi Chen|Phillip Gibbons|Todd Mowry,MLSys-2021-P0015,,https://mlsys.org/virtual/2021/oral/1590,https://proceedings.mlsys.org/paper_files/paper/2021/hash/eca986d585a03890a412587a2f5ccb43-Abstract.html,,,MLSys 2021 official awards_detail page,https://mlsys.org/virtual/2021/oral/1590,official_page,primary,verified,high,official_page_typo_likely,BestPapers page repeats first-author string; use proceedings/virtual for bibliographic authors.,T07/T08/T12,compiler_graph_autotuning_codesign,compiler|autotuning|kernel|hardware_software_codesign,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title; second-wave award-source note: BestPapers page repeats first-author string; use proceedings/virtual for bibliographic authors.
MLSys-2021-A03,MLSys,MLSys,2021,complete,Outstanding Paper Award,distinguished_paper,Winner,Data Movement Is All You Need: A Case Study on Optimizing Transformers,Andrei Ivanov|Nikoli Dryden|Tal Ben-Nun|Shigang Li|Torsten Hoefler,MLSys-2021-P0016,,https://mlsys.org/virtual/2021/poster/1525,https://proceedings.mlsys.org/paper_files/paper/2021/hash/bc86e95606a6392f51f95a8de106728d-Abstract.html,,,MLSys 2021 official awards_detail page,https://mlsys.org/virtual/2021/poster/1525,official_page,primary,verified,high,none,,T01/T02/T08,llm_inference_kv_attention_serving,llm|transformer|attention|serving|quantization,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title
MLSys-2021-A04,MLSys,MLSys,2021,complete,Outstanding Paper Award,distinguished_paper,Winner,In-network Aggregation for Shared Machine Learning Clusters,Nadeen Gebara|Manya Ghobadi|Paolo Costa,MLSys-2021-P0025,,https://mlsys.org/virtual/2021/poster/1549,https://proceedings.mlsys.org/paper_files/paper/2021/hash/5c6614ea3b58bfdc092981678c2c2a88-Abstract.html,,,MLSys 2021 official awards_detail page,https://mlsys.org/virtual/2021/poster/1549,official_page,primary,verified,high,none,,T08/T10/T11,distributed_training_orchestration,distributed_training|communication|scheduling,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title
MLSys-2021-A05,MLSys,MLSys,2021,complete,Outstanding Paper Award,distinguished_paper,Winner,TT-Rec: Tensor Train Compression for Deep Learning Recommendation Models,Chunxing Yin|Bilge Acun|Carole-Jean Wu|Xing Liu,MLSys-2021-P0048,,https://mlsys.org/virtual/2021/poster/1550,https://proceedings.mlsys.org/paper_files/paper/2021/hash/1c4534ff58dab447545594c4863239b3-Abstract.html,,,MLSys 2021 official awards_detail page,https://mlsys.org/virtual/2021/poster/1550,official_page,primary,verified,high,none,,T02/T05/T09,recommendation_sparse_moe_graph,sparse|moe|recommendation|graph|embedding,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title
MLSys-2022-A06,MLSys,MLSys,2022,complete,Outstanding Paper Award,distinguished_paper,Winner,GPU Semiring Primitives for Sparse Neighborhood Methods,Corey J. Nolet|Divye Gala|Edward Raff|Joe Eaton|Brad Rees|John Zedlewski|Tim Oates,MLSys-2022-P0014,,https://mlsys.org/virtual/2022/oral/2140,https://proceedings.mlsys.org/paper_files/paper/2022/hash/acd593d2db87a799a8d3da5a860c028e-Abstract.html,,,MLSys 2022 official awards_detail page,https://mlsys.org/virtual/2022/oral/2140,official_page,primary,verified,high,author_conflict,Official awards page omits John Zedlewski; proceedings includes him.,T02/T05/T09,recommendation_sparse_moe_graph,sparse|moe|recommendation|graph|embedding,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title; second-wave award-source note: Official awards page omits John Zedlewski; proceedings includes him.
MLSys-2022-A07,MLSys,MLSys,2022,complete,Outstanding Paper Award,distinguished_paper,Winner,ML-EXray: Visibility into ML Deployment on the Edge,Hang Qiu|Ioanna Vavelidou|Jian Li|Evgenya Pergament|Pete Warden|Sandeep Chinchali|Zain Asgar|Sachin Katti,MLSys-2022-P0023,,https://mlsys.org/virtual/2022/oral/2155,https://proceedings.mlsys.org/paper_files/paper/2022/hash/c04f25be56ab86371563568dce31808f-Abstract.html,,,MLSys 2022 official awards_detail page,https://mlsys.org/virtual/2022/oral/2155,official_page,primary,verified,high,none,,T04/T07,edge_tinyml_on_device_runtime,edge|tinyml|on_device|runtime,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title
MLSys-2022-A08,MLSys,MLSys,2022,complete,Outstanding Paper Award,distinguished_paper,Winner,Pathways: Asynchronous Distributed Dataflow for ML,Paul Barham|Aakanksha Chowdhery|Jeff Dean|Sanjay Ghemawat|Steven Hand|Daniel Hurt|Michael Isard|Hyeontaek Lim|Ruoming Pang|Sudip Roy|Brennan Saeta|Parker Schuh|Ryan Sepassi|Laurent Shafey|Chandu Thekkath|Yonghui Wu,MLSys-2022-P0029,,https://mlsys.org/virtual/2022/oral/2146,https://proceedings.mlsys.org/paper_files/paper/2022/hash/37385144cac01dff38247ab11c119e3c-Abstract.html,,,MLSys 2022 official awards_detail page,https://mlsys.org/virtual/2022/oral/2146,official_page,primary,verified,high,author_order_conflict,Award page and proceedings author order differ; use proceedings order for bibliographic row.,T08/T10/T11,distributed_training_orchestration,distributed_training|communication|scheduling,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title; second-wave award-source note: Award page and proceedings author order differ; use proceedings order for bibliographic row.
MLSys-2022-A09,MLSys,MLSys,2022,complete,Outstanding Paper Award,distinguished_paper,Winner,QuadraLib: A Performant Quadratic Neural Network Library for Architecture Optimization and Design Exploration,Zirui Xu|Fuxun Yu|Jinjun Xiong|Xiang Chen,MLSys-2022-P0031,,https://mlsys.org/virtual/2022/oral/2174,https://proceedings.mlsys.org/paper_files/paper/2022/hash/6270a15843a2e06a95d3e3ad8b489e4b-Abstract.html,,,MLSys 2022 official awards_detail page,https://mlsys.org/virtual/2022/oral/2174,official_page,primary,verified,high,author_conflict,Awards page duplicates Zirui Xu and Jinjun Xiong; proceedings has clean four-author list.,T01/T02/T08,llm_inference_kv_attention_serving,llm|transformer|attention|serving|quantization,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title; second-wave award-source note: Awards page duplicates Zirui Xu and Jinjun Xiong; proceedings has clean four-author list.
MLSys-2022-A10,MLSys,MLSys,2022,complete,Outstanding Paper Award,distinguished_paper,Winner,Random Offset Block Embedding (ROBE) for compressed embedding tables in deep learning recommendation systems,Aditya Desai|Li Chou|Anshumali Shrivastava,MLSys-2022-P0033,,https://mlsys.org/virtual/2022/oral/2133,https://proceedings.mlsys.org/paper_files/paper/2022/hash/1eb34d662b67a14e3511d0dfd78669be-Abstract.html,,,MLSys 2022 official awards_detail page,https://mlsys.org/virtual/2022/oral/2133,official_page,primary,verified,high,none,,T02/T05/T09,recommendation_sparse_moe_graph,sparse|moe|recommendation|graph|embedding,milestone,yes,Venue award signal only; long-term impact remains impact_unverified unless separately cited.,doi,authors matched from proceedings title
