paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
MLSys-2019-P0001,MLSys,MLSys,2019,complete,3LC: Lightweight and Effective Traffic Compression for Distributed Machine Learning,Hyeontaek Lim|David G Andersen|Michael Kaminsky,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=3LC%3A%20Lightweight%20and%20Effective%20Traffic%20Compression%20for%20Distributed%20Machine%20Learning,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/03004620ea802b9118dd44d69f07af56-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/03004620ea802b9118dd44d69f07af56-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/03004620ea802b9118dd44d69f07af56-Abstract.html,proceedings,primary,verified,high,T08/T10/T11,distributed_training_orchestration,distributed_training|communication|scheduling,MLSYS-C02,"Distributed training, communication, and accelerator orchestration",provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0002,MLSys,MLSys,2019,complete,Accurate and Efficient 2-bit Quantized Neural Networks,Jungwook Choi|Swagath Venkataramani|Vijayalakshmi (Viji) Srinivasan|Kailash Gopalakrishnan|Zhuo Wang|Pierce Chuang,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=Accurate%20and%20Efficient%202-bit%20Quantized%20Neural%20Networks,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/c443e9d9fc984cda1c5cc447fe2c724d-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/c443e9d9fc984cda1c5cc447fe2c724d-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/c443e9d9fc984cda1c5cc447fe2c724d-Abstract.html,proceedings,primary,verified,high,T11,general_mlsys_needs_review,ml_systems|needs_review,MLSYS-C09,General MLSys systems and needs-review rows,provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0003,MLSys,MLSys,2019,complete,Adaptive Communication Strategies to Achieve the Best Error-Runtime Trade-off in Local-Update SGD,Jianyu Wang|Gauri Joshi,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=Adaptive%20Communication%20Strategies%20to%20Achieve%20the%20Best%20Error-Runtime%20Trade-off%20in%20Local-Update%20SGD,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/4a0151b47bd93c5de2a0b57831981a0d-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/4a0151b47bd93c5de2a0b57831981a0d-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/4a0151b47bd93c5de2a0b57831981a0d-Abstract.html,proceedings,primary,verified,high,T08/T10/T11,distributed_training_orchestration,distributed_training|communication|scheduling,MLSYS-C02,"Distributed training, communication, and accelerator orchestration",provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0004,MLSys,MLSys,2019,complete,AdaScale: Towards Real-time Video Object Detection using Adaptive Scaling,Ting-Wu Chin|Ruizhou Ding|Diana Marculescu,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=AdaScale%3A%20Towards%20Real-time%20Video%20Object%20Detection%20using%20Adaptive%20Scaling,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/b3ac5aacb06c91fda1af776a677100ab-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/b3ac5aacb06c91fda1af776a677100ab-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/b3ac5aacb06c91fda1af776a677100ab-Abstract.html,proceedings,primary,verified,high,T03/T04,neural_rendering_3d_vision,3d|vision|rendering|video,MLSYS-C08,"3DGS, neural rendering, XR, video, and vision systems",provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0005,MLSys,MLSys,2019,complete,AG: Imperative-style Coding with Graph-based Performance,Dan Moldovan|James Decker|Fei Wang|Andrew Johnson|Brian Lee|Zachary Nado|D Sculley|Tiark Rompf|Alexander B Wiltschko,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=AG%3A%20Imperative-style%20Coding%20with%20Graph-based%20Performance,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/e31cef6b735cf838db79202dbee7b093-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/e31cef6b735cf838db79202dbee7b093-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/e31cef6b735cf838db79202dbee7b093-Abstract.html,proceedings,primary,verified,high,T11,general_mlsys_needs_review,ml_systems|needs_review,MLSYS-C09,General MLSys systems and needs-review rows,provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0006,MLSys,MLSys,2019,complete,AGGREGATHOR: Byzantine Machine Learning via Robust Gradient Aggregation,Georgios Damaskinos|El-Mahdi El-Mhamdi|Rachid Guerraoui|Arsany Guirguis|Sébastien Rouault,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=AGGREGATHOR%3A%20Byzantine%20Machine%20Learning%20via%20Robust%20Gradient%20Aggregation,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/2f9b1b6b29361118f630783c19891ea0-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/2f9b1b6b29361118f630783c19891ea0-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/2f9b1b6b29361118f630783c19891ea0-Abstract.html,proceedings,primary,verified,high,T11,general_mlsys_needs_review,ml_systems|needs_review,MLSYS-C09,General MLSys systems and needs-review rows,provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0007,MLSys,MLSys,2019,complete,Bandana: Using Non-Volatile Memory for Storing Deep Learning Models,Assaf Eisenman|Maxim Naumov|Darryl Gardner|Misha Smelyanskiy|Sergey Pupyrev|Kim Hazelwood|Asaf Cidon|Sachin Katti,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=Bandana%3A%20Using%20Non-Volatile%20Memory%20for%20Storing%20Deep%20Learning%20Models,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/d59a1dc497cf2773637256f50f492723-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/d59a1dc497cf2773637256f50f492723-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/d59a1dc497cf2773637256f50f492723-Abstract.html,proceedings,primary,verified,high,T11,general_mlsys_needs_review,ml_systems|needs_review,MLSYS-C09,General MLSys systems and needs-review rows,provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0008,MLSys,MLSys,2019,complete,Beyond Data and Model Parallelism for Deep Neural Networks.,Zhihao Jia|Matei Zaharia|Alex Aiken,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=Beyond%20Data%20and%20Model%20Parallelism%20for%20Deep%20Neural%20Networks.,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/b422680f3db0986ddd7f8f126baaf0fa-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/b422680f3db0986ddd7f8f126baaf0fa-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/b422680f3db0986ddd7f8f126baaf0fa-Abstract.html,proceedings,primary,verified,high,T08/T10/T11,distributed_training_orchestration,distributed_training|communication|scheduling,MLSYS-C02,"Distributed training, communication, and accelerator orchestration",provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0009,MLSys,MLSys,2019,complete,BlueConnect: Decomposing All-Reduce for Deep Learning on Heterogeneous Network Hierarchy,Minsik Cho|Ulrich Finkler|David Kung|Hillery Hunter,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=BlueConnect%3A%20Decomposing%20All-Reduce%20for%20Deep%20Learning%20on%20Heterogeneous%20Network%20Hierarchy,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/0c8abcf158ed12d0dd94480681186fda-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/0c8abcf158ed12d0dd94480681186fda-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/0c8abcf158ed12d0dd94480681186fda-Abstract.html,proceedings,primary,verified,high,T08/T10/T11,distributed_training_orchestration,distributed_training|communication|scheduling,MLSYS-C02,"Distributed training, communication, and accelerator orchestration",provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
MLSys-2019-P0010,MLSys,MLSys,2019,complete,CaTDet: Cascaded Tracked Detector for Efficient Object Detection from Video,Huizi Mao|Taeyoung Kong|bill dally,Conference,,accepted_paper,,,,,,https://dblp.org/search?q=CaTDet%3A%20Cascaded%20Tracked%20Detector%20for%20Efficient%20Object%20Detection%20from%20Video,,https://proceedings.mlsys.org/paper_files/paper/2019/hash/146b291bfc50fb43464b8ef8b1fea5f0-Abstract.html,https://proceedings.mlsys.org/paper_files/paper/2019/file/146b291bfc50fb43464b8ef8b1fea5f0-Paper.pdf,MLSys 2019 Proceedings,https://proceedings.mlsys.org/paper_files/paper/2019/hash/146b291bfc50fb43464b8ef8b1fea5f0-Abstract.html,proceedings,primary,verified,high,T03/T04,neural_rendering_3d_vision,3d|vision|rendering|video,MLSYS-C08,"3DGS, neural rendering, XR, video, and vision systems",provisional,Title-level metadata clustering; 2026 rows are official virtual-page rows until proceedings are posted.,,,,,none,,,maybe,doi|abstract|keywords,official proceedings list; DOI not found on list page
