award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
SC-2016-A01,SC,SC,2016,complete,SC Best Paper Award,best_paper,Winner,Daino: A High-Level Framework for Parallel and Efficient AMR on GPUs,Mohamed Wahib Attia|Naoya Maruyama|Takayuki Aoki,SC-2016-P0019,10.1109/SC.2016.52,https://sc16.supercomputing.org/conference-components/awards/best-paperpostervisualization-awards/index.html,https://dblp.org/db/conf/sc/sc2016.html,,,SC16 Best Paper/Poster/Visualization Awards page,https://sc16.supercomputing.org/conference-components/awards/best-paperpostervisualization-awards/index.html,official_page,primary,verified,high,none,,T02/T05/T06,gpu/tensor/matrix_kernel_optimization,gpu|tensor|matrix|gemm|convolution|fp16|mixed-precision|kernel,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC16 official page reports the Best Paper winner.
SC-2016-A02,SC,SC,2016,complete,SC Best Student Paper Award,best_student_paper,Winner,Flexfly: Enabling a Reconfigurable Dragonfly Through Silicon Photonics,Ke Wen|Payman Samadi|Sebastien Rumley|Christine P. Chen|Yiwen Shen|Meisam Bahadori|Karen Bergman|Jeremiah Wilke,SC-2016-P0039,10.1109/SC.2016.14,https://sc16.supercomputing.org/conference-components/awards/best-paperpostervisualization-awards/index.html,https://dblp.org/db/conf/sc/sc2016.html,,,SC16 Best Paper/Poster/Visualization Awards page,https://sc16.supercomputing.org/conference-components/awards/best-paperpostervisualization-awards/index.html,official_page,primary,verified,high,none,,T06/T10/T12,fpga/near-data/domain-specific_co-design,fpga|near-data|near-memory|pim|accelerator|codesign|co-design|photonic,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC16 official page reports the Best Student Paper winner.
SC-2017-A03,SC,SC,2017,complete,SC Best Paper Award,best_paper,Winner,Extreme Scale Multi-Physics Simulations of the Tsunamigenic 2004 Sumatra Megathrust Earthquake,Carsten Uphoff|Sebastian Rettenberger|Michael Bader|Alice-Agnes Gabriel|Christian Pelties|Andreas Breuer|Werner Wollherr|Thomas Ulrich,SC-2017-P0021,10.1145/3126908.3126948,,https://dblp.org/db/conf/sc/sc2017.html,,https://www.cs.cit.tum.de/sccs/aktuelles/aktuelles/article/best-paper-award-at-sc17/,TUM SCCS SC17 Best Paper announcement,https://www.cs.cit.tum.de/sccs/aktuelles/aktuelles/article/best-paper-award-at-sc17/,official_page,secondary,needs_review,medium,none,,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,Secondary university source; canonical SC17 awardee page was not found in this run.
SC-2018-A04,SC,SC,2018,complete,SC Best Paper Award,best_paper,Winner,Exploiting Idle Resources in a High-Radix Switch for Supplemental Storage,Matthias A. Blumrich|Nan Jiang|Larry R. Dennison,SC-2018-P0033,,https://sc18.supercomputing.org/program/awards/,https://dblp.org/db/conf/sc/sc2018.html,http://dl.acm.org/citation.cfm?id=3291662,,SC18 Awards page,https://sc18.supercomputing.org/program/awards/,official_page,primary,verified,high,none,,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC18 official awards page lists this Best Paper winner.
SC-2018-A05,SC,SC,2018,complete,SC Best Student Paper Award,best_student_paper,Winner,HiCOO: Hierarchical Storage of Sparse Tensors,Jiajia Li|Jimeng Sun|Richard Vuduc,SC-2018-P0043,,https://sc18.supercomputing.org/program/awards/,https://dblp.org/db/conf/sc/sc2018.html,http://dl.acm.org/citation.cfm?id=3291682,,SC18 Awards page,https://sc18.supercomputing.org/program/awards/,official_page,primary,verified,high,none,,T05/T09,"sparse,_graph,_irregular_execution",graph|sparse|gnn|irregular|spmm|spgemm|subgraph,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC18 official awards page lists this Best Student Paper winner.
SC-2019-A06,SC,SC,2019,complete,SC Best Paper Award,best_paper,Winner,A Massively Parallel Infrastructure for Adaptive Multiscale Simulations: Modeling RAS Initiation Pathway for Cancer,Francesco Di Natale|Harsh Bhatia|Timothy S. Carpenter|Chris Neale|Sara Kokkila Schumacher|Tomas Oppelstrup|Liam Stanton|Xiaohua Zhang|Shiv Sundram|Thomas R. W. Scogland|Gautham Dharuman|Michael P. Surh|Yue Yang|Claudia Misale|Lars Schneidenbach|Carlos Costa|Changhoan Kim|Bruce D'Amora|Sandrasegaram Gnanakaran|Dwight V. Nissley|Fred Streitz|Felice C. Lightstone|Peer-Timo Bremer|James N. Glosli|Helgi I. Ingolfsson,SC-2019-P0004,10.1145/3295500.3356197,https://sc19.supercomputing.org/2019/11/25/congratulations-to-the-sc-and-society-awardees-for-sc19-in-denver/index.html,https://dblp.org/db/conf/sc/sc2019.html,,,SC19 awardee blog post,https://sc19.supercomputing.org/2019/11/25/congratulations-to-the-sc-and-society-awardees-for-sc19-in-denver/index.html,official_page,primary,verified,high,none,,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC19 official blog post reports this Best Paper winner.
SC-2019-A07,SC,SC,2019,complete,SC Best Student Paper Award,best_student_paper,Winner,Red-Blue Pebbling Revisited: Near Optimal Parallel Matrix Multiplication,Grzegorz Kwasniewski|Marko Kabic|Maciej Besta|Raffaele Solca|Joost VandeVondele|Torsten Hoefler,SC-2019-P0066,10.1145/3295500.3356181,https://sc19.supercomputing.org/2019/11/25/congratulations-to-the-sc-and-society-awardees-for-sc19-in-denver/index.html,https://doi.org/10.1145/3295500.3356181,https://doi.org/10.1145/3295500.3356181,,SC19 awardee blog post,https://sc19.supercomputing.org/2019/11/25/congratulations-to-the-sc-and-society-awardees-for-sc19-in-denver/index.html,official_page,primary,verified,high,none,,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC19 official blog post reports this Best Student Paper winner. Second-wave aligned award row to SC-2019-P0066; official title variant keeps Matrix Multiplication wording while DBLP/proceedings metadata may use Matrix-Matrix.
SC-2020-A08,SC,SC,2020,complete,SC Best Paper Award,best_paper,Winner,Petascale XCT: 3D Image Reconstruction with Hierarchical Communications on Multi-GPU Nodes,Mert Hidayetoglu|Tekin Bicer|Simon Garcia de Gonzalo|Bin Ren|Vincent De Andrade|Doga Gursoy|Rajkumar Kettimuthu|Ian T. Foster|Wen-mei W. Hwu,SC-2020-P0067,10.1109/SC41405.2020.00041,https://sc20.supercomputing.org/2020/12/02/congratulations-to-the-sc-acm-and-ieee-cs-awardees-for-sc20/index.html,https://dblp.org/db/conf/sc/sc2020.html,,,SC20 awardee blog post,https://sc20.supercomputing.org/2020/12/02/congratulations-to-the-sc-acm-and-ieee-cs-awardees-for-sc20/index.html,official_page,primary,verified,high,none,,T08/T10/T11,interconnect_and_communication_scaling,mpi|collective|network|communication|dragonfly|topology|allreduce|interconnect,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC20 official blog post reports this Best Paper winner.
SC-2020-A09,SC,SC,2020,complete,SC Best Student Paper Award,best_student_paper,Winner,Scalable yet Rigorous Floating-Point Error Analysis,Arnab Das|Ian Briggs|Ganesh Gopalakrishnan|Sriram Krishnamoorthy|Pavel Panchekha,SC-2020-P0082,10.1109/SC41405.2020.00055,https://sc20.supercomputing.org/2020/12/02/congratulations-to-the-sc-acm-and-ieee-cs-awardees-for-sc20/index.html,https://dblp.org/db/conf/sc/sc2020.html,,,SC20 awardee blog post,https://sc20.supercomputing.org/2020/12/02/congratulations-to-the-sc-acm-and-ieee-cs-awardees-for-sc20/index.html,official_page,primary,verified,high,none,,T11/T12,"resilience,_reliability,_power_operations",resilience|reliability|fault|failure|power|thermal|energy|error,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC20 official blog post reports this Best Student Paper winner.
SC-2021-A10,SC,SC,2021,complete,SC Best Paper Award,best_paper,Winner,"Revealing Power, Energy and Thermal Dynamics of a 200PF Pre-Exascale Supercomputer",Woong Shin|Vladyslav Oles|Ahmad Maroof Karimi|J. Austin Ellis|Feiyi Wang,SC-2021-P0092,10.1145/3458817.3476188,https://sc21.supercomputing.org/program/awards/index.html,https://dblp.org/db/conf/sc/sc2021.html,,https://supercomputing.org/app/uploads/2023/11/SC21.pdf,SC21 Awards official page,https://sc21.supercomputing.org/program/awards/index.html,official_page,primary,verified,high,none,,T11/T12,"resilience,_reliability,_power_operations",resilience|reliability|fault|failure|power|thermal|energy|error,milestone,yes,Award status is verified or needs_review as marked; long-term impact is not asserted without citation audit.,,SC21 post-conference PDF reports this award; canonical HTML awardee page was not found in this run. Second-wave replaced secondary report source with SC21 official awards page.
