paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
SC-2016-P0001,SC,SC,2016,complete,10M-core scalable fully-implicit solver for nonhydrostatic atmospheric dynamics,Chao Yang 0002|Wei Xue 0003|Haohuan Fu|Hongtao You|Xinliang Wang|Yulong Ao|Fangfang Liu 0004|Lin Gan 0001|Ping Xu|Lanning Wang|Guangwen Yang 0002|Weimin Zheng,Technical Papers,,accepted_paper,10.1109/SC.2016.5,,,,,https://dblp.org/rec/conf/sc/YangXFYWALGXWYZ16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.5,paper,primary,verified,high,T11,general_hpc_needs_review,hpc|needs_review,SC-C99,General HPC applications and needs-review rows,uncertain,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,Rows that need abstract/PDF inspection before assignment to a sharper technical route.
SC-2016-P0002,SC,SC,2016,complete,A data driven scheduling approach for power management on HPC systems,Sean Wallace|Xu Yang 0009|Venkatram Vishwanath|William E. Allcock|Susan Coghlan|Michael E. Papka|Zhiling Lan,Technical Papers,,accepted_paper,10.1109/SC.2016.55,,,,,https://dblp.org/rec/conf/sc/WallaceYVACPL16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.55,paper,primary,verified,high,T08,runtime_scheduling_and_resource_management,runtime|scheduler|scheduling|serverless|batching|resource|workflow|task,SC-C06,Runtime scheduling and resource management,provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"Runtime systems, schedulers, workflow engines, adaptive batching, and resource management."
SC-2016-P0003,SC,SC,2016,complete,A domain-specific compiler for a parallel multiresolution adaptive numerical simulation environment,Samyam Rajbhandari|Jinsung Kim|Sriram Krishnamoorthy|Louis-Noël Pouchet|Fabrice Rastello|Robert J. Harrison|P. Sadayappan,Technical Papers,,accepted_paper,10.1109/SC.2016.39,,,,,https://dblp.org/rec/conf/sc/RajbhandariKKPR16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.39,paper,primary,verified,high,T08/T10/T11,interconnect_and_communication_scaling,mpi|collective|network|communication|dragonfly|topology|allreduce|interconnect,SC-C04,Interconnect and communication scaling,provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"MPI, collectives, network topology, GPU-to-GPU communication, and communication avoidance."
SC-2016-P0004,SC,SC,2016,complete,A highly effective global surface wave numerical simulation with ultra-high resolution,Fangli Qiao|Wei Zhao|Xunqiang Yin|Xiaomeng Huang|Xin Liu|Qi Shu|Guansuo Wang|Zhenya Song|Xinfang Li|Haixing Liu|Guangwen Yang|Yeli Yuan,Technical Papers,,accepted_paper,10.1109/SC.2016.4,,,,,https://dblp.org/rec/conf/sc/QiaoZYHLSWSLLYY16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.4,paper,primary,verified,high,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,SC-C05,"Storage, I/O, compression, data movement",provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"File systems, storage hierarchy, NVM, compression, checkpoint/restart, and large data movement."
SC-2016-P0005,SC,SC,2016,complete,A machine learning framework for performance coverage analysis of proxy applications,Tanzima Z. Islam|Jayaraman J. Thiagarajan|Abhinav Bhatele|Martin Schulz 0001|Todd Gamblin,Technical Papers,,accepted_paper,10.1109/SC.2016.45,,,,,https://dblp.org/rec/conf/sc/IslamTBSG16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.45,paper,primary,verified,high,T01/T02/T08,llm/dnn_training_and_serving_at_scale,llm|deep-learning|inference|training|gpu-cluster|machine-learning,SC-C01,LLM/DNN training and serving at scale,provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"LLM/DNN/GNN training, inference, serving, model memory, and AI workload scaling on HPC systems."
SC-2016-P0006,SC,SC,2016,complete,A multi-faceted approach to job placement for improved performance on extreme-scale systems,Christopher Zimmer 0001|Saurabh Gupta 0002|Scott Atchley|Sudharshan S. Vazhkudai|Carl Albing,Technical Papers,,accepted_paper,10.1109/SC.2016.86,,,,,https://dblp.org/rec/conf/sc/ZimmerGAVA16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.86,paper,primary,verified,high,T11,general_hpc_needs_review,hpc|needs_review,SC-C99,General HPC applications and needs-review rows,uncertain,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,Rows that need abstract/PDF inspection before assignment to a sharper technical route.
SC-2016-P0007,SC,SC,2016,complete,A parallel algorithm for finding all pairs k-mismatch maximal common substrings,Sriram P. Chockalingam|Sharma V. Thankachan|Srinivas Aluru,Technical Papers,,accepted_paper,10.1109/SC.2016.66,,,,,https://dblp.org/rec/conf/sc/ChockalingamTA16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.66,paper,primary,verified,high,T11,general_hpc_needs_review,hpc|needs_review,SC-C99,General HPC applications and needs-review rows,uncertain,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,Rows that need abstract/PDF inspection before assignment to a sharper technical route.
SC-2016-P0008,SC,SC,2016,complete,A parallel arbitrary-order accurate AMR algorithm for the scalar advection-diffusion equation,Arash Bakhtiari|Dhairya Malhotra|Amir Raoofy|Miriam Mehl|Hans-Joachim Bungartz|George Biros,Technical Papers,,accepted_paper,10.1109/SC.2016.43,,,,,https://dblp.org/rec/conf/sc/BakhtiariMRMBB16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.43,paper,primary,verified,high,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,SC-C05,"Storage, I/O, compression, data movement",provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"File systems, storage hierarchy, NVM, compression, checkpoint/restart, and large data movement."
SC-2016-P0009,SC,SC,2016,complete,A PCIe congestion-aware performance model for densely populated accelerator servers,Maxime Martinasso|Grzegorz Kwasniewski|Sadaf R. Alam|Thomas C. Schulthess|Torsten Hoefler,Technical Papers,,accepted_paper,10.1109/SC.2016.62,,,,,https://dblp.org/rec/conf/sc/MartinassoKASH16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.62,paper,primary,verified,high,T06/T10/T12,fpga/near-data/domain-specific_co-design,fpga|near-data|near-memory|pim|accelerator|codesign|co-design|photonic,SC-C10,FPGA/near-data/domain-specific co-design,provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"FPGA, near-data/near-memory processing, hardware accelerators, and domain-specific co-design."
SC-2016-P0010,SC,SC,2016,complete,Accelerating lattice QCD multigrid on GPUs using fine-grained parallelization,Michael A. Clark|Bálint Joó|Alexei Strelchenko|Michael Cheng|Arjun Singh Gambhir|Richard C. Brower,Technical Papers,,accepted_paper,10.1109/SC.2016.67,,,,,https://dblp.org/rec/conf/sc/ClarkJSCGB16,https://sc16.supercomputing.org/program/papers/,https://dblp.org/db/conf/sc/sc2016.html,,DBLP SC 2016 proceedings metadata,https://doi.org/10.1109/SC.2016.67,paper,primary,verified,high,T10/T11,"storage,_i/o,_compression,_data_movement",storage|file-system|i/o|io|burst-buffer|nvm|checkpoint|compression|data-movement,SC-C05,"Storage, I/O, compression, data movement",provisional,Title-level metadata clustering using clustering-agent topic seed; no batch abstract/PDF enrichment.,,,,,none,,,maybe,abstract|keywords|session,"File systems, storage hierarchy, NVM, compression, checkpoint/restart, and large data movement."
