award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
TCAD-2026-A001,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2026,partial,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,Lithography Hotspot Detection Based on Heterogeneous Federated Learning with Local Adaptation and Feature Selection,Jingyu Pan|Xuezhong Lin|Jinming Xu|Yiran Chen|Cheng Zhuo,TCAD-2024-P0281,10.1109/TCAD.2023.3332841,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad43.html#PanLXCZ24,,https://dblp.org/db/journals/tcad/tcad43.html#PanLXCZ24,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T07/T11/T12,ai_for_eda_llm_cad,ai_for_eda|learning|llm,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2023.
TCAD-2025-A002,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2025,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,SpikeSim: An End-to-End Compute-in-Memory Hardware Evaluation Tool for Benchmarking Spiking Neural Networks,Abhishek Moitra|Abhiroop Bhattacharjee|Runcong Kuang|Gokul Krishnan|Yu Cao|Priyadarshini Panda,TCAD-2023-P0085,10.1109/TCAD.2023.3274918,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad42.html#MoitraBKKCP23,,https://dblp.org/db/journals/tcad/tcad42.html#MoitraBKKCP23,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T10/T05/T11,cim_pim_neuromorphic,cim|pim|emerging_memory|benchmark,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2023.
TCAD-2024-A003,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2024,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,An Open-Source Framework for FPGA Emulation of Analog/Mixed-Signal Integrated Circuit Designs,Steven Herbst|Gabriel Rutsch|Wolfgang Ecker|Mark Horowitz,TCAD-2022-P0386,10.1109/TCAD.2021.3102516,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad41.html#HerbstREH22,,https://dblp.org/db/journals/tcad/tcad41.html#HerbstREH22,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T07/T06,hls_fpga_reconfigurable,fpga|hls|reconfigurable,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2022.
TCAD-2024-A004,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2024,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,PACT: An Extensible Parallel Thermal Simulator for Emerging Integration and Cooling Technologies,Zihao Yuan|Prachi Shukla|Sofiane Chetoui|Sean Nemtzow|Sherief Reda|Ayse Coskun,TCAD-2022-P0278,10.1109/TCAD.2021.3079166,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad41.html#YuanSCNRC22,,https://dblp.org/db/journals/tcad/tcad41.html#YuanSCNRC22,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T12/T10/T11,physical_design_layout_dtco,placement|routing|layout|dtco,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2022.
TCAD-2023-A005,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2023,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,DNN+NeuroSim V2.0: An End-to-End Benchmarking Framework for Compute-in-Memory Accelerators for On-Chip Training,Xiaochen Peng|Shanshi Huang|Hongwu Jiang|Anni Lu|Shimeng Yu,TCAD-2021-P0045,10.1109/TCAD.2020.3043731,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad40.html#PengHJLY21,,https://dblp.org/db/journals/tcad/tcad40.html#PengHJLY21,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T10/T05/T11,cim_pim_neuromorphic,cim|pim|emerging_memory|benchmark,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2021.
TCAD-2022-A006,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2022,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,Compact-2D: A Physical Design Methodology to Build Two-Tier Gate-Level 3-D ICs,Bon Woong Ku|Kyungwook Chang|Sung Kyu Lim,TCAD-2020-P0365,10.1109/TCAD.2019.2952542,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad39.html#KuCL20,,https://dblp.org/db/journals/tcad/tcad39.html#KuCL20,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T10/T11/T12,three_d_chiplet_noc,3d_ic|chiplet|interposer|noc,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2020.
TCAD-2021-A007,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,DREAMPlace: Deep Learning Toolkit-Enabled GPU Acceleration for Modern VLSI Placement,Yibo Lin|Zixuan Jiang|Jiaqi Gu|Wuxi Li|Shounak Dhar|Haoxing Ren|Brucek Khailany|David Z. Pan,TCAD-2021-P0112,10.1109/TCAD.2020.3003843,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad40.html#LinJGLDRKP21,,https://dblp.org/db/journals/tcad/tcad40.html#LinJGLDRKP21,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T02/T07/T06,ai_accelerator_fpga_hls_codesign,accelerator|neural_network,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2021.
TCAD-2021-A008,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,Hardware/Software Co-Exploration of Neural Architectures,Weiwen Jiang|Edwin Hsing-Mean Sha|Qingfeng Zhuge|Shouzhen Gu|Sakyasingha Dasgupta|Yiyu Shi|Jingtong Hu,TCAD-2020-P0254,10.1109/TCAD.2020.2986127,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad39.html#JiangYSZGDSH20,,https://dblp.org/db/journals/tcad/tcad39.html#JiangYSZGDSH20,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,author_metadata_conflict,CEDA award page author list omits Lei Yang; Crossref/DBLP/papers.csv include Lei Yang. Award fact kept from CEDA; paper_id aligned by DOI.,T02/T07/T06,ai_accelerator_fpga_hls_codesign,accelerator|fpga|hls|neural_network,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2020.; second_wave_award_source_check 2026-06-27: CEDA canonical source retained; DOI/IEEE conflict notes updated where applicable
TCAD-2020-A009,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,An Efficient Methodology for Mapping Quantum Circuits to the IBM QX Architectures,Alwin Zulehner|Alexandru Paler|Robert Wille,TCAD-2019-P0148,10.1109/TCAD.2018.2846658,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad38.html#ZulehnerPW19,,https://dblp.org/db/journals/tcad/tcad38.html#ZulehnerPW19,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,none,,T07/T11/T12,quantum_cad_mapping,quantum|mapping|verification,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2019.
TCAD-2019-A010,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2019,complete,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,best_paper,Winner,Caffeine: Towards Uniformed Representation and Acceleration for Deep Convolutional Neural Networks,Chen Zhang|Guangyu Sun|Zhenman Fang|Peipei Zhou|Peichen Pan|Jason Cong,TCAD-2019-P0039,10.1109/TCAD.2017.2785257,https://ieee-ceda.org/awards/donald-o-pederson-award,https://dblp.org/db/journals/tcad/tcad38.html#ZhangSFZPC19,,https://dblp.org/db/journals/tcad/tcad38.html#ZhangSFZPC19,IEEE Transactions on Computer-Aided Design Donald O. Pederson Best Paper Award,https://ieee-ceda.org/awards/donald-o-pederson-award,official_page,primary,verified,high,title_variant_conflict,"CEDA award page uses ""Towards"" while Crossref/DBLP/papers.csv use ""Toward"". Award title kept from CEDA; paper_id aligned by DOI.",T02/T07/T06,ai_accelerator_fpga_hls_codesign,accelerator|neural_network,milestone,yes,Official Pederson award row; long-term impact beyond award status requires citation/artifact/adoption audit.,,Parsed from IEEE CEDA official Donald O. Pederson Award page. Publication year from page: 2019.; second_wave_award_source_check 2026-06-27: CEDA canonical source retained; DOI/IEEE conflict notes updated where applicable
