paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
VLSI-2016-P0001,VLSI,VLSI,2016,complete,"1.74-µW/ch, 95.3%-accurate spike-sorting hardware based on Bayesian decision",Zhewei Jiang|Joao Pedro Cerqueira|Seongjong Kim|Qi Wang|Mingoo Seok,Circuits,,accepted_paper,10.1109/vlsic.2016.7573468,,https://doi.org/10.1109/vlsic.2016.7573468,,,,,https://doi.org/10.1109/vlsic.2016.7573468,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573468,paper,primary,verified,high,T11/T12,bio_security_quantum_other,bio_security_quantum_other,VLSI-C08,"Bioelectronics, security, quantum, and other circuits",uncertain,"keyword/session-based provisional cluster over Crossref and official program titles. Temporary catch-all; split bio/neural interfaces, security/crypto/PUF, quantum/cryo-CMOS, and front matter excludes.",,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0002,VLSI,VLSI,2016,complete,250mV-950mV 1.1Tbps/W double-affine mapped Sbox based composite-field SMS4 encrypt/decrypt accelerator in 14nm tri-gate CMOS,Sudhir Satpathy|Sanu Mathew|Vikram Suresh|Mark Anders|Himanshu Kaul|Amit Agarwal|Steven Hsu|Gregory Chen|Ram Krishnamurthy,Circuits,,accepted_paper,10.1109/vlsic.2016.7573552,,https://doi.org/10.1109/vlsic.2016.7573552,,,,,https://doi.org/10.1109/vlsic.2016.7573552,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573552,paper,primary,verified,high,T01/T02/T05/T06,ai_accelerators_compute_soc,accelerator,VLSI-C01,"AI/ML accelerators, processors, and compute SoCs",split_candidate,"keyword/session-based provisional cluster over Crossref and official program titles. Split into neural inference, LLM/Transformer, robotics/vision, security/crypto, and CIM AI processor lines.",,,,,none,,,maybe,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0003,VLSI,VLSI,2016,complete,28nm FDSOI technology sub-0.6V SRAM Vmin assessment for ultra low voltage applications,R. Ranica|N. Planes|V. Huard|O. Weber|D. Noblet|D. Croain|F. Giner|S. Naudet|P. Mergault|S. Ibars|A. Villaret|M. Parra|S. Haendler|M. Quoirin|F. Cacho|C. Julien|F. Terrier|L. Ciampolini|D. Turgis|C. Lecocq|F. Arnaud,Circuits,,accepted_paper,10.1109/vlsic.2016.7573512,,https://doi.org/10.1109/vlsic.2016.7573512,,,,,https://doi.org/10.1109/vlsic.2016.7573512,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573512,paper,primary,verified,high,T11/T12,bio_security_quantum_other,bio_security_quantum_other,VLSI-C08,"Bioelectronics, security, quantum, and other circuits",uncertain,"keyword/session-based provisional cluster over Crossref and official program titles. Temporary catch-all; split bio/neural interfaces, security/crypto/PUF, quantum/cryo-CMOS, and front matter excludes.",,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0004,VLSI,VLSI,2016,complete,3.5mW 1MHz AM detector and digitally-controlled tuner in a-IGZO TFT for wireless communications in a fully integrated flexible system for audio bag,T. Meister|K. Ishida|C. Carta|R. Shabanpour|B. K.-Boroujeni|N. Munzenrieder|L. Petti|G.A. Salvatore|G. Schmidt|P. Ghesquiere|S. Kiefl|G. De Toma|T. Faetti|A.C. Hubler|G. Troster|F. Ellinger,Circuits,,accepted_paper,10.1109/vlsic.2016.7573508,,https://doi.org/10.1109/vlsic.2016.7573508,,,,,https://doi.org/10.1109/vlsic.2016.7573508,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573508,paper,primary,verified,high,T12,analog_rf_wireline_data_converter,mhz,VLSI-C06,"Analog, RF, wireline, wireless, and data-converter circuits",provisional,keyword/session-based provisional cluster over Crossref and official program titles.,,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0005,VLSI,VLSI,2016,complete,80Kb 10ns read cycle logic Embedded High-K charge trap Multi-Time-Programmable Memory scalable to 14nm FIN with no added process complexity,Janakiraman Viraraghavan|Derek Leu|Balaji Jayaraman|Alberto Cestero|Robert Kilker|Ming Yin|John Golz|Rajesh R. Tummuru|Ramesh Raghavan|Dan Moy|Thejas Kempanna|Faraz Khan|Toshiaki Kirihata|Subramanian Iyer,Circuits,,accepted_paper,10.1109/vlsic.2016.7573462,,https://doi.org/10.1109/vlsic.2016.7573462,,,,,https://doi.org/10.1109/vlsic.2016.7573462,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573462,paper,primary,verified,high,T10/T12,devices_memory_scaling,memory,VLSI-C07,"Device technology, CMOS scaling, memories, and process integration",split_candidate,"keyword/session-based provisional cluster over Crossref and official program titles. Split logic scaling, SRAM, NVM reliability/selectors, ferroelectric/FeFET/HZO, and BEOL/monolithic 3D lines.",,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0006,VLSI,VLSI,2016,complete,95% light-load efficiency single-inductor dual-output DC-DC buck converter with synthesized waveform control technique for USB type-C,Wen-Hau Yang|Chiun-He Lin|Ke-Horng Chen|Chin-Long Wey|Ying-Hsi Lin|Jian-Ru Lin|Tsung-Yen Tsai|Jui-Lung Chen,Circuits,,accepted_paper,10.1109/vlsic.2016.7573476,,https://doi.org/10.1109/vlsic.2016.7573476,,,,,https://doi.org/10.1109/vlsic.2016.7573476,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573476,paper,primary,verified,high,T04/T06/T10/T12,processors_power_soc_infrastructure,dc-dc,VLSI-C05,"Processors, power delivery, SoC infrastructure, and DTCO",split_candidate,"keyword/session-based provisional cluster over Crossref and official program titles. Split RISC-V/manycore accelerator SoCs, power delivery/regulation, backside-power DTCO, and PPA infrastructure.",,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0007,VLSI,VLSI,2016,complete,[Copyright notice],,Circuits,,accepted_paper,10.1109/vlsic.2016.7573454,,https://doi.org/10.1109/vlsic.2016.7573454,,,,,https://doi.org/10.1109/vlsic.2016.7573454,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573454,paper,primary,verified,high,T11/T12,bio_security_quantum_other,bio_security_quantum_other,VLSI-C08,"Bioelectronics, security, quantum, and other circuits",uncertain,"keyword/session-based provisional cluster over Crossref and official program titles. Temporary catch-all; split bio/neural interfaces, security/crypto/PUF, quantum/cryo-CMOS, and front matter excludes.",,,,,none,,,no,authors|session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-1
VLSI-2016-P0008,VLSI,VLSI,2016,complete,A 0.003 mm25.2 mW/tap 20 GBd inductor-less 5-tap analog RX-FFE,Ryan Boesch|Kevin Zheng|Boris Murmann,Circuits,,accepted_paper,10.1109/vlsic.2016.7573522,,https://doi.org/10.1109/vlsic.2016.7573522,,,,,https://doi.org/10.1109/vlsic.2016.7573522,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573522,paper,primary,verified,high,T11/T12,bio_security_quantum_other,bio_security_quantum_other,VLSI-C08,"Bioelectronics, security, quantum, and other circuits",uncertain,"keyword/session-based provisional cluster over Crossref and official program titles. Temporary catch-all; split bio/neural interfaces, security/crypto/PUF, quantum/cryo-CMOS, and front matter excludes.",,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0009,VLSI,VLSI,2016,complete,"A 0.034mm2, 725fs RMS jitter, 1.8%/V frequency-pushing, 10.8-19.3GHz transformer-based fractional-N all-digital PLL in 10nm FinFET CMOS",Chao-Chieh Li|Tsung-Hsien Tsai|Min-Shueh Yuan|Chia-Chun Liao|Chih-Hsien Chang|Tien-Chien Huang|Hsien-Yuan Liao|Chung-Ting Lu|Hung-Yi Kuo|Kenny Hsieh|Mark Chen|Augusto Ximenes|Robert Bogdan Staszewski,Circuits,,accepted_paper,10.1109/vlsic.2016.7573551,,https://doi.org/10.1109/vlsic.2016.7573551,,,,,https://doi.org/10.1109/vlsic.2016.7573551,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573551,paper,primary,verified,high,T12,analog_rf_wireline_data_converter,pll|ghz,VLSI-C06,"Analog, RF, wireline, wireless, and data-converter circuits",provisional,keyword/session-based provisional cluster over Crossref and official program titles.,,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
VLSI-2016-P0010,VLSI,VLSI,2016,complete,A 0.23 µg bias instability and 1.6 µg/Hz1/2resolution silicon oscillating accelerometer with build-in Σ-Δ frequency-to-digital converter,Jian Zhao|Xi Wang|Yang Zhao|Guo Ming Xia|An Ping Qiu|Yan Su|Yong Ping Xu,Circuits,,accepted_paper,10.1109/vlsic.2016.7573530,,https://doi.org/10.1109/vlsic.2016.7573530,,,,,https://doi.org/10.1109/vlsic.2016.7573530,,Crossref metadata for VLSI 2016 proceedings article,https://doi.org/10.1109/vlsic.2016.7573530,paper,primary,verified,high,T11/T12,bio_security_quantum_other,bio_security_quantum_other,VLSI-C08,"Bioelectronics, security, quantum, and other circuits",uncertain,"keyword/session-based provisional cluster over Crossref and official program titles. Temporary catch-all; split bio/neural interfaces, security/crypto/PUF, quantum/cryo-CMOS, and front matter excludes.",,,,,none,,,no,session,Crossref container=2016 IEEE Symposium on VLSI Circuits (VLSI-Circuits); page=1-2
